frontend_faction_effect_junctions_tables
1
effect	faction	value	scope
wh_dlc07_lord_trait_dummy_knights_vow	wh2_main_alberic_faction	1	faction_to_faction_own_unseen
wh_main_effect_tech_unit_xp_levels_brt_knights	wh2_main_alberic_faction	2	faction_to_character_own_unseen
wh_dlc07_effect_battle_defence_knights_of_the_realm	wh2_main_alberic_leader	5	general_to_force_own
wh_dlc07_effect_chivalry_dummy	wh2_main_alberic_leader	10	character_to_faction_unseen
wh_main_effect_agent_recruitment_xp_champion_chaos	wh2_main_archaon_faction	3	faction_to_force_own_unseen
wh_main_faction_political_diplomacy_mod	wh2_main_archaon_faction	-20	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_razing_income	wh2_main_archaon_leader	20	character_to_character_own
wh_main_effect_agent_recruitment_xp_wizard_greenskins	wh2_main_azhag_faction	3	faction_to_province_own_unseen
wh_main_faction_diplomacy_penalty_vampire_counts	wh2_main_azhag_faction	40	faction_to_faction_own_unseen
wh_main_effect_character_stat_mod_personal_aura_morale_effect	wh2_main_azhag_leader	3	character_to_character_own
wh_main_effect_military_force_winds_of_magic_starting_mod	wh2_main_balthasar_faction	15	general_to_force_own_unseen
wh_main_effect_tech_upkeep_reduction_battle_wizards	wh2_main_balthasar_faction	-25	faction_to_character_own_unseen
wh_main_effect_force_army_battle_armour_all	wh2_main_balthasar_faction	10	faction_to_force_own_unseen
wh_main_effect_agent_recruitment_xp_wizard_empire	wh2_main_balthasar_leader	2	character_to_province_own
wh_dlc06_effect_faction_effect_building_bonus_dummy	wh2_main_belegar_faction	1	faction_to_force_own_unseen
wh_dlc06_effect_faction_effect_followers_dummy	wh2_main_belegar_faction	1	faction_to_force_own_unseen
wh_dlc06_effect_faction_effect_upkeep_dummy	wh2_main_belegar_faction	1	faction_to_force_own_unseen
wh_main_effect_force_army_battle_unit_morale_siege_attack	wh2_main_belegar_faction	10	faction_to_force_own_unseen
wh_dlc04_effect_unit_enable_can_siege_dummy	wh2_main_belegar_leader	1	character_to_character_own
wh_dlc06_effect_belegar_trait_enable_attribute_guerrilla_deployment_for_all_dummy	wh2_main_belegar_leader	1	character_to_force_own_factionwide
wh_main_effect_force_army_campaign_tunnelling_evasion_chance	wh2_main_belegar_leader	30	character_to_character_own
wh_dlc05_effect_agent_recruitment_cost_mod_champion_wood_elves	wh2_main_durthu_faction	-50	faction_to_province_own_unseen
wh_dlc05_effect_durthu_amber	wh2_main_durthu_faction	1	faction_to_faction_own_unseen
wh_dlc05_effect_force_army_battle_melee_attack_during_forest	wh2_main_durthu_faction	10	faction_to_force_own_unseen
wh_dlc05_durthu_trait_effect_attrition_immunity	wh2_main_durthu_leader	1	general_to_force_own
wh_dlc07_effect_dummy_start_peasants	wh2_main_fay_enchantress_faction	5	faction_to_faction_own_unseen
wh_dlc07_upkeep_for_grail_guardians_dummy	wh2_main_fay_enchantress_faction	200	faction_to_faction_own_unseen
wh_dlc07_effect_economy_gdp_mod_farming	wh2_main_fay_enchantress_faction	10	faction_to_region_own
wh_dlc07_effect_chivalry_dummy	wh2_main_fay_enchantress_leader	10	character_to_faction_unseen
wh_main_effect_ability_enable_blessing_of_the_lady	wh2_main_fay_enchantress_leader	1	character_to_character_own
wh_main_effect_unit_enable_attribute_fear	wh2_main_fay_enchantress_leader	1	character_to_character_own
wh_main_effect_tech_upkeep_reduction_black_orcs_big_uns	wh2_main_grimgor_faction	-10	faction_to_force_own_unseen
wh_dlc08_effect_battle_bonus_vs_large_big_uns	wh2_main_grimgor_faction	5	faction_to_force_own_unseen
wh_main_effect_tech_battle_morale_increase_black_orcs	wh2_main_grimgor_leader	5	general_to_force_own
wh_main_effect_force_army_campaign_tunnelling_evasion_chance	wh2_main_grombrindal_faction	40	faction_to_character_own_factionwide
wh_pro01_effect_grombrindal_dillema_dummy	wh2_main_grombrindal_faction	1	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_reinforcement_range	wh2_main_grombrindal_leader	40	character_to_character_own_armytext
wh_main_effect_tech_upkeep_reduction_necromancers	wh2_main_heinrich_faction	-50	faction_to_character_own_unseen
wh_main_effect_raise_dead_recruitment_cost_mod	wh2_main_heinrich_faction	-25	faction_to_character_own_unseen
wh_main_effect_agent_recruitment_xp_wizard_vampire_counts	wh2_main_heinrich_leader	3	character_to_province_own
wh_main_effect_character_stat_enable_poison_attacks_dummy	wh2_main_helman_ghorst_faction	1	faction_to_army_own_unseen
wh_main_effect_force_all_campaign_replenishment_rate	wh2_main_helman_ghorst_faction	20	faction_to_force_own_unseen
wh_dlc03_effect_technology_research_points	wh2_main_helman_ghorst_leader	15	character_to_faction
wh_main_effect_agent_cap_increase_dignitary_vampire	wh2_main_isabella_faction	3	faction_to_faction_own_unseen
wh_pro02_effect_vampire_heroes_damage	wh2_main_isabella_faction	25	faction_to_force_own_unseen
wh_pro02_faction_trait_isabella_vlad_dummy	wh2_main_isabella_faction	15	faction_to_character_own_unseen
wh_pro02_faction_trait_isabella_vlad_unique_building	wh2_main_isabella_faction	1	faction_to_character_own_unseen
wh_pro02_effect_vampire_heroes_isabella_trait_attack	wh2_main_isabella_leader	10	general_to_force_own
wh_pro02_effect_vampire_heroes_isabella_trait_defence	wh2_main_isabella_leader	10	general_to_force_own
wh_main_effect_tech_upkeep_reduction_reiksguard_greatswords	wh2_main_karl_franz_faction	-10	faction_to_force_own_unseen
wh_main_faction_diplomacy_penalty_empire	wh2_main_karl_franz_faction	20	faction_to_faction_own_unseen
wh_main_effect_force_unit_stat_morale	wh2_main_karl_franz_leader	3	general_to_force_own
wh_main_effect_force_all_campaign_raid_income	wh2_main_khazrak_faction	25	faction_to_character_own_unseen
wh_main_effect_force_unit_stat_morale_versus_men	wh2_main_khazrak_faction	5	faction_to_force_own_unseen
wh_dlc03_effect_tech_recruitment_cost_reduction_bestigors	wh2_main_khazrak_leader	-50	general_to_force_own
wh_main_effect_tech_upkeep_reduction_dragon_ogres	wh2_main_kholek_faction	-15	faction_to_force_own_unseen
wh_main_effect_ambush_defence_success_chance_kholek	wh2_main_kholek_faction	-20	faction_to_force_own_unseen
wh_main_effect_tech_recruitment_cost_reduction_dragon_ogres	wh2_main_kholek_leader	-50	general_to_force_own
wh2_main_effect_armour_increase_dinosaurs	wh2_main_kroq_gar_leader	20	general_to_force_own
wh2_main_effect_morale_increase_dinosaurs	wh2_main_kroq_gar_leader	10	general_to_force_own
wh2_main_effect_upkeep_reduction_lzd_saurus_coldones	wh2_main_kroq_gar_leader	-25	general_to_force_own
wh_main_effect_force_army_campaign_ambush_attack_success_chance	wh2_main_kroq_gar_leader	25	general_to_force_own
wh_main_effect_force_unit_stat_morale	wh2_main_kroq_gar_leader	5	general_to_force_own
wh_dlc07_lord_trait_dummy_grail_vow	wh2_main_louen_leoncoeur_faction	1	faction_to_faction_own_unseen
wh_dlc07_effect_tech_armour_increase_bretonnia_characters	wh2_main_louen_leoncoeur_faction	10	faction_to_force_own_unseen
wh_main_effect_general_aura_mod_all_during_attack	wh2_main_louen_leoncoeur_faction	25	faction_to_character_own
wh_dlc07_effect_chivalry_dummy	wh2_main_louen_leoncoeur_leader	10	character_to_faction_unseen
wh_main_effect_ability_enable_blessing_of_the_lady	wh2_main_louen_leoncoeur_leader	1	character_to_character_own
wh_dlc03_effect_agent_action_cost_mod_wizard_beastmen	wh2_main_malagor_faction	-25	faction_to_faction_own_unseen
wh_main_effect_military_force_winds_of_magic_depletion_mod_character	wh2_main_malagor_faction	10	general_to_force_own_unseen
wh_main_effect_agent_movement_range_mod	wh2_main_malagor_leader	15	character_to_character_own
wh2_main_effect_character_mod_loyalty_all	wh2_main_malekith_faction	2	faction_to_faction_own_unseen
wh2_main_effect_loyalty_penalty_faction_leader_outranked_dummy	wh2_main_malekith_faction	3	faction_to_faction_own_unseen
wh2_main_effect_percentage_of_xp_to_give_other_characters_of_same_type_dummy	wh2_main_malekith_faction	3	faction_to_character_own_unseen
wh2_main_faction_trait_diplomacy_bonus_morathi	wh2_main_malekith_faction	30	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_malekith_witch_king	wh2_main_malekith_leader	-25	general_to_force_own
wh_main_effect_tech_melee_damage_increase_graveguard_black_knights	wh2_main_mannfred_faction	10	faction_to_force_own_unseen
wh_main_effect_tech_unit_xp_levels_graveguard_black_knights	wh2_main_mannfred_faction	2	faction_to_character_own_unseen
wh_main_effect_force_unit_stat_morale_versus_men	wh2_main_mannfred_leader	5	general_to_force_own
wh2_main_effect_agent_cap_increase_lzd_slann	wh2_main_mazdamundi_faction	1	faction_to_faction_own_unseen
wh2_main_effect_building_construction_cost_mod_lzd_starchamber	wh2_main_mazdamundi_faction	-50	faction_to_region_own_unseen
wh2_main_faction_trait_diplomacy_penalty_mazdamundi	wh2_main_mazdamundi_faction	-10	faction_to_faction_own_unseen
wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_mazdamundi_faction	-30	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_lzd_temple_guard	wh2_main_mazdamundi_leader	-25	general_to_force_own
wh2_main_effect_attrition_immunity_chaos_morathi_textonly	wh2_main_morathi_faction	1	faction_to_faction_own_unseen
wh2_main_faction_political_diplomacy_mod_darkelves	wh2_main_morathi_faction	20	faction_to_faction_own_unseen
wh_main_effect_agent_action_cost_mod	wh2_main_morathi_faction	-50	faction_to_character_own_unseen
wh_main_effect_religion_conversion_chaos	wh2_main_morathi_faction	1	faction_to_character_own
wh2_main_effect_character_mod_loyalty_regional	wh2_main_morathi_leader	2	character_to_character_regionwide_local_region
wh_dlc03_faction_diplomacy_penalty_chaos	wh2_main_morathi_leader	-25	faction_to_province_own_factionwide
wh_dlc03_faction_diplomacy_penalty_chaos	wh2_main_morghur_faction	20	faction_to_faction_own_unseen
