special_ability_to_invalid_usage_flags_tables
0
invalid_usage_flag	special_ability
climbing	wh2_main_hero_abilities_doomrocket
manning_equipment	wh2_main_hero_abilities_doomrocket
climbing	wh2_main_item_abilities_armour_of_the_stars
engaged_in_melee	wh2_main_item_abilities_armour_of_the_stars
manning_equipment	wh2_main_item_abilities_armour_of_the_stars
climbing	wh2_main_item_abilities_black_dragon_egg
morale_is_broken_or_lower	wh2_main_item_abilities_skalm
climbing	wh2_main_item_bound_gilded_horn_of_galon_konook
engaged_in_melee	wh2_main_item_passive_shadow_magnet_trinket
climbing	wh2_main_lord_abilities_gaze_of_malice
climbing	wh2_main_spell_bound_wand_of_the_kharaidon
climbing	wh2_main_spell_dark_magic_bladewind_upgraded
climbing	wh2_main_spell_dark_magic_bladewind
climbing	wh2_main_spell_dark_magic_chillwind_upgraded
climbing	wh2_main_spell_dark_magic_chillwind
climbing	wh2_main_spell_dark_magic_doombolt_upgraded
climbing	wh2_main_spell_dark_magic_doombolt
climbing	wh2_main_spell_dark_magic_power_of_darkness
climbing	wh2_main_spell_dark_magic_soul_stealer
climbing	wh2_main_spell_dark_magic_word_of_pain_upgraded
climbing	wh2_main_spell_dark_magic_word_of_pain
climbing	wh2_main_spell_high_magic_apotheosis_upgraded
climbing	wh2_main_spell_high_magic_apotheosis
climbing	wh2_main_spell_high_magic_arcane_unforging_upgraded
climbing	wh2_main_spell_high_magic_arcane_unforging
climbing	wh2_main_spell_high_magic_fiery_convocation_upgraded
climbing	wh2_main_spell_high_magic_fiery_convocation
climbing	wh2_main_spell_high_magic_hand_of_glory_upgraded
climbing	wh2_main_spell_high_magic_hand_of_glory
climbing	wh2_main_spell_high_magic_soul_quench_upgraded
manning_equipment	wh2_main_spell_high_magic_soul_quench_upgraded
climbing	wh2_main_spell_high_magic_soul_quench
manning_equipment	wh2_main_spell_high_magic_soul_quench
climbing	wh2_main_spell_high_magic_tempest_upgraded
climbing	wh2_main_spell_high_magic_tempest
climbing	wh2_main_spell_plague_pestilent_breath_upgraded
on_a_platform	wh2_main_spell_plague_pestilent_breath_upgraded
climbing	wh2_main_spell_plague_pestilent_breath
on_a_platform	wh2_main_spell_plague_pestilent_breath
climbing	wh2_main_spell_ruin_cracks_call_upgraded
climbing	wh2_main_spell_ruin_cracks_call
climbing	wh2_main_spell_ruin_death_frenzy_upgraded
climbing	wh2_main_spell_ruin_death_frenzy
climbing	wh2_main_spell_ruin_howling_warpgale_upgraded
climbing	wh2_main_spell_ruin_howling_warpgale
climbing	wh2_main_spell_ruin_scorch_upgraded
climbing	wh2_main_spell_ruin_scorch
climbing	wh2_main_spell_ruin_skitterleap_upgraded
manning_equipment	wh2_main_spell_ruin_skitterleap_upgraded
climbing	wh2_main_spell_ruin_skitterleap
manning_equipment	wh2_main_spell_ruin_skitterleap
climbing	wh2_main_spell_ruin_warp_lightning_upgraded
climbing	wh2_main_spell_ruin_warp_lightning
climbing	wh2_main_unit_abilities_concealment_bombs
engaged_in_melee	wh2_main_unit_abilities_concealment_bombs
manning_equipment	wh2_main_unit_abilities_concealment_bombs
engaged_in_melee	wh2_main_unit_abilities_dark_fire_of_chaos
grounded	wh2_main_unit_abilities_dark_fire_of_chaos
engaged_in_melee	wh2_main_unit_abilities_death_shriek
engaged_in_melee	wh2_main_unit_abilities_drop_rocks
engaged_in_melee	wh2_main_unit_abilities_fiery_breath
engaged_in_melee	wh2_main_unit_abilities_moon_dragons_breath
grounded	wh2_main_unit_abilities_moon_dragons_breath
engaged_in_melee	wh2_main_unit_abilities_noxious_breath
grounded	wh2_main_unit_abilities_noxious_breath
engaged_in_melee	wh2_main_unit_abilities_pestilential_breath
grounded	wh2_main_unit_abilities_pestilential_breath
morale_is_broken_or_lower	wh2_main_unit_abilities_revivification_crystal
on_a_platform	wh2_main_unit_abilities_revivification_crystal
engaged_in_melee	wh2_main_unit_abilities_soporific_breath
grounded	wh2_main_unit_abilities_soporific_breath
engaged_in_melee	wh2_main_unit_abilities_star_dragons_breath
grounded	wh2_main_unit_abilities_star_dragons_breath
engaged_in_melee	wh2_main_unit_abilities_sun_dragons_breath
grounded	wh2_main_unit_abilities_sun_dragons_breath
engaged_in_melee	wh2_main_unit_abilities_wake_of_fire
climbing	wh2_main_weapon_abilities_bow_of_the_seafarer
manning_equipment	wh2_main_weapon_abilities_bow_of_the_seafarer
climbing	wh2_main_weapon_abilities_sunfang
climbing	wh_dlc03_spell_beasts_the_amber_spear_upgraded
manning_equipment	wh_dlc03_spell_beasts_the_amber_spear_upgraded
climbing	wh_dlc03_spell_beasts_the_amber_spear
manning_equipment	wh_dlc03_spell_beasts_the_amber_spear
army_is_full	wh_dlc03_spell_beasts_transformation_of_kadon
climbing	wh_dlc03_spell_beasts_transformation_of_kadon
climbing	wh_dlc03_spell_bound_the_amber_spear
manning_equipment	wh_dlc03_spell_bound_the_amber_spear
climbing	wh_dlc03_spell_wild_bray_scream_upgraded
climbing	wh_dlc03_spell_wild_bray_scream
army_is_full	wh_dlc03_spell_wild_savage_dominion
climbing	wh_dlc03_spell_wild_savage_dominion
climbing	wh_dlc03_spell_wild_viletide_upgraded
climbing	wh_dlc03_spell_wild_viletide
climbing	wh_dlc04_spell_bound_banishment
climbing	wh_dlc04_spell_bound_soulfire_upgraded
climbing	wh_dlc04_spell_vampires_gaze_of_nagash_helman
manning_equipment	wh_dlc04_spell_vampires_gaze_of_nagash_helman
climbing	wh_dlc04_spell_vampires_gaze_of_nagash_strigoi
manning_equipment	wh_dlc04_spell_vampires_gaze_of_nagash_strigoi
morale_is_broken_or_lower	wh_dlc04_spell_vampires_invocation_of_nehek_helman
morale_is_broken_or_lower	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
army_is_full	wh_dlc04_spell_vampires_raise_dead_helman
climbing	wh_dlc04_spell_vampires_raise_dead_helman
army_is_full	wh_dlc04_spell_vampires_raise_dead_strigoi
army_is_full	wh_dlc04_spell_vampires_raise_dead_upgraded_helman
climbing	wh_dlc04_spell_vampires_raise_dead_upgraded_helman
army_is_full	wh_dlc04_spell_vampires_raise_dead_upgraded_strigoi
climbing	wh_dlc04_spell_vampires_wind_of_death_helman
army_is_full	wh_dlc05_lord_abilities_spirit_essence_of_chaos
army_is_full	wh_dlc05_lord_abilities_spirit_essence_of_eternal_chaos
climbing	wh_dlc05_spell_life_awakening_of_the_wood
climbing	wh_dlc05_spell_life_awakening_the_wood_branchwraith
army_is_full	wh_dlc05_weapon_abilities_stave_of_ruinous_corruption
health_above_20%	wh_dlc06_quest_abilities_grand_faiths_bastion
climbing	wh_dlc06_spell_bound_vindictive_glare
manning_equipment	wh_dlc06_spell_bound_vindictive_glare
army_is_full	wh_dlc06_unit_abilities_maternal_instinct
climbing	wh_dlc06_unit_abilities_skyhammer_bomb
grounded	wh_dlc06_unit_abilities_skyhammer_bomb
phase_is_deployment	wh_dlc06_unit_abilities_skyhammer_bomb
climbing	wh_dlc06_unit_abilities_the_loons_of_eight_peaks
on_a_platform	wh_dlc06_unit_abilities_the_loons_of_eight_peaks
climbing	wh_dlc06_weapon_abilities_skarsniks_prodder
manning_equipment	wh_dlc06_weapon_abilities_skarsniks_prodder
climbing	wh_dlc07_item_abilities_wrath_of_manann
morale_is_broken_or_lower	wh_main_hero_abilities_immortal_will
climbing	wh_main_item_abilities_fiery_ring_of_thori
hp_replenish_cap_reached	wh_main_item_abilities_potion_of_healing
morale_is_broken_or_lower	wh_main_item_abilities_potion_of_healing
morale_is_broken_or_lower	wh_main_item_abilities_potion_of_toughness
morale_is_broken_or_lower	wh_main_item_abilities_regenerating_flesh
climbing	wh_main_spell_big_waaagh_brain_bursta_upgraded
climbing	wh_main_spell_big_waaagh_brain_bursta
climbing	wh_main_spell_big_waaagh_eadbutt_upgraded
climbing	wh_main_spell_big_waaagh_eadbutt
climbing	wh_main_spell_big_waaagh_foot_of_gork_upgraded
climbing	wh_main_spell_big_waaagh_foot_of_gork
climbing	wh_main_spell_big_waaagh_gaze_of_mork_upgraded
manning_equipment	wh_main_spell_big_waaagh_gaze_of_mork_upgraded
climbing	wh_main_spell_big_waaagh_gaze_of_mork
manning_equipment	wh_main_spell_big_waaagh_gaze_of_mork
climbing	wh_main_spell_bound_fireball
manning_equipment	wh_main_spell_bound_fireball
climbing	wh_main_spell_bound_soulfire
climbing	wh_main_spell_death_the_purple_sun_of_xereus_upgraded
climbing	wh_main_spell_death_the_purple_sun_of_xereus
climbing	wh_main_spell_fire_fireball_upgraded
manning_equipment	wh_main_spell_fire_fireball_upgraded
climbing	wh_main_spell_fire_fireball
manning_equipment	wh_main_spell_fire_fireball
climbing	wh_main_spell_fire_flame_storm_upgraded
climbing	wh_main_spell_fire_flame_storm
climbing	wh_main_spell_fire_piercing_bolts_of_burning_upgraded
climbing	wh_main_spell_fire_piercing_bolts_of_burning
climbing	wh_main_spell_fire_the_burning_head_upgraded
climbing	wh_main_spell_fire_the_burning_head
climbing	wh_main_spell_heavens_chain_lightning
climbing	wh_main_spell_heavens_comet_of_casandora_upgraded
climbing	wh_main_spell_heavens_comet_of_casandora
climbing	wh_main_spell_heavens_urannons_thunderbolt_upgraded
climbing	wh_main_spell_heavens_urannons_thunderbolt
climbing	wh_main_spell_heavens_wind_blast_upgraded
climbing	wh_main_spell_heavens_wind_blast
climbing	wh_main_spell_light_banishment_upgraded
climbing	wh_main_spell_light_banishment
climbing	wh_main_spell_light_shems_burning_gaze_upgraded
manning_equipment	wh_main_spell_light_shems_burning_gaze_upgraded
climbing	wh_main_spell_light_shems_burning_gaze
manning_equipment	wh_main_spell_light_shems_burning_gaze
climbing	wh_main_spell_lil_waaagh_curse_of_da_bad_moon_upgraded
climbing	wh_main_spell_lil_waaagh_curse_of_da_bad_moon
climbing	wh_main_spell_lil_waaagh_night_shroud_upgraded
climbing	wh_main_spell_lil_waaagh_night_shroud
climbing	wh_main_spell_lil_waaagh_vindictive_glare_upgraded
manning_equipment	wh_main_spell_lil_waaagh_vindictive_glare_upgraded
climbing	wh_main_spell_lil_waaagh_vindictive_glare
manning_equipment	wh_main_spell_lil_waaagh_vindictive_glare
climbing	wh_main_spell_metal_gehennas_golden_hounds_upgraded
climbing	wh_main_spell_metal_gehennas_golden_hounds
climbing	wh_main_spell_metal_searing_doom_upgraded
climbing	wh_main_spell_metal_searing_doom
climbing	wh_main_spell_vampires_gaze_of_nagash_upgraded
manning_equipment	wh_main_spell_vampires_gaze_of_nagash_upgraded
climbing	wh_main_spell_vampires_gaze_of_nagash
manning_equipment	wh_main_spell_vampires_gaze_of_nagash
morale_is_broken_or_lower	wh_main_spell_vampires_invocation_of_nehek_upgraded
morale_is_broken_or_lower	wh_main_spell_vampires_invocation_of_nehek
army_is_full	wh_main_spell_vampires_raise_dead_upgraded
climbing	wh_main_spell_vampires_raise_dead_upgraded
army_is_full	wh_main_spell_vampires_raise_dead
climbing	wh_main_spell_vampires_raise_dead
climbing	wh_main_spell_vampires_wind_of_death_upgraded
climbing	wh_main_spell_vampires_wind_of_death
cannot_perform_missile_attack	wh_main_unit_abilities_blooood
cannot_perform_missile_attack	wh_main_unit_abilities_boom
climbing	wh_main_unit_abilities_gyrobomber_bomb
grounded	wh_main_unit_abilities_gyrobomber_bomb
phase_is_deployment	wh_main_unit_abilities_gyrobomber_bomb
climbing	wh_main_unit_abilities_gyrocopter_bomb
grounded	wh_main_unit_abilities_gyrocopter_bomb
phase_is_deployment	wh_main_unit_abilities_gyrocopter_bomb
climbing	wh_main_unit_abilities_spinning_loons
on_a_platform	wh_main_unit_abilities_spinning_loons
climbing	wh_main_weapon_abilities_skabscrath
army_is_full	wh_pro03_lord_abilities_lord_of_undeath_0
climbing	wh_pro03_lord_abilities_lord_of_undeath_0
army_is_full	wh_pro03_lord_abilities_lord_of_undeath_1
climbing	wh_pro03_lord_abilities_lord_of_undeath_1
army_is_full	wh_pro03_lord_abilities_lord_of_undeath_2
climbing	wh_pro03_lord_abilities_lord_of_undeath_2
army_is_full	wh_pro03_lord_abilities_lord_of_undeath_3
climbing	wh_pro03_lord_abilities_lord_of_undeath_3
army_is_full	wh_pro03_lord_abilities_lord_of_undeath_4
climbing	wh_pro03_lord_abilities_lord_of_undeath_4
army_is_full	wh_pro03_lord_abilities_lord_of_undeath
climbing	wh_pro03_lord_abilities_lord_of_undeath
