unit_attributes_to_groups_junctions_tables
2
attribute	attribute_group
rampage	berserker_infantry_cold
rampage	wh_berserk_fear
rampage	wh_berserk_fear_terror_undead
rampage	wh_berserker_infantry
rampage	wh_amok_cantRun_fear_immuneToPsych
cant_run	wh_cantRun
causes_fear	elephant_indian
causes_fear	elephants
causes_fear	wh_amok_cantRun_fear_immuneToPsych
causes_fear	wh_amok_fear_immuneToPsych
causes_fear	wh_berserk_fear
causes_fear	wh_cantRun_fear_terror
causes_fear	wh_chargeReflectorVsL_fear_hideForest_undead
causes_fear	wh_encourage_fear
causes_fear	wh_encourage_fear_hideForest
causes_fear	wh_encourage_fear_hideForest_immuneToPsych
causes_fear	wh_encourage_fear_hideForest_terror_guerrilla_deploy_unbreakable
causes_fear	wh_encourage_fear_hideForest_terror_undead
causes_fear	wh_encourage_fear_hideForest_unbreakable_terror
causes_fear	wh_encourage_fear_hideForest_unbreakable_terror_undead
causes_fear	wh_encourage_fear_hideForest_undead
causes_fear	wh_encourage_fear_immuneToPsych_strider
causes_fear	wh_encourage_fear_mountedFireMove
causes_fear	wh_encourage_fear_terror
causes_fear	wh_encourage_fear_terror_mountedFireMove
causes_fear	wh_encourage_fear_terror_mountedFireMove_strider
causes_fear	wh_encourage_fear_terror_unbreakable
causes_fear	wh_encourage_fear_terror_undead
causes_fear	wh_encourage_fear_undead
causes_fear	wh_encourage_hideForest_fear
causes_fear	wh_encourage_hideForest_fear_terror_chargeReflectorVsL
causes_fear	wh_encourage_strider_fear_terror_mountedFireMove
causes_fear	wh_fatigue_fear_terror
causes_fear	wh_fear
causes_fear	wh_fear_guerilla_hideForest_undead_stalk
causes_fear	wh_fear_guerrilla_hideForest_terror_undead
causes_fear	wh_fear_guerrilla_hideForest_terror_undead_encourge
causes_fear	wh_fear_guerrilla_hideForest_undead
causes_fear	wh_fear_guerrilla_hideForest_undead_immPsy
causes_fear	wh_fear_guerrilla_terror
causes_fear	wh_fear_guerrilla_terror_undead
causes_fear	wh_fear_guerrilla_undead
causes_fear	wh_fear_guerrilla_undead_terror
causes_fear	wh_fear_hideForest
causes_fear	wh_fear_hideForest_immPsy_chargeReflectorVsL
causes_fear	wh_fear_hideForest_immPsy_guerrilla
causes_fear	wh_fear_hideForest_immPsy_guerrilla_encourage
causes_fear	wh_fear_hideForest_terror
causes_fear	wh_fear_hideForest_terror_undead
causes_fear	wh_fear_hideForest_undead
causes_fear	wh_fear_hideForest_undead_chargeDeflector
causes_fear	wh_fear_hideForest_undead_stalk
causes_fear	wh_fear_hideForest_undead_unbreakable
causes_fear	wh_fear_strider_terror
causes_fear	wh_fear_terror
causes_fear	wh_fear_terror_hideForest_unbreakable_encourage
causes_fear	wh_fear_terror_strider
causes_fear	wh_fear_terror_unbreakable
causes_fear	wh_fear_terror_undead
causes_fear	wh_fear_terror_undead_unbreakable
causes_fear	wh_fear_unbreakable
causes_fear	wh_fear_undead
causes_fear	wh_guerrilla_hideForest_fear
causes_fear	wh_guerrilla_stalk_fear_terror
causes_fear	wh_hideForest_fear_terror_chargeReflectorVsL
causes_fear	wh_hideForest_unbreakable_fear
causes_terror	wh_berserk_fear_terror_undead
causes_terror	wh_cantRun_fear_terror
causes_terror	wh_encourage_fear_hideForest_terror_guerrilla_deploy_unbreakable
causes_terror	wh_encourage_fear_hideForest_terror_undead
causes_terror	wh_encourage_fear_hideForest_unbreakable_terror
causes_terror	wh_encourage_fear_hideForest_unbreakable_terror_undead
causes_terror	wh_encourage_fear_terror
causes_terror	wh_encourage_fear_terror_mountedFireMove
causes_terror	wh_encourage_fear_terror_mountedFireMove_strider
causes_terror	wh_encourage_fear_terror_unbreakable
causes_terror	wh_encourage_fear_terror_undead
causes_terror	wh_encourage_hideForest_fear_terror_chargeReflectorVsL
causes_terror	wh_encourage_strider_fear_terror_mountedFireMove
causes_terror	wh_fatigue_fear_terror
causes_terror	wh_fear_guerrilla_hideForest_terror_undead
causes_terror	wh_fear_guerrilla_hideForest_terror_undead_encourge
causes_terror	wh_fear_guerrilla_terror
causes_terror	wh_fear_guerrilla_terror_undead
causes_terror	wh_fear_guerrilla_undead_terror
causes_terror	wh_fear_hideForest_terror
causes_terror	wh_fear_hideForest_terror_undead
causes_terror	wh_fear_strider_terror
causes_terror	wh_fear_terror
causes_terror	wh_fear_terror_hideForest_unbreakable_encourage
causes_terror	wh_fear_terror_strider
causes_terror	wh_fear_terror_unbreakable
causes_terror	wh_fear_terror_undead
causes_terror	wh_fear_terror_undead_unbreakable
causes_terror	wh_guerrilla_stalk_fear_terror
causes_terror	wh_hideForest_fear_terror_chargeReflectorVsL
charge_reflector_vs_large	wh_chargeRefelectorVsL_guerrilla_hideForest
charge_reflector_vs_large	wh_chargeReflectorVsL_encourage_hideForest
charge_reflector_vs_large	wh_chargeReflectorVsL_encourage_hideForest_immuneToPsych
charge_reflector_vs_large	wh_chargeReflectorVsL_encourage_hideForest_unbreakable
charge_reflector_vs_large	wh_chargeReflectorVsL_fear_hideForest_undead
charge_reflector_vs_large	wh_chargeReflectorVsL_guerrilla_hideForest
charge_reflector_vs_large	wh_chargeReflectorVsL_hideForest
charge_reflector_vs_large	wh_chargeReflectorVsL_hideForestScrub
charge_reflector_vs_large	wh_encourage_hideForest_fear_terror_chargeReflectorVsL
charge_reflector_vs_large	wh_fear_hideForest_immPsy_chargeReflectorVsL
charge_reflector_vs_large	wh_guerrilla_hideForest_immPsy_stalk_chargeReflectorVsL
charge_reflector_vs_large	wh_hideForest_chargeReflectorVsL
charge_reflector_vs_large	wh_hideForest_fear_terror_chargeReflectorVsL
charge_reflector_vs_large	wh_hideForest_immPsy_chargeReflectorVsL
charge_reflector_vs_large	wh_hideForest_unbreakable_chargeReflectorVsL
charge_reflector	wh_chargeReflector_encourage_hideForest
charge_reflector	wh_chargeReflector_encourage_hideForest_immuneToPsych
charge_reflector	wh_chargeReflector_encourage_hideForest_immuneToPsych_strider
charge_reflector	wh_chargeReflector_encourage_hideForest_unbreakable
charge_reflector	wh_chargeReflector_hideForest
charge_reflector	wh_chargeReflector_hideForest_immPsy_guerrilla
charge_reflector	wh_chargeReflector_hideForest_unbreakable
charge_reflector	wh_fear_hideForest_undead_chargeDeflector
disciplined	heavy_cavalry
disciplined	heavy_cavalry_elite_warm
disciplined	heavy_cavalry_warm
disciplined	heavy_infantry
disciplined	heavy_infantry_elite
disciplined	heavy_infantry_elite_charge_reflector
disciplined	heavy_infantry_elite_charge_reflector_warm
disciplined	heavy_infantry_warm
encourages	formed_infantry_elite
encourages	formed_infantry_elite_charge_reflector
encourages	formed_infantry_elite_charge_reflector_warm
encourages	formed_infantry_elite_warm
encourages	heavy_cavalry_elite_warm
encourages	heavy_infantry_elite
encourages	heavy_infantry_elite_charge_reflector
encourages	heavy_infantry_elite_charge_reflector_warm
encourages	melee_cavalry_elite
encourages	melee_cavalry_elite_charge_reflector
encourages	melee_cavalry_elite_charge_reflector_cold
encourages	melee_infantry_elite_charge_reflector_cold
encourages	melee_infantry_elite_cold
encourages	melee_infantry_elite_warm
encourages	wh_cantRun_encourage
encourages	wh_cantRun_encourage_heatResist
encourages	wh_chargeReflectorVsL_encourage_hideForest
encourages	wh_chargeReflectorVsL_encourage_hideForest_immuneToPsych
encourages	wh_chargeReflectorVsL_encourage_hideForest_unbreakable
encourages	wh_chargeReflector_encourage_hideForest
encourages	wh_chargeReflector_encourage_hideForest_immuneToPsych
encourages	wh_chargeReflector_encourage_hideForest_immuneToPsych_strider
encourages	wh_chargeReflector_encourage_hideForest_unbreakable
encourages	wh_encourage
encourages	wh_encourage_fear
encourages	wh_encourage_fear_hideForest
encourages	wh_encourage_fear_hideForest_immuneToPsych
encourages	wh_encourage_fear_hideForest_terror_guerrilla_deploy_unbreakable
encourages	wh_encourage_fear_hideForest_terror_undead
encourages	wh_encourage_fear_hideForest_unbreakable_terror
encourages	wh_encourage_fear_hideForest_unbreakable_terror_undead
encourages	wh_encourage_fear_hideForest_undead
encourages	wh_encourage_fear_immuneToPsych_strider
encourages	wh_encourage_fear_mountedFireMove
encourages	wh_encourage_fear_terror
encourages	wh_encourage_fear_terror_mountedFireMove
encourages	wh_encourage_fear_terror_mountedFireMove_strider
encourages	wh_encourage_fear_terror_unbreakable
encourages	wh_encourage_fear_terror_undead
encourages	wh_encourage_fear_undead
encourages	wh_encourage_guerrilla_hideForest
encourages	wh_encourage_hideForest
encourages	wh_encourage_hideForestScrub
encourages	wh_encourage_hideForest_fear
encourages	wh_encourage_hideForest_fear_terror_chargeReflectorVsL
encourages	wh_encourage_hideForest_immuneToPsych
