subtitle_timings_tables
1
end	language	script_id	start	subtitle_field	text_section	foreign_key	text_id	unknown8
250	br	19	162	1686093551	0	chs_invasion	vo_fmv_texts_text_chs_invasion	False
97	br	18	52	1686093551	0	chs_rises	vo_fmv_texts_text_chs_rises	False
370	br	30	140	1686093551	0	def_horned_rat	vo_fmv_texts_text_def_horned_rat	False
200	br	25	100	1686093551	0	def_intro	vo_fmv_texts_text_def_intro	False
395	br	26	135	1686093551	0	def_ritual_1	vo_fmv_texts_text_def_ritual_1	False
455	br	27	165	1686093551	0	def_ritual_2	vo_fmv_texts_text_def_ritual_2	False
320	br	28	135	1686093551	0	def_ritual_3	vo_fmv_texts_text_def_ritual_3	False
240	br	29	140	1686093551	0	def_ritual_4	vo_fmv_texts_text_def_ritual_4	False
575	br	31	400	1686093551	0	def_ritual_5	vo_fmv_texts_text_def_ritual_5	False
400	br	32	140	1686093551	0	def_win	vo_fmv_texts_text_def_win	False
260	br	38	140	1686093551	0	hef_horned_rat	vo_fmv_texts_text_hef_horned_rat	False
230	br	33	170	1686093551	0	hef_intro	vo_fmv_texts_text_hef_intro	False
225	br	34	115	1686093551	0	hef_ritual_1	vo_fmv_texts_text_hef_ritual_1	False
400	br	35	135	1686093551	0	hef_ritual_2	vo_fmv_texts_text_hef_ritual_2	False
230	br	36	130	1686093551	0	hef_ritual_3	vo_fmv_texts_text_hef_ritual_3	False
225	br	37	140	1686093551	0	hef_ritual_4	vo_fmv_texts_text_hef_ritual_4	False
465	br	39	380	1686093551	0	hef_ritual_5	vo_fmv_texts_text_hef_ritual_5	False
225	br	40	150	1686093551	0	hef_win	vo_fmv_texts_text_hef_win	False
784	br	12	608	1686093551	0	intro	vo_fmv_texts_text_intro	False
490	br	46	150	1686093551	0	lzd_horned_rat	vo_fmv_texts_text_lzd_horned_rat	False
565	br	41	300	1686093551	0	lzd_intro	vo_fmv_texts_text_lzd_intro	False
345	br	42	125	1686093551	0	lzd_ritual_1	vo_fmv_texts_text_lzd_ritual_1	False
285	br	43	135	1686093551	0	lzd_ritual_2	vo_fmv_texts_text_lzd_ritual_2	False
440	br	44	130	1686093551	0	lzd_ritual_3	vo_fmv_texts_text_lzd_ritual_3	False
230	br	45	125	1686093551	0	lzd_ritual_4	vo_fmv_texts_text_lzd_ritual_4	False
740	br	47	670	1686093551	0	lzd_ritual_5	vo_fmv_texts_text_lzd_ritual_5	False
300	br	48	125	1686093551	0	lzd_win	vo_fmv_texts_text_lzd_win	False
222	br	24	90	1686093551	0	race_intro_brt	vo_fmv_texts_text_race_intro_brt	False
309	br	20	78	1686093551	0	race_intro_bst	vo_fmv_texts_text_race_intro_bst	False
229	br	21	96	1686093551	0	race_intro_bst_mini	vo_fmv_texts_text_race_intro_bst_mini	False
223	br	13	123	1686093551	0	race_intro_chs	vo_fmv_texts_text_race_intro_chs	False
446	br	14	261	1686093551	0	race_intro_dwf	vo_fmv_texts_text_race_intro_dwf	False
490	br	15	392	1686093551	0	race_intro_emp	vo_fmv_texts_text_race_intro_emp	False
428	br	16	374	1686093551	0	race_intro_grn	vo_fmv_texts_text_race_intro_grn	False
357	br	17	292	1686093551	0	race_intro_vmp	vo_fmv_texts_text_race_intro_vmp	False
230	br	22	98	1686093551	0	race_intro_wef	vo_fmv_texts_text_race_intro_wef	False
612	br	23	557	1686093551	0	race_intro_wef_mini	vo_fmv_texts_text_race_intro_wef_mini	False
275	br	54	155	1686093551	0	skv_comet	vo_fmv_texts_text_skv_comet	False
250	br	55	160	1686093551	0	skv_horned_rat	vo_fmv_texts_text_skv_horned_rat	False
225	br	49	75	1686093551	0	skv_intro	vo_fmv_texts_text_skv_intro	False
535	br	50	145	1686093551	0	skv_ritual_1	vo_fmv_texts_text_skv_ritual_1	False
315	br	51	165	1686093551	0	skv_ritual_2	vo_fmv_texts_text_skv_ritual_2	False
330	br	52	220	1686093551	0	skv_ritual_3	vo_fmv_texts_text_skv_ritual_3	False
350	br	53	150	1686093551	0	skv_ritual_4	vo_fmv_texts_text_skv_ritual_4	False
325	br	56	175	1686093551	0	skv_ritual_5	vo_fmv_texts_text_skv_ritual_5	False
810	br	57	685	1686093551	0	skv_win	vo_fmv_texts_text_skv_win	False
3945	br	30	3765	1686093551	10	def_horned_rat	vo_fmv_texts_text_def_horned_rat	False
2210	br	25	2075	1686093551	10	def_intro	vo_fmv_texts_text_def_intro	False
3040	br	26	2875	1686093551	10	def_ritual_1	vo_fmv_texts_text_def_ritual_1	False
3375	br	38	3160	1686093551	10	hef_horned_rat	vo_fmv_texts_text_hef_horned_rat	False
3000	br	33	2875	1686093551	10	hef_intro	vo_fmv_texts_text_hef_intro	False
3305	br	34	3125	1686093551	10	hef_ritual_1	vo_fmv_texts_text_hef_ritual_1	False
4010	br	46	3830	1686093551	10	lzd_horned_rat	vo_fmv_texts_text_lzd_horned_rat	False
3260	br	41	3090	1686093551	10	lzd_intro	vo_fmv_texts_text_lzd_intro	False
4036	br	20	3920	1686093551	10	race_intro_bst	vo_fmv_texts_text_race_intro_bst	False
4598	br	14	4473	1686093551	10	race_intro_dwf	vo_fmv_texts_text_race_intro_dwf	False
3438	br	16	3306	1686093551	10	race_intro_grn	vo_fmv_texts_text_race_intro_grn	False
3445	br	22	3290	1686093551	10	race_intro_wef	vo_fmv_texts_text_race_intro_wef	False
3485	br	55	3275	1686093551	10	skv_horned_rat	vo_fmv_texts_text_skv_horned_rat	False
2345	br	49	2165	1686093551	10	skv_intro	vo_fmv_texts_text_skv_intro	False
3350	br	50	3120	1686093551	10	skv_ritual_1	vo_fmv_texts_text_skv_ritual_1	False
4180	br	30	3975	1686093551	11	def_horned_rat	vo_fmv_texts_text_def_horned_rat	False
2420	br	25	2335	1686093551	11	def_intro	vo_fmv_texts_text_def_intro	False
3890	br	26	3575	1686093551	11	def_ritual_1	vo_fmv_texts_text_def_ritual_1	False
3660	br	38	3470	1686093551	11	hef_horned_rat	vo_fmv_texts_text_hef_horned_rat	False
3360	br	33	3165	1686093551	11	hef_intro	vo_fmv_texts_text_hef_intro	False
4375	br	46	4080	1686093551	11	lzd_horned_rat	vo_fmv_texts_text_lzd_horned_rat	False
3570	br	41	3420	1686093551	11	lzd_intro	vo_fmv_texts_text_lzd_intro	False
4315	br	20	4180	1686093551	11	race_intro_bst	vo_fmv_texts_text_race_intro_bst	False
3816	br	16	3615	1686093551	11	race_intro_grn	vo_fmv_texts_text_race_intro_grn	False
3775	br	55	3560	1686093551	11	skv_horned_rat	vo_fmv_texts_text_skv_horned_rat	False
2720	br	49	2480	1686093551	11	skv_intro	vo_fmv_texts_text_skv_intro	False
3540	br	50	3385	1686093551	11	skv_ritual_1	vo_fmv_texts_text_skv_ritual_1	False
4430	br	30	4250	1686093551	12	def_horned_rat	vo_fmv_texts_text_def_horned_rat	False
2690	br	25	2430	1686093551	12	def_intro	vo_fmv_texts_text_def_intro	False
4015	br	26	3910	1686093551	12	def_ritual_1	vo_fmv_texts_text_def_ritual_1	False
3900	br	38	3685	1686093551	12	hef_horned_rat	vo_fmv_texts_text_hef_horned_rat	False
3455	br	33	3370	1686093551	12	hef_intro	vo_fmv_texts_text_hef_intro	False
4645	br	46	4570	1686093551	12	lzd_horned_rat	vo_fmv_texts_text_lzd_horned_rat	False
3860	br	41	3630	1686093551	12	lzd_intro	vo_fmv_texts_text_lzd_intro	False
