land_units_officers_tables
4
key	officer_1	officer_2	standard_bearer_1	standard_bearer_2	musician_1	musician_2	unknown7	unknown8
A_blank_record							front	
wh2_main_def_cauldron_of_blood							front	wh2_main_def_cauldron_of_blood
wh2_main_def_cold_one_chariot							front	wh2_main_def_cold_one_chariot
wh2_main_def_cold_one_chariot_malekith							front	wh2_main_def_cold_one_chariot_malekith
wh2_main_def_dreadlord_dragon_officer	wh2_def_dreadlord_dragon						front	
wh2_main_def_dreadlord_female_dragon_officer	wh2_def_dreadlord_female_dragon						front	
wh2_main_def_seraphon_malekith	wh2_main_def_seraphon_malekith						front	
wh2_main_hef_alastar_officer_dragon	wh2_main_hef_alastar_dragon_rider1						front	
wh2_main_hef_alastar_officer_eagle	wh2_main_hef_alastar_eagle_rider1						front	
wh2_main_hef_ithilmar_chariot_horse_mage_high_officer							front	wh2_main_hef_ithilmar_chariot_horse_mage_high_officer
wh2_main_hef_ithilmar_chariot_horse_mage_life_officer							front	wh2_main_hef_ithilmar_chariot_horse_mage_life_officer
wh2_main_hef_ithilmar_chariot_horse_mage_light_officer							front	wh2_main_hef_ithilmar_chariot_horse_mage_light_officer
wh2_main_hef_ithilmar_chariot_horse_noble_officer							front	wh2_main_hef_ithilmar_chariot_horse_noble_officer
wh2_main_hef_ithilmar_chariot_horse_officer							front	wh2_main_hef_ithilmar_chariot_horse_officer
wh2_main_hef_noble_officer_eagle	wh2_main_hef_noble_eagle						front	
wh2_main_hef_prince_officer_dragon	wh2_main_hef_prince_dragon_rider1						front	
wh2_main_hef_prince_officer_eagle	wh2_main_hef_prince_eagle_rider1						front	
wh2_main_hef_princess_officer_dragon	wh2_main_hef_princess_dragon						front	
wh2_main_hef_princess_officer_eagle	wh2_main_hef_princess_eagle						front	
wh2_main_hef_tiranoc_chariot_horse_officer							front	wh2_main_hef_tiranoc_chariot_horse_officer
wh2_main_lzd_cha_kroq_gar_officer	wh2_main_lzd_cha_kroq_gar_carnosaur						front	
wh2_main_lzd_cha_saurus_old_blood_officer	wh2_main_lzd_cha_saurus_old_blood_carnosaur						front	
wh2_main_lzd_cha_scar_veteran_officer	wh2_main_lzd_cha_scar_veteran_carnosaur						front	
wh2_main_lzd_mon_ancient_stegadon_riders							front	wh2_main_lzd_mon_ancient_stegadon_riders
wh2_main_lzd_mon_ancient_stegadon_riders_mazdamundi							front	wh2_main_lzd_mon_ancient_stegadon_riders_mazdamundi
wh2_main_lzd_mon_ancient_stegadon_riders_skink_chief							front	wh2_main_lzd_mon_ancient_stegadon_riders_skink_chief
wh2_main_lzd_mon_ancient_stegadon_riders_skink_priest							front	wh2_main_lzd_mon_ancient_stegadon_riders_skink_priest
wh2_main_lzd_mon_bastilidon_riders							front	wh2_main_lzd_mon_bastiladon_riders
wh2_main_lzd_mon_bastilidon_riders_primary_ammo							front	wh2_main_lzd_mon_bastiladon_riders_primary_ammo
wh2_main_lzd_mon_stegadon_riders							front	wh2_main_lzd_mon_stegadon_riders
wh2_main_lzd_mon_stegadon_riders_skink_chief							front	wh2_main_lzd_mon_stegadon_riders_skink_chief
wh2_main_lzd_mon_stegadon_riders_skink_priest							front	wh2_main_lzd_mon_stegadon_riders_skink_priest
wh2_main_lzd_palanquin_mazdamundi							front	wh2_main_lzd_palanquin_mazdamundi
wh2_main_lzd_palanquin_slann							front	wh2_main_lzd_palanquin_slann
wh2_main_skv_cha_grey_seer_1_officer							front	wh2_main_skv_cha_grey_seer_1
wh2_main_skv_cha_plague_priest_2_officer							front	wh2_main_skv_cha_plague_priest_2
wh2_main_skv_skv_cha_warlord_1_officer	wh2_main_skv_cha_warlord_1						front	
wh2_main_skv_veh_doomwheel_riders							front	wh2_main_skv_veh_doomwheel_riders
wh_dlc01_chs_cha_chaos_lord_10	wh_dlc01_chs_cha_chaos_lord_10						front	
wh_dlc01_chs_cha_chaos_lord_2	wh_dlc01_chs_cha_chaos_lord_2						front	
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10						front	
wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9						front	
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10						front	
wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9						front	
wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10						front	
