projectiles_tables
44
key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistence	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_vs_infantry	bonus_vs_cavalry	bonus_vs_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple	gravity	burst_size	burst_shot_delay	mass	homing_param	first_person_params	ignition_amount	is_magical	can_target_airborne	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_target	can_damage_vehicles
wh2_main_army_abilities_bloodwrack_cauldron	fireball	artillery_explosive	wh2_main_army_abilities_bloodwrack_cauldron	shell_spin	1	low	200	25	50	75	30	0	864	216	False	False	2	1	250	1	0	0	0	wh2_main_army_abilities_bloodwrack_cauldron		wh2_main_ability_bloodwrack_cauldron	3.5	True		False	-1	1	0	1000			0	True	True	45	all	-1	False	False	False	True	1	False	False	True	True
wh2_main_army_abilities_bolt_of_spite	arrow	artillery_explosive	wh2_main_army_abilities_bolt_of_spite	shell_spin	1	low	200	25	50	40	30	0	864	216	False	False	2	1	250	1	0	0	0	wh2_main_army_abilities_bolt_of_spite		wh2_main_ability_bolt_of_spite	3.5	True		False	0.1	1	0	1000	wh2_main_army_abilities_bolt_of_spite		0	True	True	45	high_magic	-1	False	False	False	True	1	False	False	True	True
wh2_main_army_abilities_brazen_cauldron	fireball	artillery_explosive	wh2_main_army_abilities_brazen_cauldron	shell_spin	1	low	200	25	50	75	30	0	864	216	False	False	2	1	250	1	0	0	0	wh2_main_army_abilities_brazen_cauldron		wh2_main_ability_brazen_cauldron	3.5	True		False	-1	1	0	1000			0	True	True	45	all	-1	False	False	False	True	1	False	False	True	True
wh2_main_army_abilities_khaines_flail	artillery	artillery_explosive	wh2_main_army_abilities_khaines_flail	shell_spin	1	low	200	25	50	160	30	0	0	672	False	False	2	1	75	0.1	0	0	0	wh2_main_army_abilities_khaines_flail		wh_magic_urannons_thunderbolt	2	True		False	0.85	1	0	100			0	True	True	45	high_magic	-1	False	False	False	True	1	False	False	True	True
wh2_main_army_abilities_khaines_lash	artillery	artillery_explosive	wh2_main_army_abilities_khaines_lash	shell_spin	1	low	200	25	50	160	30	0	0	672	False	False	2	1	75	0.1	0	0	0	wh2_main_army_abilities_khaines_lash		wh_magic_urannons_thunderbolt	2	True		False	0.85	1	0	100			0	True	True	45	high_magic	-1	False	False	False	True	1	False	False	True	True
wh2_main_army_abilities_khaines_scourge	artillery	artillery_explosive	wh2_main_army_abilities_khaines_scourge	shell_spin	1	low	200	25	50	160	30	0	0	672	False	False	2	1	75	0.1	0	0	0	wh2_main_army_abilities_khaines_scourge		wh_magic_urannons_thunderbolt	2	True		False	0.85	1	0	100			0	True	True	45	high_magic	-1	False	False	False	True	1	False	False	True	True
wh2_main_army_abilities_skaven_bomb	artillery	artillery_explosive	wh2_main_army_abilities_vortic_blast	none	1	low	50	10	5	-1	5	1	1	1	False	False	0.5	27	1	1	0	0	0	wh2_main_no_visual		wh_copter_bomb	0.5	True		False	-1	1	0	10			1	False	False	45	very_low_magic	-1	False	False	False	False	1	False	False	True	True
wh2_main_army_abilities_sky_cauldron	fireball	artillery_explosive	wh2_main_army_abilities_sky_cauldron	shell_spin	1	low	200	25	50	75	30	0	864	216	False	False	2	1	250	1	0	0	0	wh2_main_army_abilities_sky_cauldron		wh2_main_ability_sky_cauldron	3.5	True		False	-1	1	0	1000			0	True	True	45	all	-1	False	False	False	True	1	False	False	True	True
wh2_main_army_abilities_soul_rain	arrow	small_arm_flaming	wh2_main_army_abilities_soul_rain	shell_spin	1	low	40	0	88	30	0	5	52	26	False	False	0.5	1	250	10	0	0	0	wh2_main_army_abilities_soul_rain		wh2_main_ability_soul_rain	1	False		False	10	1	0	25			1	True	True	45	very_low_magic	-1	False	False	False	True	1	False	False	True	False
wh2_main_army_abilities_soul_storm	arrow	small_arm_flaming	wh2_main_army_abilities_soul_storm	shell_spin	1	low	40	0	88	30	0	5	52	26	False	False	0.5	1	250	10	0	0	0	wh2_main_army_abilities_soul_storm		wh2_main_ability_soul_storm	1	False		False	10	1	0	25			1	True	True	45	very_low_magic	-1	False	False	False	True	1	False	False	True	False
