unit_variants_tables
5
faction	name	unit	variant	unit_card
	brt_macemen	brt_macemen	brt_macemen	brt_macemen
	brt_crossbow	brt_crossbow	brt_crossbow	brt_crossbow
	brt_tournament	brt_tournament	brt_tournament	brt_tournament
	bst_Pestigor	bst_Pestigor	bst_Pestigor	bst_Pestigor
	bst_Khorngor	bst_Khorngor	bst_Khorngor	bst_Khorngor
	bst_Slaangor	bst_Slaangor	bst_Slaangor	bst_Slaangor
	bst_Tzaangor	bst_Tzaangor	bst_Tzaangor	bst_Tzaangor
	chs_zelot	chs_zelot	chs_zelot	chs_zelot
	chs_marauder_mutant	chs_marauder_mutant	chs_marauder_mutant	chs_marauder_mutant
	chs_chaos_dragon	chs_chaos_dragon	chs_chaos_dragon	chs_chaos_dragon
	dwf_oathsworn	dwf_oathsworn	dwf_oathsworn	dwf_oathsworn
	dwf_giant_slayer	dwf_giant_slayer	dwf_giant_slayer	dwf_giant_slayer
	dwf_sniper	dwf_sniper	dwf_sniper	dwf_sniper
	emp_imp_guard	emp_imp_guard	emp_imp_guard	emp_imp_guard
	emp_huntsmen	emp_huntsmen	emp_huntsmen	emp_huntsmen
	emp_sigmar_war	emp_sigmar_war	emp_sigmar_war	emp_sigmar_war
	emp_witch_squad	emp_witch_squad	emp_witch_squad	emp_witch_squad
	emp_nuln_ironsides	emp_nuln_ironsides	emp_nuln_ironsides	emp_nuln_ironsides
	emp_huntsmen	emp_huntsmen	emp_huntsmen	emp_huntsmen
	emp_knights_panther	emp_knights_panther	emp_knights_panther	emp_knights_panther
	grn_savage_big_great	grn_savage_big_great	grn_savage_big_great	grn_savage_big_great
	grn_black_orc_shields	grn_black_orc_shields	grn_black_orc_shields	grn_black_orc_shields
	grn_black_orc_boss	grn_black_orc_boss	grn_black_orc_boss	grn_black_orc_boss
	grn_forest_spear	grn_forest_spear	grn_forest_spear	grn_forest_spear
	grn_nightgoblin_spearmen	grn_nightgoblin_spearmen	grn_nightgoblin_spearmen	grn_nightgoblin_spearmen
	vmp_black_grail	vmp_black_grail	vmp_black_grail	vmp_black_grail
	vmp_blood_dragon	vmp_blood_dragon	vmp_blood_dragon	vmp_blood_dragon
	vmp_zombie_dragon	vmp_zombie_dragon	vmp_zombie_dragon	vmp_zombie_dragon
	wef_shadowdancer	wef_shadowdancer	wef_shadowdancer	wef_shadowdancer
	wef_eternal_sword	wef_eternal_sword	wef_eternal_sword	wef_eternal_sword
	wef_wildwood_warden	wef_wildwood_warden	wef_wildwood_warden	wef_wildwood_warden
