commander_unit_permissions_tables
0
culture_key	faction_key	subculture_key	unit_key
		wh_dlc03_sc_bst_beastmen	wh_dlc03_bst_cha_beastlord_0
		wh_dlc05_sc_wef_wood_elves	wh_dlc05_wef_cha_glade_lord_0
		wh_main_sc_brt_bretonnia	wh_main_brt_cha_lord_0
		wh_main_sc_brt_bretonnia	wh_main_brt_shp_galleon_general
		wh_main_sc_chs_chaos	wh_main_chs_shp_bloodship_general
		wh_main_sc_dwf_dwarfs	wh_main_dwf_cha_lord_0
		wh_main_sc_dwf_dwarfs	wh_main_dwf_shp_dreadnaught_general
		wh_main_sc_emp_empire	wh_main_emp_cha_general_0
		wh_main_sc_emp_empire	wh_main_emp_shp_greatship_general
wh_main_grn_greenskins			wh_main_grn_shp_hulk_general
		wh_main_sc_ksl_kislev	wh_main_ksl_cha_general_0
		wh_main_sc_ksl_kislev	wh_main_ksl_shp_greatship_general
		wh_main_sc_nor_norsca	wh_main_nor_cha_marauder_chieftan_0
		wh_main_sc_nor_norsca	wh_main_nor_shp_bloodship_general
		wh_main_sc_teb_teb	wh_main_teb_cha_general_0
		wh_main_sc_teb_teb	wh_main_teb_shp_greatship_general
		wh_main_sc_vmp_vampire_counts	wh_main_vmp_cha_vampire_lord_0
		wh_main_sc_vmp_vampire_counts	wh_main_vmp_shp_griefship_general
