audio_battle_environment_loops_tables
2
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11
True	Battle_Environment_Beastmen_Ambience_Play	Battle_Environment_Beastmen_Ambience_Stop			beastmen_ambience	100	False	1	False	False	False
True	Battle_Environment_Beastmen_Forest_Play	Battle_Environment_Beastmen_Forest_Stop	Generic_Forest_Percentage		beastmen_forest	150	False	1	False	False	False
False	Battle_Environment_Element_Water_Lake_Beastmen_Play	Battle_Environment_Element_Water_Lake_Beastmen_Stop	Generic_Water_Percentage		beastmen_lake	100	False	1	False	False	False
True	Battle_Environment_Cave_Ambience_Play	Battle_Environment_Cave_Ambience_Stop			cave_ambience	100	False	1	False	False	False
True	Battle_Environment_Cave_Forest_Play	Battle_Environment_Cave_Forest_Stop	Generic_Forest_Percentage		cave_forest	150	False	1	False	False	False
False	Battle_Environment_Element_Water_Lake_Cave_Play	Battle_Environment_Element_Water_Lake_Cave_Stop	Generic_Water_Percentage		cave_lake	150	False	1	False	False	False
False	Battle_Environment_Element_Wind_Cave_Play	Battle_Environment_Element_Wind_Cave_Stop	Battle_Wind_Intensity		cave_wind	100	True	166	False	False	True
True	Battle_Environment_chaos_Ambience_Play	Battle_Environment_chaos_Ambience_Stop			chaos_ambience	100	False	1	False	False	False
True	Battle_Environment_chaos_Forest_Play	Battle_Environment_chaos_Forest_Stop	Generic_Forest_Percentage		chaos_forest	150	False	1	False	False	False
False	Battle_Environment_Element_Water_Lake_Chaos_Play	Battle_Environment_Element_Water_Lake_Chaos_Stop	Generic_Water_Percentage		chaos_lake	100	False	1	False	False	False
False	Battle_Environment_Element_Wind_Chaos_Play	Battle_Environment_Element_Wind_Chaos_Stop	Battle_Wind_Intensity		chaos_wind	100	True	166	False	False	True
True	Battle_Environment_Dark_Elves_Beach_Forest_Play	Battle_Environment_Dark_Elves_Beach_Forest_Stop	Generic_Forest_Percentage		dark_elves_beach_forest	150	False	1	False	False	False
False	Battle_Environment_Element_Water_Lake_Dark_Elves_Beach_Play	Battle_Environment_Element_Water_Lake_Dark_Elves_Beach_Stop	Generic_Water_Percentage		dark_elves_beach_lake	100	False	1	False	False	False
True	Battle_Environment_Dark_Elves_Beach_Primary_Play	Battle_Environment_Dark_Elves_Beach_Primary_Stop			dark_elves_beach_primary	100	False	1	False	False	False
True	Battle_Environment_Dark_Elves_Beach_Secondary_Play	Battle_Environment_Dark_Elves_Beach_Secondary_Stop			dark_elves_beach_secondary	100	False	1	False	False	False
