faction_groups_tables
2
effect_bundle	key	unknown2
wh2_main_faction_trait_dark_elves	wh2_main_fact_group_dark_elves	9
wh2_main_faction_trait_high_elves	wh2_main_fact_group_high_elves	8
wh2_main_faction_trait_lizardmen	wh2_main_fact_group_lizardmen	10
wh2_main_faction_trait_rogue	wh2_main_fact_group_rogue	0
wh2_main_faction_trait_skaven	wh2_main_fact_group_skaven	11
wh2_main_faction_trait_dark_elves	wh2_main_fact_group_vor_def_malekith	2
wh2_main_faction_trait_dark_elves	wh2_main_fact_group_vor_def_morathi	3
wh2_main_faction_trait_high_elves	wh2_main_fact_group_vor_hef_teclis	1
wh2_main_faction_trait_high_elves	wh2_main_fact_group_vor_hef_tyrion	0
wh2_main_faction_trait_lizardmen	wh2_main_fact_group_vor_lzd_kroq_gar	5
wh2_main_faction_trait_lizardmen	wh2_main_fact_group_vor_lzd_lord_mazdamundi	4
wh2_main_faction_trait_skaven	wh2_main_fact_group_vor_skv_lord_skrolk	7
wh2_main_faction_trait_skaven	wh2_main_fact_group_vor_skv_queek_headtaker	6
wh_dlc03_faction_trait_beastmen	wh_dlc03_fact_group_beastmen	5
wh_dlc03_faction_trait_beastmen	wh_dlc03_fact_group_beastmen_khazrak	0
wh_dlc05_faction_trait_wood_elves	wh_dlc05_fact_group_wood_elves	0
wh_main_faction_trait_dwarfs	wh_dlc06_fact_group_belegar	6
wh_main_faction_trait_greenskins	wh_dlc06_fact_group_skarsnik	7
wh_main_faction_trait_greenskins	wh_dlc06_fact_group_wurrzag	8
wh_main_faction_trait_humans	wh_dlc08_fact_group_tomb_kings	7
wh_main_faction_trait_bretonnia	wh_main_fact_group_bretonnia	6
wh_main_faction_trait_chaos	wh_main_fact_group_chaos	4
wh_main_faction_trait_dwarfs	wh_main_fact_group_dwarfs	1
wh_main_faction_trait_humans	wh_main_fact_group_empire	0
wh_main_faction_trait_greenskins	wh_main_fact_group_greenskins	2
wh_main_faction_trait_humans	wh_main_fact_group_kislev	0
wh_main_faction_trait_chaos	wh_main_fact_group_norsca	0
wh_main_faction_trait_humans	wh_main_fact_group_teb	0
wh_main_faction_trait_vampire	wh_main_fact_group_vampire_counts	3
