ancillaries_included_agent_subtypes_tables
0
agent_subtype	ancillary
wh2_main_def_malekith	wh2_main_anc_arcane_item_circlet_of_iron
wh2_main_hef_teclis	wh2_main_anc_arcane_item_moon_staff_of_lileath
wh2_main_hef_teclis	wh2_main_anc_arcane_item_scroll_of_hoeth
wh2_main_skv_lord_skrolk	wh2_main_anc_arcane_item_the_liber_bubonicus
wh2_main_def_morathi	wh2_main_anc_arcane_item_wand_of_the_kharaidon
wh2_main_hef_teclis	wh2_main_anc_arcane_item_war_crown_of_saphery
wh2_main_def_malekith	wh2_main_anc_armour_armour_of_midnight
wh2_main_hef_tyrion	wh2_main_anc_armour_dragon_armour_of_aenarion
wh2_main_hef_prince_alastar	wh2_main_anc_armour_lions_pelt
wh2_main_def_malekith	wh2_main_anc_armour_supreme_spellshield
wh2_main_skv_queek_headtaker	wh2_main_anc_armour_warp_shard_armour
wh2_main_lzd_kroq_gar	wh2_main_anc_enchanted_item_hand_of_gods
wh2_main_hef_tyrion	wh2_main_anc_enchanted_item_heart_of_avelorn
wh2_main_hef_teclis	wh2_main_anc_follower_hef_counsellor
wh2_main_hef_tyrion	wh2_main_anc_follower_hef_counsellor
wh2_main_lzd_lord_mazdamundi	wh2_main_anc_magic_standard_sunburst_standard_of_hexoatl
wh2_main_def_death_hag	wh2_main_anc_mount_def_death_hag_cauldron_of_blood
wh2_main_def_dreadlord	wh2_main_anc_mount_def_dreadlord_black_dragon
wh2_main_def_dreadlord	wh2_main_anc_mount_def_dreadlord_cold_one
wh2_main_def_dreadlord	wh2_main_anc_mount_def_dreadlord_dark_pegasus
wh2_main_def_dreadlord	wh2_main_anc_mount_def_dreadlord_dark_steed
wh2_main_def_dreadlord_fem	wh2_main_anc_mount_def_dreadlord_fem_black_dragon
wh2_main_def_dreadlord_fem	wh2_main_anc_mount_def_dreadlord_fem_cold_one
wh2_main_def_dreadlord_fem	wh2_main_anc_mount_def_dreadlord_fem_dark_pegasus
wh2_main_def_dreadlord_fem	wh2_main_anc_mount_def_dreadlord_fem_dark_steed
wh2_main_def_malekith	wh2_main_anc_mount_def_malekith_cold_one_chariot
wh2_main_def_malekith	wh2_main_anc_mount_def_malekith_cold_one
wh2_main_def_malekith	wh2_main_anc_mount_def_malekith_seraphon
wh2_main_def_morathi	wh2_main_anc_mount_def_morathi_sulephet
wh2_main_def_sorceress_dark	wh2_main_anc_mount_def_sorceress_dark_cold_one
wh2_main_def_sorceress_dark	wh2_main_anc_mount_def_sorceress_dark_dark_pegasus
wh2_main_def_sorceress_dark	wh2_main_anc_mount_def_sorceress_dark_dark_steed
wh2_main_def_sorceress_fire	wh2_main_anc_mount_def_sorceress_fire_cold_one
wh2_main_def_sorceress_fire	wh2_main_anc_mount_def_sorceress_fire_dark_pegasus
wh2_main_def_sorceress_fire	wh2_main_anc_mount_def_sorceress_fire_dark_steed
wh2_main_def_sorceress_shadow	wh2_main_anc_mount_def_sorceress_shadow_cold_one
wh2_main_def_sorceress_shadow	wh2_main_anc_mount_def_sorceress_shadow_dark_pegasus
wh2_main_def_sorceress_shadow	wh2_main_anc_mount_def_sorceress_shadow_dark_steed
wh2_main_hef_prince_alastar	wh2_main_anc_mount_hef_alastair_great_eagle
wh2_main_hef_prince_alastar	wh2_main_anc_mount_hef_alastair_star_dragon
wh2_main_hef_prince_alastar	wh2_main_anc_mount_hef_alastair_sun_dragon
wh2_main_hef_mage_high	wh2_main_anc_mount_hef_mage_high_elven_steed
wh2_main_hef_mage_high	wh2_main_anc_mount_hef_mage_high_ithilmar_chariot
wh2_main_hef_mage_life	wh2_main_anc_mount_hef_mage_life_elven_steed
wh2_main_hef_mage_life	wh2_main_anc_mount_hef_mage_life_ithilmar_chariot
wh2_main_hef_mage_light	wh2_main_anc_mount_hef_mage_light_elven_steed
wh2_main_hef_mage_light	wh2_main_anc_mount_hef_mage_light_ithilmar_chariot
wh2_main_hef_noble	wh2_main_anc_mount_hef_noble_barded_ithilmar_steed
wh2_main_hef_noble	wh2_main_anc_mount_hef_noble_eagle
wh2_main_hef_noble	wh2_main_anc_mount_hef_noble_ithilmar_chariot
wh2_main_hef_prince	wh2_main_anc_mount_hef_prince_barded_ithilmar_steed
wh2_main_hef_prince	wh2_main_anc_mount_hef_prince_great_eagle
wh2_main_hef_prince	wh2_main_anc_mount_hef_prince_star_dragon
wh2_main_hef_prince	wh2_main_anc_mount_hef_prince_sun_dragon
wh2_main_hef_princess	wh2_main_anc_mount_hef_princess_elven_steed
wh2_main_hef_princess	wh2_main_anc_mount_hef_princess_great_eagle
wh2_main_hef_princess	wh2_main_anc_mount_hef_princess_moon_dragon
wh2_main_hef_princess	wh2_main_anc_mount_hef_princess_star_dragon
