building_chain_availabilities_tables
1
building_chain	culture	faction	key	subculture	campaign
wh_main_bas_grn	wh_main_grn_greenskins		5866	wh_main_sc_grn_greenskins	main_warhammer
wh_main_bas_emp	wh_main_emp_empire		5889	wh_main_sc_emp_empire	main_warhammer
wh_main_bas_dwf	wh_main_dwf_dwarfs		5918	wh_main_sc_dwf_dwarfs	main_warhammer
wh_main_bas_chs	wh_main_chs_chaos		5949	wh_main_sc_chs_chaos	main_warhammer
wh_main_bas_vmp	wh_main_vmp_vampire_counts		5980	wh_main_sc_vmp_vampire_counts	main_warhammer
wh_main_bas_nor	wh_main_chs_chaos		6014	wh_main_sc_nor_norsca	main_warhammer
wh_main_bas_teb	wh_main_emp_empire		6042	wh_main_sc_teb_teb	main_warhammer
wh_main_bas_brt	wh_main_brt_bretonnia		6066	wh_main_sc_brt_bretonnia	main_warhammer
wh_main_bas_ksl	wh_main_emp_empire		6067	wh_main_sc_ksl_kislev	main_warhammer
wh_main_bas_orc	wh_main_grn_greenskins		6072	wh_main_sc_grn_greenskins	main_warhammer
wh_main_bas_gob	wh_main_grn_greenskins		6077	wh_main_sc_grn_greenskins	main_warhammer
wh_main_bas_savorc	wh_main_grn_greenskins		6081	wh_main_sc_grn_savage_orcs	main_warhammer
wh_dlc03_bas_bst	wh_dlc03_bst_beastmen		6091	wh_dlc03_sc_bst_beastmen	main_warhammer
wh_dlc05_bas_wef	wh_dlc05_wef_wood_elves		6175	wh_dlc05_sc_wef_wood_elves	main_warhammer
wh_main_bas_grn	wh_main_grn_greenskins		6177	wh_main_sc_grn_greenskins	wh2_main_great_vortex
wh_main_bas_emp	wh_main_emp_empire		6178	wh_main_sc_emp_empire	wh2_main_great_vortex
wh_main_bas_dwf	wh_main_dwf_dwarfs		6183	wh_main_sc_dwf_dwarfs	wh2_main_great_vortex
wh_main_bas_chs	wh_main_chs_chaos		6188	wh_main_sc_chs_chaos	wh2_main_great_vortex
wh_main_bas_vmp	wh_main_vmp_vampire_counts		6196	wh_main_sc_vmp_vampire_counts	wh2_main_great_vortex
wh_main_bas_nor	wh_main_chs_chaos		6206	wh_main_sc_nor_norsca	wh2_main_great_vortex
wh_main_bas_teb	wh_main_emp_empire		6215	wh_main_sc_teb_teb	wh2_main_great_vortex
wh_main_bas_brt	wh_main_brt_bretonnia		6221	wh_main_sc_brt_bretonnia	wh2_main_great_vortex
wh_main_bas_ksl	wh_main_emp_empire		6224	wh_main_sc_ksl_kislev	wh2_main_great_vortex
wh_main_bas_orc	wh_main_grn_greenskins		6228	wh_main_sc_grn_greenskins	wh2_main_great_vortex
wh_main_bas_gob	wh_main_grn_greenskins		6230	wh_main_sc_grn_greenskins	wh2_main_great_vortex
wh_main_bas_savorc	wh_main_grn_greenskins		6237	wh_main_sc_grn_savage_orcs	wh2_main_great_vortex
wh_dlc03_bas_bst	wh_dlc03_bst_beastmen		6240	wh_dlc03_sc_bst_beastmen	wh2_main_great_vortex
wh_dlc05_bas_wef	wh_dlc05_wef_wood_elves		6247	wh_dlc05_sc_wef_wood_elves	wh2_main_great_vortex
wh2_main_bas_hef	wh2_main_hef_high_elves		6252	wh2_main_sc_hef_high_elves	wh2_main_great_vortex
wh2_main_bas_hef	wh2_main_hef_high_elves		6256	wh2_main_sc_hef_high_elves	main_warhammer
wh2_main_bas_def	wh2_main_def_dark_elves		6261	wh2_main_sc_def_dark_elves	wh2_main_great_vortex
wh2_main_bas_def	wh2_main_def_dark_elves		6268	wh2_main_sc_def_dark_elves	main_warhammer
wh2_main_bas_lzd	wh2_main_lzd_lizardmen		6271	wh2_main_sc_lzd_lizardmen	wh2_main_great_vortex
wh2_main_bas_lzd	wh2_main_lzd_lizardmen		6274	wh2_main_sc_lzd_lizardmen	main_warhammer
wh2_main_bas_skv	wh2_main_skv_skaven		6275	wh2_main_sc_skv_skaven	wh2_main_great_vortex
wh2_main_bas_skv	wh2_main_skv_skaven		6276	wh2_main_sc_skv_skaven	main_warhammer
wh2_main_bas_rogue	wh2_main_rogue		6390		wh2_main_great_vortex
wh2_main_bas_rogue	wh2_main_rogue		6420		main_warhammer
