cdir_military_generator_unit_qualities_tables
1
group_key	quality	unit_key
Default_dlc06_land_animal_pack_skarsnik_waaagh	1	wh_dlc06_grn_inf_squig_herd_0
Default_dlc06_land_animal_pack_wurrzag_waaagh	1	wh_dlc06_grn_inf_squig_herd_0
Default_dlc06_land_artillery_skarsnik_waaagh	5	wh_main_grn_art_doom_diver_catapult
Default_dlc06_land_artillery_skarsnik_waaagh	1	wh_main_grn_art_goblin_rock_lobber
Default_dlc06_land_artillery_wurrzag_waaagh	5	wh_main_grn_art_doom_diver_catapult
Default_dlc06_land_artillery_wurrzag_waaagh	1	wh_main_grn_art_goblin_rock_lobber
Default_dlc06_land_cavalry_melee_skarsnik_waaagh	1	wh_dlc06_grn_cav_squig_hoppers_0
Default_dlc06_land_cavalry_melee_skarsnik_waaagh	1	wh_main_grn_cav_forest_goblin_spider_riders_0
Default_dlc06_land_cavalry_melee_skarsnik_waaagh	1	wh_main_grn_cav_goblin_wolf_riders_0
Default_dlc06_land_cavalry_melee_wurrzag_waaagh	1	wh_dlc06_grn_cav_squig_hoppers_0
Default_dlc06_land_cavalry_melee_wurrzag_waaagh	1	wh_main_grn_cav_forest_goblin_spider_riders_0
Default_dlc06_land_cavalry_melee_wurrzag_waaagh	1	wh_main_grn_cav_goblin_wolf_riders_0
Default_dlc06_land_cavalry_melee_wurrzag_waaagh	5	wh_main_grn_cav_savage_orc_boar_boy_big_uns
Default_dlc06_land_cavalry_melee_wurrzag_waaagh	2	wh_main_grn_cav_savage_orc_boar_boyz
Default_dlc06_land_cavalry_missile_skarsnik_waaagh	1	wh_main_grn_cav_forest_goblin_spider_riders_1
Default_dlc06_land_cavalry_missile_skarsnik_waaagh	1	wh_main_grn_cav_goblin_wolf_riders_1
Default_dlc06_land_cavalry_missile_wurrzag_waaagh	1	wh_main_grn_cav_forest_goblin_spider_riders_1
Default_dlc06_land_cavalry_missile_wurrzag_waaagh	1	wh_main_grn_cav_goblin_wolf_riders_1
Default_dlc06_land_command_skarsnik_waaagh	5	wh_dlc06_grn_cha_night_goblin_warboss_0
Default_dlc06_land_command_skarsnik_waaagh	5	wh_dlc06_grn_cha_night_goblin_warboss_1
Default_dlc06_land_command_skarsnik_waaagh	5	wh_dlc06_grn_cha_skarsnik_0
Default_dlc06_land_command_skarsnik_waaagh	5	wh_dlc06_grn_cha_wurrzag_0
Default_dlc06_land_command_skarsnik_waaagh	5	wh_dlc06_grn_cha_wurrzag_1
Default_dlc06_land_command_skarsnik_waaagh	5	wh_main_grn_cha_goblin_big_boss_0
Default_dlc06_land_command_skarsnik_waaagh	5	wh_main_grn_cha_goblin_big_boss_1
Default_dlc06_land_command_skarsnik_waaagh	5	wh_main_grn_cha_goblin_big_boss_2
Default_dlc06_land_command_wurrzag_waaagh	5	wh_dlc06_grn_cha_skarsnik_0
Default_dlc06_land_command_wurrzag_waaagh	5	wh_dlc06_grn_cha_wurrzag_0
Default_dlc06_land_command_wurrzag_waaagh	5	wh_dlc06_grn_cha_wurrzag_1
Default_dlc06_land_command_wurrzag_waaagh	5	wh_main_grn_cha_goblin_big_boss_0
Default_dlc06_land_command_wurrzag_waaagh	5	wh_main_grn_cha_goblin_big_boss_1
Default_dlc06_land_command_wurrzag_waaagh	5	wh_main_grn_cha_goblin_big_boss_2
Default_dlc06_land_giant_skarsnik_waaagh	5	wh_main_grn_mon_giant
Default_dlc06_land_giant_wurrzag_waaagh	5	wh_main_grn_mon_giant
Default_dlc06_land_infantry_melee_skarsnik_waaagh	1	wh_main_grn_inf_night_goblin_fanatics
Default_dlc06_land_infantry_missile_skarsnik_waaagh	5	wh_main_grn_inf_night_goblin_fanatics_1
Default_dlc06_land_infantry_melee_skarsnik_waaagh	1	wh_main_grn_inf_night_goblins
Default_dlc06_land_infantry_melee_wurrzag_waaagh	5	wh_main_grn_inf_savage_orc_big_uns
Default_dlc06_land_infantry_melee_wurrzag_waaagh	2	wh_main_grn_inf_savage_orcs
Default_dlc06_land_infantry_missile_skarsnik_waaagh	1	wh_main_grn_inf_goblin_archers
Default_dlc06_land_infantry_missile_skarsnik_waaagh	1	wh_main_grn_inf_night_goblin_archers
Default_dlc06_land_infantry_missile_wurrzag_waaagh	1	wh_main_grn_inf_goblin_archers
Default_dlc06_land_infantry_missile_wurrzag_waaagh	1	wh_main_grn_inf_savage_orc_arrer_boyz
Default_dlc06_land_infantry_monterous_skarsnik_waaagh	1	wh_main_grn_mon_trolls
Default_dlc06_land_infantry_monterous_wurrzag_waaagh	1	wh_main_grn_mon_trolls
Default_dlc06_land_infantry_spearmen_skarsnik_waaagh	0	wh_dlc06_grn_inf_nasty_skulkers_0
Default_dlc06_land_infantry_spearmen_skarsnik_waaagh	1	wh_main_grn_inf_goblin_spearmen
Default_dlc06_land_infantry_spearmen_wurrzag_waaagh	0	wh_dlc06_grn_inf_nasty_skulkers_0
Default_dlc06_land_infantry_spearmen_wurrzag_waaagh	1	wh_main_grn_inf_goblin_spearmen
Default_dlc06_land_magic_skarsnik_waaagh	5	wh_main_grn_cha_goblin_great_shaman_0
Default_dlc06_land_magic_skarsnik_waaagh	5	wh_main_grn_cha_goblin_great_shaman_1
Default_dlc06_land_magic_skarsnik_waaagh	5	wh_main_grn_cha_night_goblin_shaman
Default_dlc06_land_magic_wurrzag_waaagh	5	wh_main_grn_cha_goblin_great_shaman_0
Default_dlc06_land_magic_wurrzag_waaagh	5	wh_main_grn_cha_goblin_great_shaman_1
Default_dlc06_land_monster_skarsnik_waaagh	5	wh_main_grn_mon_arachnarok_spider_0
Default_dlc06_land_monster_wurrzag_waaagh	5	wh_main_grn_mon_arachnarok_spider_0
Default_dlc06_land_vehicle_skarsnik_waaagh	1	wh_main_grn_cav_goblin_wolf_chariot
Default_dlc06_land_vehicle_wurrzag_waaagh	1	wh_main_grn_cav_goblin_wolf_chariot
Default_land_animal_pack_flying	1	wh_dlc05_bst_mon_harpies_0
Default_land_animal_pack_flying	1	wh_main_vmp_mon_fell_bats
Default_land_animal_pack	1	wh_main_chs_mon_chaos_warhounds_0
Default_land_animal_pack	5	wh_main_chs_mon_chaos_warhounds_1
Default_land_anti_armour	5	wh2_main_lzd_cav_cold_ones_1
Default_land_anti_armour	1	wh2_main_lzd_cav_cold_ones_feral_0
Default_land_anti_armour	1	wh2_main_lzd_cav_cold_ones_feral_0_summoned
Default_land_anti_armour	10	wh2_main_lzd_cav_horned_ones_0
Default_land_anti_armour	10	wh2_main_lzd_cav_horned_ones_blessed_0
Default_land_anti_armour	5	wh2_main_lzd_mon_bastiladon_0
Default_land_anti_armour	10	wh2_main_lzd_mon_carnosaur_0
Default_land_anti_armour	10	wh2_main_lzd_mon_carnosaur_blessed_0
elite	10	wh2_main_lzd_mon_kroxigors
Default_land_anti_armour	10	wh2_main_lzd_mon_kroxigors_blessed
Default_land_anti_armour	5	wh2_main_lzd_mon_stegadon_0
Default_land_anti_large	5	wh2_main_lzd_cav_cold_one_spearmen_1
Default_land_anti_large	5	wh2_main_lzd_cav_cold_one_spearriders_blessed_0
Default_land_anti_large	5	wh2_main_lzd_inf_saurus_spearmen_0
Default_land_anti_large	5	wh2_main_lzd_inf_saurus_spearmen_1
Default_land_anti_large	5	wh2_main_lzd_inf_saurus_spearmen_blessed_1
Default_land_anti_large	5	wh2_main_skv_inf_clanrat_spearmen_0
Default_land_anti_large	5	wh2_main_skv_inf_clanrat_spearmen_1
Default_land_anti_large	1	wh2_main_skv_inf_skavenslave_spearmen_0
Default_land_anti_large	10	wh2_main_skv_inf_stormvermin_0
Default_land_artillery	5	wh2_main_def_art_reaper_bolt_thrower
Default_land_artillery	5	wh2_main_def_cav_cold_one_chariot
Default_land_artillery	5	wh2_main_def_cav_dark_riders_2
Default_land_artillery	5	wh2_main_hef_art_eagle_claw_bolt_thrower
Default_land_artillery	10	wh2_main_lzd_mon_bastiladon_2
Default_land_artillery	10	wh2_main_lzd_mon_bastiladon_blessed_2
Default_land_artillery	5	wh2_main_lzd_mon_stegadon_1
Default_land_artillery	5	wh2_main_lzd_mon_stegadon_blessed_1
Default_land_artillery	5	wh2_main_skv_art_plagueclaw_catapult
Default_land_artillery	5	wh2_main_skv_art_warp_lightning_cannon
Default_land_artillery	5	wh_dlc03_bst_inf_cygor_0
Default_land_artillery	10	wh_dlc04_emp_art_hammer_of_the_witches_0
Default_land_artillery	10	wh_dlc04_emp_art_sunmaker_0
Default_land_artillery	5	wh_dlc06_dwf_art_bolt_thrower_0
Default_land_artillery	10	wh_dlc06_dwf_art_gob_lobber_0
Default_land_artillery	10	wh_dlc06_grn_art_hammer_of_gork_0
Default_land_artillery	5	wh_dlc07_brt_art_blessed_field_trebuchet_0
Default_land_artillery	5	wh_main_brt_art_field_trebuchet
Default_land_artillery	1	wh_main_chs_art_hellcannon
Default_land_artillery	5	wh_main_dwf_art_cannon
Default_land_artillery	10	wh_main_dwf_art_flame_cannon
Default_land_artillery	5	wh_main_dwf_art_grudge_thrower
Default_land_artillery	10	wh_main_dwf_art_organ_gun
Default_land_artillery	5	wh_main_emp_art_great_cannon
Default_land_artillery	10	wh_main_emp_art_helblaster_volley_gun
Default_land_artillery	10	wh_main_emp_art_helstorm_rocket_battery
Default_land_artillery	5	wh_main_emp_art_mortar
Default_land_artillery	10	wh_main_grn_art_doom_diver_catapult
Default_land_artillery	1	wh_main_grn_art_goblin_rock_lobber
Default_land_aura	5	wh_dlc07_brt_inf_grail_reliquae_0
Default_land_cavalry_melee	5	wh2_main_def_cav_cold_one_knights_0
elite	10	wh2_main_def_cav_cold_one_knights_1
Default_land_cavalry_melee	1	wh2_main_def_cav_dark_riders_0
Default_land_cavalry_melee	1	wh2_main_def_cav_dark_riders_1
elite	10	wh2_main_hef_cav_dragon_princes
Default_land_cavalry_melee	1	wh2_main_hef_cav_ellyrian_reavers_0
Default_land_cavalry_melee	1	wh2_main_hef_cav_ithilmar_chariot
Default_land_cavalry_melee	5	wh2_main_hef_cav_silver_helms_0
Default_land_cavalry_melee	5	wh2_main_hef_cav_silver_helms_1
Default_land_cavalry_melee	1	wh_dlc03_bst_inf_chaos_warhounds_0
