cai_personalities_task_management_system_task_generator_profiles_tables
2
default_generator_group_when_no_owned_regions	default_generator_group_when_owning_regions	unknown2	unknown3
aggressive_anti_player_raider_task_generator_profile	aggressive_anti_player_raider		
aggressive_anti_player_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_anti_player_task_generator_profile	aggressive_anti_player		
aggressive_avoid_player_raider_task_generator_profile	aggressive_avoid_player_raider		
aggressive_avoid_player_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_avoid_player_task_generator_profile	aggressive_avoid_player		
aggressive_coloniser_avoid_oldworld_races_and_player_task_generator_profile	aggressive_coloniser_avoid_oldworld_races_and_player		
aggressive_coloniser_avoid_oldworld_races_anti_player_task_generator_profile	aggressive_coloniser_avoid_oldworld_races_anti_player		
aggressive_coloniser_avoid_oldworld_races_task_generator_profile	aggressive_coloniser_avoid_oldworld_races		
aggressive_destroyer_anti_player_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_destroyer_anti_player_task_generator_profile	aggressive_destroyer_anti_player		
aggressive_destroyer_avoid_player_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_destroyer_avoid_player_task_generator_profile	aggressive_destroyer_avoid_player		
aggressive_destroyer_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_destroyer_task_generator_profile	aggressive_destroyer		
aggressive_focused_coloniser_avoid_oldworld_races_and_player_task_generator_profile	aggressive_focused_coloniser_avoid_oldworld_races_and_player	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_focused_coloniser_avoid_oldworld_races_anti_player_task_generator_profile	aggressive_focused_coloniser_avoid_oldworld_races_anti_player	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_focused_coloniser_avoid_oldworld_races_task_generator_profile	aggressive_focused_coloniser_avoid_oldworld_races	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_focused_overseas_attacker_anti_player_task_generator_profile	aggressive_focused_overseas_attacker_anti_player	personality_desc_short_naval_aggressor	personality_desc_long_naval_aggressor
aggressive_focused_overseas_attacker_avoid_player_task_generator_profile	aggressive_focused_overseas_attacker_avoid_player	personality_desc_short_naval_aggressor	personality_desc_long_naval_aggressor
aggressive_focused_overseas_attacker_task_generator_profile	aggressive_focused_overseas_attacker	personality_desc_short_naval_aggressor	personality_desc_long_naval_aggressor
aggressive_no_attack_chaos_anti_player_raider_task_generator_profile	aggressive_no_attack_chaos_anti_player_raider		
aggressive_no_attack_chaos_anti_player_recoloniser_task_generator_profile	aggressive_no_target_chaos_anti_player_recoloniser	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_no_attack_chaos_anti_player_task_generator_profile	aggressive_no_target_chaos_anti_player		
aggressive_no_attack_chaos_avoid_player_raider_task_generator_profile	aggressive_no_attack_chaos_avoid_player_raider		
aggressive_no_attack_chaos_avoid_player_recoloniser_task_generator_profile	aggressive_no_target_chaos_avoid_player_recoloniser	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_no_attack_chaos_avoid_player_task_generator_profile	aggressive_no_target_chaos_avoid_player		
aggressive_no_attack_chaos_raider_task_generator_profile	aggressive_no_attack_chaos_raider		
aggressive_no_attack_chaos_recoloniser_task_generator_profile	aggressive_no_target_chaos_recoloniser	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_no_attack_chaos_task_generator_profile	aggressive_no_target_chaos		
aggressive_noruins_avoid_oldworld_races_and_player_task_generator_profile	aggressive_noruins_avoid_oldworld_races_and_player		
aggressive_noruins_avoid_oldworld_races_anti_player_task_generator_profile	aggressive_noruins_avoid_oldworld_races_anti_player		
aggressive_noruins_avoid_oldworld_races_task_generator_profile	aggressive_noruins_avoid_oldworld_races		
aggressive_raider_task_generator_profile	aggressive_raider		
aggressive_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_task_generator_profile	aggressive		
aggressive_vcregion_anti_player_task_generator_profile	aggressive_vcregion_anti_player		
aggressive_vcregion_avoid_player_task_generator_profile	aggressive_vcregion_avoid_player		
aggressive_vcregion_coloniser_anti_player_task_generator_profile	aggressive_vcregion_coloniser_anti_player	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_vcregion_coloniser_avoid_player_task_generator_profile	aggressive_vcregion_coloniser_avoid_player	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_vcregion_coloniser_task_generator_profile	aggressive_vcregion_coloniser	personality_desc_short_recoloniser	personality_desc_long_recoloniser
aggressive_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	aggressive_vcregion_focused_overseas_attacker_anti_player	personality_desc_short_naval_aggressor	personality_desc_long_naval_aggressor
aggressive_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	aggressive_vcregion_focused_overseas_attacker_avoid_player	personality_desc_short_naval_aggressor	personality_desc_long_naval_aggressor
aggressive_vcregion_focused_overseas_attacker_task_generator_profile	aggressive_vcregion_focused_overseas_attacker	personality_desc_short_naval_aggressor	personality_desc_long_naval_aggressor
aggressive_vcregion_task_generator_profile	aggressive_vcregion		
default_allied_anti_player_task_generator_profile	basic_allied_anti_player		
default_allied_avoid_player_task_generator_profile	basic_allied_avoid_player		
default_allied_task_generator_profile	basic_allied		
default_anti_player_opportunist_task_generator_profile	basic_anti_player_opportunist	personality_desc_short_opportunist	personality_desc_long_opportunist
default_anti_player_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_anti_player_task_generator_profile	defensive_anti_player		
default_avoid_player_opportunist_task_generator_profile	basic_avoid_player_opportunist	personality_desc_short_opportunist	personality_desc_long_opportunist
default_avoid_player_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_avoid_player_task_generator_profile	basic_avoid_player		
default_coloniser_anti_player_task_generator_profile	basic_coloniser_anti_player		
default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	basic_coloniser_avoid_oldworld_races_and_player		
default_coloniser_avoid_oldworld_races_task_generator_profile	basic_coloniser_avoid_oldworld_races		
default_coloniser_avoid_player_task_generator_profile	basic_coloniser_avoid_player		
default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	basic_coloniser_avoids_oldworld_races_anti_player		
default_coloniser_task_generator_profile	basic_coloniser		
default_focused_coloniser_avoid_oldworld_races_and_player_task_generator_profile	basic_focused_coloniser_avoid_oldworld_races_and_player	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_focused_coloniser_avoid_oldworld_races_task_generator_profile	basic_focused_coloniser_avoid_oldworld_races	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_focused_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	basic_focused_coloniser_avoids_oldworld_races_anti_player	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_no_attack_chaos_anti_player_opportunist_task_generator_profile	basic_no_target_chaos_anti_player_opportunist	personality_desc_short_opportunist	personality_desc_long_opportunist
default_no_attack_chaos_anti_player_recoloniser_task_generator_profile	basic_no_target_chaos_anti_player_recoloniser	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_no_attack_chaos_anti_player_task_generator_profile	defensive_no_target_chaos_anti_player		
default_no_attack_chaos_avoid_player_opportunist_task_generator_profile	basic_no_target_chaos_avoid_player_opportunist	personality_desc_short_opportunist	personality_desc_long_opportunist
default_no_attack_chaos_avoid_player_recoloniser_task_generator_profile	basic_no_target_chaos_avoid_player_recoloniser	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_no_attack_chaos_avoid_player_task_generator_profile	basic_no_target_chaos_avoid_player		
default_no_attack_chaos_opportunist_task_generator_profile	basic_no_target_chaos_opportunist	personality_desc_short_opportunist	personality_desc_long_opportunist
default_no_attack_chaos_recoloniser_task_generator_profile	basic_no_target_chaos_recoloniser	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_no_attack_chaos_task_generator_profile	basic_no_target_chaos		
default_noruins_avoid_oldworld_races_and_player_task_generator_profile	basic_noruins_avoid_oldworld_races_and_player		
default_noruins_avoid_oldworld_races_task_generator_profile	basic_noruins_avoid_oldworld_races		
default_noruins_avoids_oldworld_races_anti_player_task_generator_profile	basic_noruins_avoids_oldworld_races_anti_player		
default_opportunist_task_generator_profile	basic_opportunist	personality_desc_short_opportunist	personality_desc_long_opportunist
default_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_task_generator_profile	basic		
default_vcregion_anti_player_task_generator_profile	basic_vcregion_anti_player		
default_vcregion_avoid_player_task_generator_profile	basic_vcregion_avoid_player		
default_vcregion_coloniser_anti_player_task_generator_profile	basic_vcregion_coloniser_anti_player	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_vcregion_coloniser_avoid_player_task_generator_profile	basic_vcregion_coloniser_avoid_player	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_vcregion_coloniser_task_generator_profile	basic_vcregion_coloniser	personality_desc_short_recoloniser	personality_desc_long_recoloniser
default_vcregion_focused_overseas_attacker_anti_player_task_generator_profile	basic_vcregion_focused_overseas_attacker_anti_player	personality_desc_short_naval_aggressor	personality_desc_long_naval_aggressor
default_vcregion_focused_overseas_attacker_avoid_player_task_generator_profile	basic_vcregion_focused_overseas_attacker_avoid_player	personality_desc_short_naval_aggressor	personality_desc_long_naval_aggressor
default_vcregion_focused_overseas_attacker_task_generator_profile	basic_vcregion_focused_overseas_attacker	personality_desc_short_naval_aggressor	personality_desc_long_naval_aggressor
default_vcregion_task_generator_profile	basic_vcregion		
default_waagh_task_generator_profile	waaagh		
defensive_allied_anti_player_task_generator_profile	defensive_allied_anti_player		
defensive_allied_avoid_player_task_generator_profile	defensive_allied_avoid_player		
defensive_allied_task_generator_profile	defensive_allied		
defensive_anti_player_raider_task_generator_profile	defensive_anti_player_raider		
defensive_anti_player_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
defensive_anti_player_task_generator_profile	defensive_anti_player		
defensive_avoid_player_raider_task_generator_profile	defensive_avoid_player_raider		
defensive_avoid_player_recoloniser_task_generator_profile	basic	personality_desc_short_recoloniser	personality_desc_long_recoloniser
defensive_avoid_player_task_generator_profile	defensive_avoid_player		
defensive_avoids_oldworld_races_and_player_task_generator_profile	defensive_avoids_oldworld_races_and_player		
defensive_avoids_oldworld_races_anti_player_task_generator_profile	defensive_avoids_oldworld_races_anti_player		
defensive_avoids_oldworld_races_task_generator_profile	defensive_avoids_oldworld_races		
defensive_no_attack_chaos_anti_player_recoloniser_task_generator_profile	defensive_no_target_chaos_anti_player_recoloniser	personality_desc_short_recoloniser	personality_desc_long_recoloniser
