audio_entity_types_tables
18
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21	unknown22	unknown23	unknown24	unknown25	unknown26
					none		Battle_Musician_Event		wood			veryloud							False			1		False		
					wh2_bastiladon				wood			veryloud							False			1		True		large_creature_combat
					wh2_carnosaur				wood			veryloud							False			1		True		large_creature_combat
wh2_cold_one_combat					wh2_cold_one	wh2_cold_one_running	Battle_Musician_Event		wood	wh2_cold_one_walking	wh2_grp_movement_beast_medium_claws	medium							False	wh_grp_foley_movement_beast_heavy_leather		1		True		
		wh2_def_elf_female_default_fatigue_stop		wh2_def_elf_female_default_idle	wh2_def_elf_female_default	wh2_def_elf_female_default_running	Battle_Musician_Event		wood	wh2_def_elf_female_default_walking	wh_grp_movement_humanoid	medium				wh2_def_elf_female_default			False			1		False		
				wh2_def_elf_female_default_idle	wh2_def_elf_female_default_LH	wh2_def_elf_female_default_running	Battle_Musician_Event		wood	wh2_def_elf_female_default_walking		Lord_Hero				wh2_def_elf_female_default			False			1.2		True	hero_default	hero_combat
		wh2_def_elf_male_default_fatigue_stop		wh2_def_elf_male_default_idle	wh2_def_elf_male_default	wh2_def_elf_male_default_running	Battle_Musician_Event		wood	wh2_def_elf_male_default_walking	wh_grp_movement_humanoid	medium				wh2_def_elf_male_default			False			1		False		
		wh2_def_elf_male_default_fatigue_stop		wh2_def_elf_male_default_idle	wh2_def_elf_male_default_LH	wh2_def_elf_male_default_running	Battle_Musician_Event		wood	wh2_def_elf_male_default_walking		Lord_Hero				wh2_def_elf_male_default			False			1.2		True	hero_default	hero_combat
wh2_hydra_combat			wh2_hydra_walking	wh2_hydra_idle	wh2_dragon_large_hydra	wh2_hydra_running	Battle_Musician_Event		wood	wh2_hydra_walking		veryloud							False			1		True		large_creature_combat
					wh2_hef_cauldron_of_blood		Battle_Musician_Event		metal			veryloud	wh_cauldron_of_blood_idle	wh_cauldron_of_blood_movement	wh_cauldron_of_blood_movement				True			1		False		
					wh2_hef_dragon_large_black		Battle_Musician_Event		wood			veryloud							False			1		True		large_creature_combat
					wh2_hef_dragon_large_moon		Battle_Musician_Event		wood			veryloud							False			1		True		large_creature_combat
					wh2_hef_dragon_large_star		Battle_Musician_Event		wood			veryloud							False			1		True		large_creature_combat
					wh2_hef_dragon_large_sun		Battle_Musician_Event		wood			veryloud							False			1		True		large_creature_combat
		wh2_hef_elf_female_default_fatigue_stop		wh2_hef_elf_female_default_idle	wh2_hef_elf_female_default	wh2_hef_elf_female_default_running	Battle_Musician_Event		wood	wh2_hef_elf_female_default_walking	wh_grp_movement_humanoid	medium				wh2_hef_elf_female_default			False			1		False		
		wh2_hef_elf_female_default_fatigue_stop		wh2_hef_elf_female_default_idle	wh2_hef_elf_female_default_LH	wh2_hef_elf_female_default_running	Battle_Musician_Event		wood	wh2_hef_elf_female_default_walking		Lord_Hero				wh2_hef_elf_female_default			False			1.2		True	hero_default	hero_combat
		wh2_hef_elf_male_default_fatigue_stop		wh2_hef_elf_male_default_idle	wh2_hef_elf_male_default	wh2_hef_elf_male_default_running	Battle_Musician_Event		wood	wh2_hef_elf_male_default_walking	wh_grp_movement_humanoid	medium				wh2_hef_elf_male_default			False			1		False		
		wh2_hef_elf_male_default_fatigue_stop		wh2_hef_elf_male_default_idle	wh2_hef_elf_male_default_LH	wh2_hef_elf_male_default_running	Battle_Musician_Event		wood	wh2_hef_elf_male_default_walking		Lord_Hero				wh2_hef_elf_male_default			False			1.2		True	hero_default	hero_combat
					wh2_hef_elf_male_phoenix_guard		Battle_Musician_Event		wood		wh_grp_movement_humanoid	medium				wh2_hef_elf_male_default			False			1		False		
		wh2_hef_elf_male_default_fatigue_stop		wh2_hef_elf_male_default_idle	wh2_hef_elf_male_tyrion_LH	wh2_hef_elf_male_default_running	Battle_Musician_Event		wood	wh2_hef_elf_male_default_walking		Lord_Hero	wh2_flaming_sword	wh2_flaming_sword	wh2_flaming_sword	wh2_hef_elf_male_default			False			1.2		True	hero_default	hero_combat
				wh2_phoenix_flamespyre_idle	wh2_hef_phoenix_flamespyre	wh2_phoenix_flamespyre_running	Battle_Musician_Event	wh2_hef_phoenix_flamespyre	wood	wh2_phoenix_flamespyre_walking	wh_grp_movement_beast_medium	large					wh_grp_movement_flying_medium_bird	wh_grp_movement_flying_medium_bird	False			1		True		large_creature_combat
