mercenary_pool_to_groups_junctions_tables
1
group	initial_unit_count	key	pool	faction	sub-culture	technology
wh2_main_lzd_inf_skink_skirmishers_blessed_0	0	1061905494	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_main_lzd_mon_bastiladon_blessed_2	0	1113561308	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_main_lzd_inf_saurus_warriors_blessed_1	0	1320556615	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_main_lzd_mon_stegadon_blessed_1	0	1436018117	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_main_lzd_cav_horned_ones_blessed_0	0	1800351829	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_main_lzd_mon_kroxigors_blessed	0	2114839832	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_main_lzd_inf_temple_guards_blessed	0	2117845909	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh_main_vmp_inf_skeleton_warriors_0	1	2617	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_crypt_ghouls	0	2674	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_skeleton_warriors_1	1	2691	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_zombie	2	2696	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_dire_wolves	0	2698	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh2_main_lzd_cav_cold_one_spearriders_blessed_0	0	28946108	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh_main_vmp_cav_black_knights_0	0	2949	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_cav_black_knights_3	0	2959	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_cav_hexwraiths	0	2965	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_cairn_wraiths	0	2971	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_grave_guard_0	0	2973	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_grave_guard_1	0	2979	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_crypt_horrors	0	2988	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_terrorgheist	0	2997	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_vargheists	0	3000	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_varghulf	0	3005	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_veh_black_coach	0	3009	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_crypt_ghouls	0	3012	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_skeleton_warriors_0	0	3020	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_skeleton_warriors_1	0	3030	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_dire_wolves	0	3032	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_fell_bats	0	3039	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_skeleton_warriors_0	1	3056	wh_main_vmp_province_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_skeleton_warriors_1	1	3063	wh_main_vmp_province_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_zombie	2	3083	wh_main_vmp_province_pool		wh_main_sc_vmp_vampire_counts	
wh_dlc04_emp_art_hammer_of_the_witches_0	1	3090	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_art_sunmaker_0	1	3094	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_cav_royal_altdorf_gryphites_0	1	3101	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_cav_zintlers_reiksguard_0	1	3109	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
wh_dlc04_emp_inf_silver_bullets_0	1	3115	wh_dlc04_emp_units_of_renown_pool		wh_main_sc_emp_empire	
