cai_personality_group_junctions_tables
0
unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11
default	default	1	2	95	105	200	1	1	1	1
wh2_group_beastmen_default_easy	wh2_horde_easy	1	20	100	150	200	1	1	1	1
wh2_group_beastmen_default_hard	wh2_horde_hard	1	20	100	150	200	1	1	1	1
wh2_group_beastmen_default	wh2_horde	1	20	100	150	200	1	1	1	1
wh2_group_bretonnia_default_easy	wh2_reliable_easy	1	20	100	150	200	1	1	1	1
wh2_group_bretonnia_default_hard	wh2_reliable_hard	1	20	100	150	200	1	1	1	1
wh2_group_bretonnia_default	wh2_reliable	1	20	100	150	200	1	1	1	1
wh2_group_darkelf_default_easy	wh2_darkelf_early_easy	3	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_easy	wh2_darkelf_early_internally_hostile_aggressive_easy	1	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_easy	wh2_darkelf_early_noruins_easy	0	50	100	150	200	0	0	0	0
wh2_group_darkelf_default_easy	wh2_darkelf_early_subordinate_easy	2	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_easy	wh2_darkelf_easy	0	20	100	150	200	3	3	3	3
wh2_group_darkelf_default_easy	wh2_darkelf_internally_hostile_aggressive_easy	0	20	100	150	200	1	1	1	1
wh2_group_darkelf_default_easy	wh2_darkelf_subordinate_easy	0	20	100	150	200	2	2	2	2
wh2_group_darkelf_default_hard_against_darkelves	wh2_darkelf_early_internally_hostile_aggressive_less_diplomatic_hard	8	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_hard_against_darkelves	wh2_darkelf_early_less_diplomatic_hard	3	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_hard_against_darkelves	wh2_darkelf_early_noruins_internally_hostile_aggressive_less_diplomatic_hard	0	50	100	150	200	0	0	0	0
wh2_group_darkelf_default_hard_against_darkelves	wh2_darkelf_early_subordinate_hard	1	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_hard_against_darkelves	wh2_darkelf_internally_hostile_aggressive_less_diplomatic_hard	0	20	100	150	200	8	8	8	8
wh2_group_darkelf_default_hard_against_darkelves	wh2_darkelf_less_diplomatic_hard	0	20	100	150	200	3	3	3	3
wh2_group_darkelf_default_hard_against_darkelves	wh2_darkelf_subordinate_hard	0	20	100	150	200	1	1	1	1
wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_darkelf_early_hard	3	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_darkelf_early_internally_hostile_aggressive_hard	1	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_darkelf_early_noruins_hard	0	50	100	150	200	0	0	0	0
wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_darkelf_early_subordinate_hard	6	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_darkelf_hard	0	20	100	150	200	3	3	3	3
wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_darkelf_internally_hostile_aggressive_hard	0	20	100	150	200	1	1	1	1
wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_darkelf_subordinate_hard	0	20	100	150	200	6	6	6	6
wh2_group_darkelf_default_hard	wh2_darkelf_early_hard	3	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_hard	wh2_darkelf_early_internally_hostile_aggressive_hard	1	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_hard	wh2_darkelf_early_subordinate_hard	1	20	100	150	200	0	0	0	0
wh2_group_darkelf_default_hard	wh2_darkelf_hard	0	20	100	150	200	3	3	3	3
wh2_group_darkelf_default_hard	wh2_darkelf_internally_hostile_aggressive_hard	0	20	100	150	200	1	1	1	1
