cdir_events_dilemma_payloads_tables
2
choice_key	dilemma_key	id	unknown4	payload_key	unknown6	value
FIRST	zar_sk_dilemma_trade_for_food	7001	0	zar_sk_payload_food_for_gold	True	DURATION[1];GLOBAL
SECOND	zar_sk_dilemma_trade_for_food	7003	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	zar_sk_dilemma_ratcatchers	7010	0	ADD_ANCILLARY	True	ANCILLARY_KEY[wh2_main_anc_follower_skv_ratcatcher_zar]
SECOND	zar_sk_dilemma_ratcatchers	7012	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	zar_sk_dilemma_ratcatchers	7011	0	TREASURY	True	AMOUNT[-2000]
FIRST	zar_sk_dilemma_trade_for_food	7002	0	TREASURY	True	AMOUNT[-1000]
FIRST	zar_sk_dilemma_furry_thieves	7021	0	zar_sk_payload_fury_thieves	True	DURATION[1];GLOBAL
FIRST	zar_sk_dilemma_furry_thieves	7022	0	DIPLOMATIC_STANDING	True	AMOUNT[-3]
SECOND	zar_sk_dilemma_furry_thieves	7023	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	zar_sk_dilemma_false_prophet	7042	0	TREASURY	True	AMOUNT[-1000]
FIRST	zar_sk_dilemma_false_prophet	7041	0	zar_sk_payload_false_prophet_use	True	DURATION[10]
FIRST	zar_sk_dilemma_false_prophet	7043	0	TARGET	True	EVENT
SECOND	zar_sk_dilemma_false_prophet	7044	0	zar_sk_payload_false_prophet_kill	True	DURATION[1]
SECOND	zar_sk_dilemma_false_prophet	7045	0	TARGET	True	EVENT
FIRST	zar_sk_dilemma_skaven_raid_2	7052	0	TREASURY	True	AMOUNT[-750]
FIRST	zar_sk_dilemma_skaven_raid_2	7051	0	zar_sk_payload_skaven_raid_2	True	DURATION[4]
FIRST	zar_sk_dilemma_skaven_raid_2	7053	0	TARGET	True	EVENT
SECOND	zar_sk_dilemma_skaven_raid_2	7054	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	zar_sk_dilemma_skaven_raid_1	7062	0	TREASURY	True	AMOUNT[-500]
FIRST	zar_sk_dilemma_skaven_raid_1	7063	0	TARGET	True	EVENT
SECOND	zar_sk_dilemma_skaven_raid_1	7064	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	zar_sk_dilemma_skaven_raid_1	7065	0	zar_sk_payload_skaven_food_theft	True	DURATION[4]
FIRST	zar_sk_dilemma_sewer_patrols	7072	0	TREASURY	True	AMOUNT[-750]
FIRST	zar_sk_dilemma_sewer_patrols	7071	0	zar_sk_payload_sewer_patrol	True	DURATION[40]
FIRST	zar_sk_dilemma_sewer_patrols	7073	0	TARGET	True	EVENT
SECOND	zar_sk_dilemma_sewer_patrols	7074	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	zar_sk_dilemma_sewer_patrols_emp	7082	0	TREASURY	True	AMOUNT[-750]
FIRST	zar_sk_dilemma_sewer_patrols_emp	7081	0	zar_sk_payload_sewer_patrol	True	DURATION[20]
FIRST	zar_sk_dilemma_sewer_patrols_emp	7083	0	TARGET	True	EVENT
SECOND	zar_sk_dilemma_sewer_patrols_emp	7084	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	zar_sk_dilemma_skaven_raid_3	7092	0	TREASURY	True	AMOUNT[-1500]
FIRST	zar_sk_dilemma_skaven_raid_3	7091	0	zar_sk_payload_skaven_raid_3	True	DURATION[6]
FIRST	zar_sk_dilemma_skaven_raid_3	7093	0	TARGET	True	EVENT
SECOND	zar_sk_dilemma_skaven_raid_3	7094	0	TEXT_DISPLAY	True	LOOKUP[dummy_do_nothing]
FIRST	zar_sk_dilemma_skaven_raid_3	7095	0	DAMAGE_BUILDING	True	MIN[1];MAX[2]
FIRST	zar_sk_dilemma_retake_skavenblight	7031	0	zar_sk_payload_skaven_raid_3	True	DURATION[6]
FIRST	zar_sk_dilemma_retake_skavenblight	7032	0	TARGET	True	EVENT
SECOND	zar_sk_dilemma_retake_skavenblight	7034	0	zar_sk_payload_retake_skavenblight_denied	True	DURATION[13]
