battle_set_pieces_tables
10
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15
60	weather/battle/wh_def_norsca_01_altar_of_darkness.environment	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness	script/battle\quest_battles\malekith\circlet_of_iron\battle_script.lua	classic	0	0	True	quest_battle_1	True	qb_wh2_altar_of_ultimate_darkness	500		False	False	False
60	weather/battle/wh_vaulsanvil_02.environment	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil	script/battle\quest_battles\malekith\destroyer\battle_script.lua	classic	0	0	True	catchment_01	True	qb_wh2_vauls_anvil	500	catchment_01	False	False	False
60	Weather/Battle/wh_mosquito_swamp.environment	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps	script/battle\quest_battles\malekith\supreme_spellshield\battle_script.lua	ambush	0	0	False	quest_battle_2	True	qb_wh2_mosquito_swamps	500		False	False	False
60	weather/battle/wh_arnheim_01.environment	wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim	script/battle\quest_battles\morathi\heartrender_and_the_darksword\battle_script.lua	classic	0	0	True	quest_battle_1	True	qb_wh2_arnheim	500		False	False	False
60	weather/battle/wh_final_battle_01.environment	wh2_main_qb_final_battle_def	script/battle/quest_battles/wh2_final_battle/player/dark_elves_battle_script.lua	classic	0	0	True	quest_battle_1	True	wh2_final_battle	0		False	False	False
60	weather/battle/wh_final_battle_01.environment	wh2_main_qb_final_battle_def_ai_hef	script/battle/quest_battles/wh2_final_battle/ai/battle_script.lua	classic	0	0	True		True	wh2_final_battle	0		False	False	False
60	weather/battle/wh_final_battle_01.environment	wh2_main_qb_final_battle_def_ai_lzd	script/battle/quest_battles/wh2_final_battle/ai/battle_script.lua	classic	-250	350	True		True	wh2_final_battle	0		False	False	False
60	weather/battle/wh_final_battle_01.environment	wh2_main_qb_final_battle_def_ai_skv	script/battle/quest_battles/wh2_final_battle/ai/battle_script.lua	classic	0	200	True		True	wh2_final_battle	0		False	False	False
60	weather/battle/wh_final_battle_01.environment	wh2_main_qb_final_battle_def_head_to_head	script/battle/quest_battles/wh2_final_battle/head_to_head/battle_script.lua	classic	0	0	True	quest_battle_1	True	wh2_final_battle	0		False	False	False
60	weather/battle/wh_final_battle_01.environment	wh2_main_qb_final_battle_def_morathi	script/battle/quest_battles/wh2_final_battle/player/dark_elves_battle_script.lua	classic	0	0	True	quest_battle_1	True	wh2_final_battle	0		False	False	False
