unit_armour_types_tables
6
armour_value	key	audio_type
10	wh2_main_body_10	body
100	wh2_main_body_100	body
110	wh2_main_body_110	body
120	wh2_main_body_120	body
140	wh2_main_body_140	body
15	wh2_main_body_15	body
20	wh2_main_body_20	body
25	wh2_main_body_25	body
30	wh2_main_body_30	body
35	wh2_main_body_35	body
40	wh2_main_body_40	body
45	wh2_main_body_45	body
5	wh2_main_body_5	body
50	wh2_main_body_50	body
55	wh2_main_body_55	body
60	wh2_main_body_60	body
70	wh2_main_body_70	body
75	wh2_main_body_75	body
80	wh2_main_body_80	body
85	wh2_main_body_85	body
90	wh2_main_body_90	body
95	wh2_main_body_95	body
150	wh2_main_bone_150	bone
20	wh2_main_bone_20	bone
45	wh2_main_bone_45	bone
80	wh2_main_bone_80	bone
100	wh2_main_chainmail_100	chainmail
110	wh2_main_chainmail_110	chainmail
115	wh2_main_chainmail_115	chainmail
120	wh2_main_chainmail_120	chainmail
125	wh2_main_chainmail_125	chainmail
25	wh2_main_chainmail_25	chainmail
30	wh2_main_chainmail_30	chainmail
35	wh2_main_chainmail_35	chainmail
40	wh2_main_chainmail_40	chainmail
50	wh2_main_chainmail_50	chainmail
80	wh2_main_chainmail_80	chainmail
85	wh2_main_chainmail_85	chainmail
95	wh2_main_chainmail_95	chainmail
100	wh2_main_heavy_metal_100	heavy_metal
110	wh2_main_heavy_metal_110	heavy_metal
115	wh2_main_heavy_metal_115	heavy_metal
120	wh2_main_heavy_metal_120	heavy_metal
160	wh2_main_heavy_metal_160	heavy_metal
40	wh2_main_heavy_metal_40	heavy_metal
55	wh2_main_heavy_metal_55	heavy_metal
65	wh2_main_heavy_metal_65	heavy_metal
70	wh2_main_heavy_metal_70	heavy_metal
90	wh2_main_heavy_metal_90	heavy_metal
15	wh2_main_leather_15	leather
20	wh2_main_leather_20	leather
25	wh2_main_leather_25	leather
30	wh2_main_leather_30	leather
35	wh2_main_leather_35	leather
45	wh2_main_leather_45	leather
50	wh2_main_leather_50	leather
80	wh2_main_leather_80	leather
100	wh2_main_plate_100	plate
105	wh2_main_plate_105	plate
110	wh2_main_plate_110	plate
120	wh2_main_plate_120	plate
125	wh2_main_plate_125	plate
130	wh2_main_plate_130	plate
30	wh2_main_plate_30	plate
40	wh2_main_plate_40	plate
50	wh2_main_plate_50	plate
60	wh2_main_plate_60	plate
70	wh2_main_plate_70	plate
75	wh2_main_plate_75	plate
80	wh2_main_plate_80	plate
85	wh2_main_plate_85	plate
90	wh2_main_plate_90	plate
95	wh2_main_plate_95	plate
0	wh_main_body_0	body
