special_ability_phases_tables
31
duration	effect_type	id	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_change_mod	ability_recharge_change	hp_change_frequency	heal_amount	damage_chance	damage_amount	max_damaged_entites	heal_amount_duplicate	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	recharge_time	is_hidden_in_ui	affects_allies	affects_enemies
-1	negative	wh_dlc06_lord_abilities_wurrzags_revenge		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0				-1	False	True	True
25	positive	wh_main_character_abilities_foe_seeker		False	False	False	-0.18	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_attack	wh_main_character_abilities_foe_seeker	-1	False	True	True
-1	positive	wh2_main_unit_passive_bloodshield_of_khaine		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_defence_passive		-1	False	True	True
-1	positive	wh2_main_item_passive_sapphire_guardian_phoenix		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_ward_save_magic_passive		-1	False	True	True
-1	positive	wh_main_character_passive_dark_benediction		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_morale_passive		-1	False	True	True
16	negative	wh_main_spell_metal_final_transmutation_upgraded		False	False	False	0	0	0	1	0	0.6	170	1	0	False	0	0	False	0		wh_main_spell_metal_final_transmutation	wh_main_spell_metal_final_transmutation	-1	False	True	True
50	positive	wh_main_hero_abilities_mad_cap_mushrooms		False	False	False	0	0	-30	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_attack	wh_ability_positive	-1	False	True	True
1.1	positive	wh2_main_item_passive_the_book_of_the_phoenix		False	False	False	0	0	0	1	624	0	0	-1	624	False	0	0	False	0		wh2_main_unit_passive_rebirth		-1	False	True	True
47	negative	wh_main_weapon_abilities_the_hammer_of_karak_drazh		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_debuff_morale_attack_banner	wh_ability_negative_one_shot	-1	False	True	True
67	positive	wh_main_item_abilities_dark_fortune		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_ward_save_all	wh_ability_positive	-1	False	True	True
25	positive	wh_dlc06_rune_abilities_master_rune_of_oath_and_steel		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_defence	wh_ability_positive	-1	False	True	True
44	positive	wh2_main_spell_plague_bless_with_filth_upgraded		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0	wh_main_unit_contact_poison	wh2_main_spell_plague_bless_with_filth	wh2_main_spell_plague_bless_with_filth	-1	False	True	True
15	positive	wh_main_character_abilities_stand_your_ground		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_defence	wh_ability_positive	-1	False	True	True
-1	positive	wh_main_lord_passive_high_king		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0				-1	False	True	True
31	positive	wh_dlc03_item_abilities_horn_of_the_first_beast		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_attack	wh_ability_positive	-1	False	True	True
-1	negative	wh_dlc03_banner_passive_manbane_standard		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0		wh_main_generic_buff_morale_passive		-1	False	True	True
24	positive	wh_main_item_abilities_potion_of_toughness		False	False	False	0	0	0	0.5	24	0	0	0	24	False	0	0	False	0		wh_main_generic_buff_defence_banner	wh_ability_positive_one_shot	-1	False	True	True
20	negative	wh2_main_spell_dark_magic_chillwind		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0				-1	False	True	True
-1	positive	wh_main_lord_passive_the_ladys_champion		False	False	False	0	0	0	0.5	2	0	0	0	2	False	0	0	False	0				-1	False	True	True
