faction_to_mercenary_set_junctions_tables
0
faction	mercenary_set
wh2_main_lzd_hexoatl	wh2_main_lzd_spawnings_pool
wh2_main_lzd_last_defenders	wh2_main_lzd_spawnings_pool
wh2_main_lzd_lizardmen	wh2_main_lzd_spawnings_pool
wh_main_dwf_dwarfs	wh_dlc06_dwf_units_of_renown_pool
wh_main_dwf_karak_izor	wh_dlc06_dwf_units_of_renown_pool
wh_main_emp_empire	wh_dlc04_emp_units_of_renown_pool
wh_main_grn_crooked_moon	wh_dlc06_grn_units_of_renown_pool
wh_main_grn_greenskins	wh_dlc06_grn_units_of_renown_pool
wh_main_grn_orcs_of_the_bloody_hand	wh_dlc06_grn_units_of_renown_pool
wh_main_vmp_schwartzhafen	wh_dlc04_vmp_units_of_renown_pool
wh_main_vmp_vampire_counts	wh_dlc04_vmp_units_of_renown_pool
