autoresolver_ai_usage_group_combat_potential_modifiers_tables
0
unknown1	multiplier	usage_group
1148846080	1	flying_hybrid_highvalue
0	1	flying_melee
0	1	flying_melee_flanker
0	1	flying_melee_flanker_shock
1148846080	1	flying_melee_flanker_shock_highvalue
1148846080	1	flying_melee_highvalue
1148846080	1	flying_melee_mage_highvalue
1148846080	1	flying_melee_shock_highvalue
1148846080	1	flying_melee_shock_mage_highvalue
0	1	flying_ranged_flanker
0	1	flying_ranged_harasser_flanker
1148846080	1	flying_ranged_harasser_flanker_highvalue
0	1	gyrocopter
0	1	hybrid
1148846080	1	hybrid_cav_highvalue
0	1	hybrid_flanker_shock_harasser
1148846080	1	hybrid_highvalue
1148846080	1	mage
1148846080	1	mage_flanker_highvalue
1148846080	1	mage_highvalue
1148846080	1	mage_stalkers_highvalue
0	0.75	melee
0	1	melee_cav
0	0.85	melee_cav_shock
1148846080	1	melee_cav_shock_highvalue
0	1	melee_flanker
0	1	melee_flanker_shock
1148846080	1	melee_flanker_shock_highvalue
0	0.75	melee_gatecrusher
1148846080	1	melee_gatecrusher_highvalue
0	0.75	melee_gatecrusher_shock
0	0.75	melee_gatecrusher_support
1148846080	1	melee_highvalue
1148846080	1	melee_mage
1148846080	1	melee_mage_highvalue
0	1	melee_stalkers
0	1	ranged
0	1	ranged_cav
0	1	ranged_cav_harasser
1148846080	1	ranged_cav_highvalue
0	1	ranged_direct
0	1	ranged_direct_cav
0	1	ranged_direct_flanker
0	1	ranged_direct_flanker_harasser
1148846080	1	ranged_direct_highvalue
0	1	ranged_direct_no_skirmish
0	1	ranged_flanker
0	1	ranged_harasser
0	1	ranged_harasser_flanker
1148846080	1	ranged_harasser_highvalue
1148846080	1	ranged_highvalue
0	1	ranged_indirect_arty
0	1	ranged_no_skirmish
1148846080	1	ranged_no_skirmish_gatecrusher
0	1	ranged_stalkers
0	1	ranged_stalkers_direct
0	1	ranged_stalkers_flanker
0	1	ranged_stalkers_flanker_harasser
0	1	ranged_stalkers_harasser
0	1	ranged_stalkers_harasser_flanker
1148846080	1	ranged_stalkers_harasser_highvalue
0	1	ranged_stalkers_no_skirmish
