melee_weapons_tables
21
bonus_v_cavalry	bonus_v_large	bonus_v_infantry	key	damage	ap_damage	first_strike	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval
0	0	0	placeholder	20	4	0	0	sword	sword		1	1	10	0	False		0	10	3.8
0	0	0	tusks	40	40	0	1	sword	club		1	1	200	0	False		0	10	3.8
0	0	0	wh_dlc01_chs_axe_great	18	28	0	1	axe	axe		1	1	5	0	False		0	10	4.5
0	0	20	wh_dlc01_chs_chariot_gorebeast	35	45	0	3	axe	claw	large	6	1.2	75	0	False		3	2	4
0	0	0	wh_dlc01_chs_dragon	310	330	0	3	axe	claw	very_large	18	1.9	750	5	False	wh_main_unit_contact_searing_fire	0	3	4
0	0	0	wh_dlc01_chs_dragon_caster	290	300	0	3	axe	claw	very_large	16	1.78	600	5	True	wh_main_unit_contact_searing_fire	0	3	4
0	50	0	wh_dlc01_chs_dragon_ogre	100	100	0	2	axe	axe	large	12	1.6	120	0	False		0	5	4.4
0	100	0	wh_dlc01_chs_dragon_ogre_shaggoth	200	300	0	2	axe	axe_large	very_large	16	1.7	525	0	False		0	3	4.2
0	100	0	wh_dlc01_chs_dragon_ogre_shaggoth_boss	200	300	0	2	axe	axe_large	very_large	16	1.7	525	0	False		0	3	4.2
0	0	0	wh_dlc01_chs_forsaken	37	25	0	2	axe	claw		1	1	10	0	False		0	10	4.2
0	0	0	wh_pro04_chs_forsaken_RoR	37	26	0	2	axe	claw		1	1	10	0	False	wh_main_unit_contact_poison	0	10	4.2
0	30	0	wh_dlc01_chs_halberd_chosen	26	34	0	2	spear	halberd	small	3	1.1	20	5	False		0	9	4.2
0	0	0	wh_dlc01_chs_kholek	150	450	0	4	axe	hammer	very_large	14	1.6	600	0	False		0	8	4
0	0	0	wh_dlc01_chs_manticore	325	225	0	3	axe	claw	large	10	1.5	350	0	False	wh_main_unit_contact_poison	0	3	4
0	0	0	wh_dlc01_chs_manticore_caster	275	175	0	3	axe	claw	large	9	1.5	200	0	True	wh_main_unit_contact_poison	0	3	4.2
0	0	0	wh_dlc01_chs_manticore_caster_lord	315	185	0	3	axe	claw	large	10	1.6	250	0	True	wh_main_unit_contact_poison	0	3	4
0	0	0	wh_dlc01_chs_manticore_exalted_hero	300	175	0	3	axe	claw	large	8	1.4	250	0	False	wh_main_unit_contact_poison	0	3	4
0	0	0	wh_dlc01_chs_prince_sigvald	250	210	0	1	sword	sword	small	4	1	40	0	False		0	10	3.7
0	20	0	wh_dlc02_vmp_blood_knight_lance	32	42	0	1	lance	spear	small	3	0.85	15	0	True		0	8	4
0	0	0	wh_dlc03_bst_cygor_boss	185	315	0	3	axe	club_huge	large	10	1.5	650	0	True		0	10	4
0	0	25	wh_dlc05_wef_dragon_boss	275	325	0	3	axe	claw	very_large	16	1.6	500	0	True	wh_main_unit_contact_poison	0	10	4
0	0	0	wh_pro04_wef_treekin_claws_RoR	52	56	0	2	axe	club_medium	large	12	1.4	150	10	False	wh_main_unit_contact_searing_fire	0	6	4.5
0	0	0	wh_dlc05_wef_treeman_ancient_claws_boss	255	265	0	3	axe	claw	very_large	17	1.9	750	0	True		0	4	4.2
0	0	0	wh_pro04_bst_centigor_great_axe_ror	27	35	0	2	axe	axe	medium	5	1.15	10	0	False		0	10	4.6
0	0	8	wh_pro04_brt_lance_errant_ror	28	14	0	1	lance	spear		1	1	10	0	False		0	10	4.7
0	20	0	wh_pro04_brt_lance_ror	36	34	0	2	lance	spear	small	3	0.75	5	0	True		0	10	4.4
0	0	0	wh_dlc08_club_ice_troll	52	74	0	2	axe	club_medium	large	6	1.48	100	0	False	wh_dlc08_unit_contact_frostbite	0	10	4.5
0	0	0	wh_dlc08_club_troll_throgg	125	375	0	2	axe	club_huge	large	6	1	250	0	False	wh_dlc08_unit_contact_frostbite	0	10	4.2
0	0	0	wh_dlc08_nor_axe_champion	30	12	0	1	axe	axe		1	1	10	0	False		0	10	4.5
0	0	0	wh_dlc08_nor_axe_great_champion	16	28	0	1	axe	axe		1	1	10	0	False		0	10	4.5
0	0	0	wh_dlc08_nor_axes_hunters	26	9	0	1	axe	axe		1	1	10	0	False		0	10	4.5
0	0	0	wh_dlc08_nor_balefiend_staff	80	320	0	1	spear	staff	medium	4	1	100	0	True	wh_dlc06_unit_contact_sundered_armour	0	10	4
0	0	0	wh_dlc08_nor_berserker_dual_axes	39	13	0	1	axe	axe		1	1	10	0	False		0	10	4.2
0	0	0	wh_dlc08_nor_fimir_dual_axe	60	48	0	1	axe	axe	medium	5	1.32	50	0	True		0	10	4.5
0	0	0	wh_dlc08_nor_great_mace	32	68	0	2	axe	hammer	medium	3	1.25	50	0	True		0	10	4.7
0	0	0	wh_dlc08_nor_javelin	26	5	0	1	spear	spear		1	1	10	0	False		0	10	4.6
0	0	0	wh_dlc08_nor_mammoth_tusks	125	400	0	3	axe	claw	very_large	15	1.65	600	0	False		6	10	4.6
0	0	0	wh_pro04_nor_mammoth_tusks_ror	35	85	0	3	axe	claw	medium	6	1.15	600	0	False		3	4	4.6
0	25	0	wh_dlc08_nor_skinwolves_claws	62	34	0	2	axe	axe	small	3	1.12	20	0	False		0	10	3.9
0	19	0	wh_dlc08_nor_spear	25	6	0	1	spear	spear		1	1	10	0	False		0	10	4.6
0	0	18	wh_dlc08_nor_warwolf_chariot	52	25	0	3	axe	claw	very_large	6	1.15	40	0	False	wh_dlc08_unit_contact_frostbite	3	2	4
0	0	0	wh_dlc08_nor_warwolf_claw	41	9	0	1	axe	claw	small	2	0.2	40	0	False	wh_dlc08_unit_contact_frostbite	0	10	4
0	45	0	wh_dlc08_nor_werekin_claws	140	280	0	2	axe	claw	medium	4	1.5	150	0	False		0	10	4
0	30	0	wh_dlc08_nor_wulfrik_sword	285	175	0	1	sword	sword	medium	4	1	150	0	False		0	10	4
0	0	0	wh_dlc08_nor_wyrm	285	315	0	3	axe	claw	very_large	16	1.6	500	0	True	wh_dlc08_unit_contact_frostbite	0	3	4
0	0	0	wh_dlc08_nor_wyrm_boss	300	320	0	3	axe	claw	very_large	18	1.65	500	0	True	wh_dlc08_unit_contact_frostbite	0	3	4
0	0	20	wh_main_chs_chariot_caster_hero	220	95	0	3	axe	claw	very_large	4	1	100	0	False		3	2	4
0	0	30	wh_main_chs_chariot_hero	275	160	0	3	axe	claw	very_large	4	1	100	0	False		4	2	4
0	0	0	wh_main_club_giant_boss	300	375	0	5	axe	club_giant	large	15	1.84	800	0	False		0	7	4.2
0	75	0	wh_main_vmp_terrorgheist_boss	185	300	0	3	axe	claw	large	12	1.4	500	0	False	wh_main_unit_contact_poison	0	3	4
0	0	0	wh_pro03_vamp_krell_axe_great	200	275	0	1	axe	axe	medium	6	1.15	40	0	False		0	6	4.2
0	0	0	wh_pro04_brt_dual_swords_pilgrim	30	12	0	1	sword	sword		1	1	10	10	True		0	10	4.4
0	0	0	wh_pro04_brt_sword_great_questing_ror	20	35	0	1	sword	sword	small	3	1.24	15	0	False		0	10	4.4
0	19	0	wh_pro04_bst_bestigor_halberd	20	30	0	1	spear	halberd		1	1	10	0	False		0	10	4.4
0	0	0	wh_pro04_bst_cygor	175	300	0	3	axe	club_huge	large	10	1.5	650	0	True		0	10	4.2
