campaign_map_attritions_tables
3
damage	key	type	message_event_association	unknown4
attrition_athel_loren	athel_loren	terrain_land	attrition_athel_loren	False
attrition_besieged	besieged	besieged	attrition_besieged	False
attrition_sieging	besieging	besieging	attrition_besieging	False
attrition_light	blockaded	blockaded	attrition_blockaded	False
attrition_light	blockading	blockading	attrition_blockading	False
attrition_vampire_territory	chaos_territory	chaos_region	attrition_chaos_territory	False
attrition_chaos_wastes	chaos_wastes	terrain_land	attrition_chaos_wastes	False
attrition_heavy	deep_sea	terrain_sea	attrition_high_seas	False
attrition_medium	desert	terrain_land	attrition_desert	False
attrition_desertion	desertion	desertion	campmap_bankrupt_desertion	False
attrition_disease	disease	disease	attrition_disease	False
attrition_event	event_attrition	bonus_value_enabled		False
attrition_horde_infighting	horde_infighting	horde_infighting	attrition_horde_infighting	False
attrition_hostile_territory	hostile_territory	hostile_territory	attrition_hostile_territory	False
attrition_morale	low_morale	low_morale	attrition_low_morale	False
attrition_maelstrom	maelstrom	terrain_sea	attrition_maelstrom	False
attrition_medium	mountain	terrain_land	attrition_mountain	False
attrition_vampire_territory	non_vampire_territory	non_vampire_region	attrition_non_vampire_territory	False
attrition_heavy	reef	terrain_sea	attrition_reef	False
attrition_desertion	regionless	regionless	campmap_bankrupt_desertion	False
attrition_heavy	sabotage	army_sabotage		False
attrition_heavy	snow	terrain_land	attrition_winter	True
attrition_storm_level_1	storm_level_1	storm_region	attrition_storm_level_1	False
attrition_storm_level_2	storm_level_2	storm_region	attrition_storm_level_2	False
attrition_storm_level_3	storm_level_3	storm_region	attrition_storm_level_3	False
attrition_storm_level_4	storm_level_4	storm_region	attrition_storm_level_4	False
attrition_storm_level_5	storm_level_5	storm_region	attrition_storm_level_5	False
attrition_light	swamp	terrain_land	attrition_swamp	False
attrition_vampire_territory	vampire_territory	vampire_region	attrition_vampire_territory	False
attrition_morale_very_low	very_low_morale	very_low_morale	attrition_low_morale	False
attrition_medium	wasteland	terrain_land	attrition_wasteland	False
