character_skill_level_details_tables
0
unknown	unknown2	image_path	level	skill_key	unknown6	unlocked_at_rank
		x	0	wh_dlc08_skill_chs_kholek_unique_0		11
		x	0	wh_dlc08_skill_chs_lord_unique_archaon_0		11
		x	0	wh_dlc08_skill_chs_lord_unique_sigvald_0		11
		x	0	wh_dlc08_skill_dwf_lord_thorgrim_unique_0		11
		x	0	wh_dlc08_skill_emp_lord_unique_balthasar_unique_0		11
		x	0	wh_dlc08_skill_emp_lord_unique_karl_0		11
		x	0	wh_dlc08_skill_grn_azhag_unique_0		11
		x	0	wh_dlc08_skill_grn_lord_unique_grimgor_0		11
		x	0	wh_dlc08_skill_vmp_heinrich_krell_0		0
		x	0	wh_dlc08_skill_vmp_heinrich_krell_1		2
		x	0	wh_dlc08_skill_vmp_heinrich_krell_2		5
		x	0	wh_dlc08_skill_vmp_heinrich_krell_3		8
		x	0	wh_dlc08_skill_vmp_heinrich_krell_4		11
		x	1	wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1		5
		x	1	wh2_main_skill_all_immortality_hero		19
		x	1	wh2_main_skill_all_immortality_lord		19
		x	1	wh2_main_skill_all_magic_high_03_lore_attribute_teclis		9
		x	1	wh2_main_skill_all_magic_ruin_01_warp_lightning_warlock		3
		x	1	wh2_main_skill_assassin_unique_loyalty		3
		x	1	wh2_main_skill_def_assassin_missile_range_hawk_eyed		3
		x	1	wh2_main_skill_def_death_hag_bride_of_khaine		9
		x	1	wh2_main_skill_def_death_hag_gift_1		7
		x	1	wh2_main_skill_def_death_hag_gift_2		7
		x	1	wh2_main_skill_def_death_hag_mount_cauldron_of_blood		9
		x	1	wh2_main_skill_def_dreadlord_fem_mount_black_dragon		17
		x	1	wh2_main_skill_def_dreadlord_fem_mount_cold_one		8
		x	1	wh2_main_skill_def_dreadlord_fem_mount_dark_pegasus		13
		x	1	wh2_main_skill_def_dreadlord_fem_mount_dark_steed		4
		x	1	wh2_main_skill_def_dreadlord_mount_black_dragon		17
		x	1	wh2_main_skill_def_dreadlord_mount_cold_one		8
		x	1	wh2_main_skill_def_dreadlord_mount_dark_pegasus		13
		x	1	wh2_main_skill_def_dreadlord_mount_dark_steed		4
