battle_set_piece_armies_characters_tables
7
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12
1	wh2_main_def_cha_death_hag_0	2147359721		100	1006711097	wh2_main_def_cha_death_hag_0	dignitary	wh2_main_def_death_hag	ui/portraits/portholes/wh2_main_def_dark_elves/def_malekith_0.png	5695		False
1	wh2_main_def_cha_dreadlord_0	2147359455		100	1129600977	wh2_main_def_cha_dreadlord_0	general	wh2_main_def_dreadlord	ui/portraits/portholes/wh2_main_def_dark_elves/def_malekith_0.png	5590		True
1	wh2_main_def_cha_dreadlord_female_0	2147359706		100	101567873	wh2_main_def_cha_dreadlord_female_0	general	wh2_main_def_dreadlord_fem	ui/portraits/portholes/wh2_main_def_dark_elves/def_malekith_0.png	5712		False
1	wh2_main_def_cha_khainite_assassin_0	2147359134		100	1006711097	wh2_main_def_cha_khainite_assassin_0	spy	wh2_main_def_khainite_assassin	ui/portraits/portholes/wh2_main_def_dark_elves/def_malekith_0.png	5677		True
1	wh2_main_def_cha_malekith_0	2147359265	wh2_main_lore_dark_magic	100	2147360508	wh2_main_def_cha_malekith_0	general	wh2_main_def_malekith	ui/portraits/portholes/wh2_main_def_dark_elves/def_malekith_0.png	5530		True
1	wh2_main_def_cha_morathi_0	2147359274	wh2_main_lore_morathi	100	2147360508	wh2_main_def_cha_morathi_0	general	wh2_main_def_morathi	ui/portraits/portholes/wh2_main_def_dark_elves/def_morathi_0.png	5595		False
1	wh2_main_def_cha_sorceress_dark_0	2147359797	wh2_main_lore_dark_magic	100	1725206863	wh2_main_def_cha_sorceress_dark_0	wizard	wh2_main_def_sorceress_dark	ui/portraits/portholes/wh2_main_def_dark_elves/def_malekith_0.png	5686		False
1	wh2_main_def_cha_sorceress_fire_0	2147359797	wh_main_lore_fire	100	1725206863	wh2_main_def_cha_sorceress_fire_0	wizard	wh2_main_def_sorceress_fire	ui/portraits/portholes/wh2_main_def_dark_elves/def_malekith_0.png	5686		False
1	wh2_main_def_cha_sorceress_shadow_0	2147359797	wh_dlc05_lore_shadows	100	1725206863	wh2_main_def_cha_sorceress_shadow_0	wizard	wh2_main_def_sorceress_shadow	ui/portraits/portholes/wh2_main_def_dark_elves/def_malekith_0.png	5686		False
1	wh2_main_hef_cha_alastair_0	2147359014		100	2147360506	wh2_main_hef_cha_alastair_0	general	wh2_main_hef_prince_alastar	ui/portraits/portholes/wh2_main_hef_high_elves/hef_prince_campaign_01_0.png	5709		True
1	wh2_main_hef_cha_loremaster_of_hoeth_0	2147359004	wh2_main_lore_loremaster	100	2147360506	wh2_main_hef_cha_loremaster_of_hoeth_0	runesmith	wh2_main_hef_loremaster_of_hoeth	ui/portraits/portholes/wh2_main_hef_high_elves/hef_loremaster_campaign_01_0.png	5667		True
1	wh2_main_hef_cha_mage_high_0	2147359351	wh2_main_lore_high_magic	100	2147360506	wh2_main_hef_cha_mage_high_0	wizard	wh2_main_hef_mage_high	ui/portraits/portholes/wh2_main_hef_high_elves/hef_mage_campaign_01_0.png	5671		False
1	wh2_main_hef_cha_mage_life_0	2147359351	wh_dlc05_lore_life	100	2147360506	wh2_main_hef_cha_mage_life_0	wizard	wh2_main_hef_mage_life	ui/portraits/portholes/wh2_main_hef_high_elves/hef_mage_campaign_01_0.png	5671		False
1	wh2_main_hef_cha_mage_light_0	2147359351	wh_main_lore_light	100	2147360506	wh2_main_hef_cha_mage_light_0	wizard	wh2_main_hef_mage_light	ui/portraits/portholes/wh2_main_hef_high_elves/hef_mage_campaign_01_0.png	5671		False
1	wh2_main_hef_cha_noble_0	2147358997		100	2147360506	wh2_main_hef_cha_noble_0	champion	wh2_main_hef_noble	ui/portraits/portholes/wh2_main_high_elves/hef_noble_campaign_03_0.png	1844087148		True
1	wh2_main_hef_cha_prince_0	2147359014		100	2147360506	wh2_main_hef_cha_prince_0	general	wh2_main_hef_prince	ui/portraits/portholes/wh2_main_hef_high_elves/hef_prince_campaign_01_0.png	5574		True
1	wh2_main_hef_cha_princess_0	2147360483		100	2147360506	wh2_main_hef_cha_princess_0	general	wh2_main_hef_princess		5733		False
1	wh2_main_hef_cha_teclis_0	2147359256	wh2_main_lore_teclis	100	2147360506	wh2_main_hef_cha_teclis_0	general	wh2_main_hef_teclis	ui/portraits/portholes/wh2_main_hef_high_elves/hef_teclis_0.png	5549		True
1	wh2_main_hef_cha_tyrion_0	2147360906		100	2147360506	wh2_main_hef_cha_tyrion_0	general	wh2_main_hef_tyrion	ui/portraits/portholes/wh2_main_hef_high_elves/hef_tyrion_0.png	5540		True
1	wh2_main_lzd_cha_kroq_gar_0	2147359240		100	2147360514	wh2_main_lzd_cha_kroq_gar_0	general	wh2_main_lzd_kroq_gar	ui/portraits/portholes/wh2_main_lzd_lizardmen/lzd_lord_kroq_gar_0.png	5570		True
1	wh2_main_lzd_cha_lord_mazdamundi_0	2147359221	wh2_main_lore_slann	100	2147359230	wh2_main_lzd_cha_lord_mazdamundi_0	general	wh2_main_lzd_lord_mazdamundi	ui/portraits/portholes/wh2_main_lzd_lizardmen/lzd_lord_mazdamundi_0.png	5702		True
1	wh2_main_lzd_cha_saurus_old_blood_0	1264733026		100	2147360514	wh2_main_lzd_cha_saurus_old_blood_0	general	wh2_main_lzd_saurus_old_blood	ui/portraits/portholes/wh2_main_lzd_lizardmen/lzd_lord_saurus_old_blood_campaign_01_0.png	5584		True
