subculture_treasure_hunt_dilemma_categories_tables
0
treasure_hunt	dilemma_category
TreasureHunt_Empire	wh2_main_rogue_heirs_of_mourkain
TreasureHunt_Empire	wh2_main_rogue_hunters_of_kurnous
TreasureHunt_Empire	wh2_main_rogue_mengils_manflayers
TreasureHunt_Empire	wh2_main_rogue_tor_elithis
TreasureHunt_Empire	wh2_main_rogue_vashnaar
TreasureHunt_DarkElves	wh2_main_sc_def_dark_elves
TreasureHunt_HighElves	wh2_main_sc_hef_high_elves
TreasureHunt_LizardMen	wh2_main_sc_lzd_lizardmen
TreasureHunt_Skaven	wh2_main_sc_skv_skaven
TreasureHunt_WoodElves	wh_dlc05_sc_wef_wood_elves
TreasureHunt_Bretonnia	wh_main_sc_brt_bretonnia
TreasureHunt_Dwarfs	wh_main_sc_dwf_dwarfs
TreasureHunt_Empire	wh_main_sc_emp_empire
TreasureHunt_Greenskins	wh_main_sc_grn_greenskins
TreasureHunt_Greenskins	wh_main_sc_grn_savage_orcs
TreasureHunt_Empire	wh_main_sc_ksl_kislev
TreasureHunt_Empire	wh_main_sc_nor_norsca
TreasureHunt_Empire	wh_main_sc_teb_teb
TreasureHunt_VampireCounts	wh_main_sc_vmp_vampire_counts
