building_chains_tables
5
key	unknown1	chain_category	unknown3	building_superchain	optional_tier_icon	unknown6
wh2_main_DWARFS_resource_pottery		money	False	wh_main_sch_human_resource_pottery		10
wh2_main_DWARFS_resource_wine		money	False	wh_main_sch_human_resource_wine		10
wh2_main_EMPIRE_academy		money	False	wh2_main_sch_support4_other		5
wh2_main_EMPIRE_roads		money	False	wh2_main_sch_infrastructure4_energy		4
wh2_main_HUMAN_resource_gemstones		money	False	wh2_main_sch_human_resource_gems		10
wh2_main_VAMPIRES_raisedead		military	False	wh2_main_sch_vampires_raisedead		1
wh2_main_VAMPIRES_resource_animals		money	False	wh2_main_sch_resource_animals		10
wh2_main_VAMPIRES_resource_gemstones		money	False	wh2_main_sch_human_resource_gems		10
wh2_main_VAMPIRES_resource_medicine		money	False	wh2_main_sch_resource_medicine		10
wh2_main_VAMPIRES_resource_obsidian		money	False	wh2_main_sch_resource_obsidian		10
wh2_main_VAMPIRES_terrorgheists		military	False	wh2_main_sch_military5		7
wh2_main_VAMPIRES_wraiths		military	False	wh2_main_sch_infrastructure5_tradingspying		2
wh2_main_brt_defence_norsca		military	False	wh2_main_sch_defence_norsca		0
wh2_main_brt_resource_animals		money	False	wh2_main_sch_resource_animals		10
wh2_main_brt_resource_dyes		money	True	wh_main_sch_human_resource_dyes		10
wh2_main_brt_resource_furs		money	True	wh_main_sch_human_resource_furs		10
wh2_main_brt_resource_gemstones		money	False	wh2_main_sch_human_resource_gems		10
wh2_main_brt_resource_gold		money	True	wh_main_sch_human_resource_gold		10
wh2_main_brt_resource_iron		money	True	wh_main_sch_human_resource_iron		10
wh2_main_brt_resource_marble		money	True	wh_main_sch_human_resource_marble		10
wh2_main_brt_resource_medicine		money	False	wh2_main_sch_resource_medicine		10
wh2_main_brt_resource_obsidian		money	False	wh2_main_sch_resource_obsidian		10
wh2_main_brt_resource_pastures		money	True	wh_main_sch_human_resource_pastures		10
wh2_main_brt_resource_pottery		money	True	wh_main_sch_human_resource_pottery		10
wh2_main_brt_resource_salt		money	True	wh_main_sch_human_resource_salt		10
wh2_main_brt_resource_spices		money	False	wh2_main_sch_resource_spices		10
wh2_main_brt_resource_timber		money	True	wh_main_sch_human_resource_timber		10
wh2_main_brt_resource_wine		money	True	wh_main_sch_human_resource_wine		10
wh2_main_def_barracks		military	False	wh2_main_sch_military1_barracks		0
wh2_main_def_beasts		military	False	wh2_main_sch_military4_monsters		1
wh2_main_def_coldones		military	False	wh2_main_sch_military5		3
wh2_main_def_defence_major		military	False	wh2_main_sch_defence_major_def		1
wh2_main_def_defence_minor		military	False	wh2_main_sch_defence_minor		0
wh2_main_def_defence_norsca		military	False	wh2_main_sch_defence_norsca		0
wh2_main_def_exiles		military	False	wh2_main_sch_military3_warmachines		3
wh2_main_def_farm		money	False	wh2_main_sch_infrastructure1_farm		1
wh2_main_def_industry		money	False	wh2_main_sch_infrastructure2_industry		2
wh2_main_def_murder		military	False	wh2_main_sch_support4_other		5
wh2_main_def_order		money	False	wh2_main_sch_infrastructure3_order		3
wh2_main_def_outpostnorsca_major		money	True	wh_main_sch_norsca_settlement_major		0
wh2_main_def_outpostnorsca_major_coast		money	False	wh_main_sch_norsca_settlement_major_coast		0
wh2_main_def_outpostnorsca_minor		money	True	wh_main_sch_norsca_settlement_minor		0
wh2_main_def_outpostnorsca_minor_coast		money	False	wh_main_sch_norsca_settlement_minor_coast		0
wh2_main_def_pleasure_cult		happiness	False	wh2_main_sch_infrastructure3_order		0
wh2_main_def_port		money	False	wh_main_sch_port		0
wh2_main_def_resource_animals		money	False	wh2_main_sch_resource_animals		10
wh2_main_def_resource_dyes		money	False	wh_main_sch_human_resource_dyes		10
wh2_main_def_resource_furs		money	False	wh_main_sch_human_resource_furs		10
wh2_main_def_resource_gems		money	False	wh2_main_sch_human_resource_gems		10
wh2_main_def_resource_gold		money	False	wh_main_sch_human_resource_gold		10
wh2_main_def_resource_iron		money	False	wh_main_sch_human_resource_iron		10
wh2_main_def_resource_marble		money	False	wh_main_sch_human_resource_marble		10
wh2_main_def_resource_medicine		money	False	wh2_main_sch_resource_medicine		10
wh2_main_def_resource_obsidian		money	False	wh2_main_sch_resource_obsidian		10
wh2_main_def_resource_pasture		money	False	wh_main_sch_human_resource_pastures		10
wh2_main_def_resource_pottery		money	False	wh_main_sch_human_resource_pottery		10
wh2_main_def_resource_salt		money	False	wh_main_sch_human_resource_salt		10
wh2_main_def_resource_spices		money	False	wh2_main_sch_resource_spices		10
wh2_main_def_resource_wine		money	False	wh_main_sch_human_resource_wine		10
wh2_main_def_resource_wood		money	False	wh_main_sch_human_resource_timber		10
wh2_main_def_riders		military	False	wh2_main_sch_military2_stables		2
wh2_main_def_roads		money	False	wh2_main_sch_infrastructure5_tradingspying		6
wh2_main_def_settlement_major		money	True	wh_main_sch_settlement_major		0
wh2_main_def_settlement_major_coast		money	False	wh_main_sch_settlement_major_coast		0
wh2_main_def_settlement_minor		money	True	wh_main_sch_settlement_minor		0
wh2_main_def_settlement_minor_coast		money	False	wh_main_sch_settlement_minor_coast		0
wh2_main_def_slaves		money	False	wh2_main_sch_infrastructure4_energy		4
wh2_main_def_sorcery		military	False	wh2_main_sch_support3_wizards		4
