faction_uniform_colours_tables
1
faction_name	primary_colour_r	primary_colour_g	primary_colour_b	secondary_colour_r	secondary_colour_g	secondary_colour_b	tertiary_colour_r	tertiary_colour_g	tertiary_colour_b
att_fact_blue	50	50	220	60	60	170	1	1	1
att_fact_red	220	50	50	170	60	60	1	1	1
att_fact_yellow	220	220	50	170	170	60	1	1	1
wh2_main_brt_knights_of_origo	178	38	38	227	227	227	255	255	255
wh2_main_brt_knights_of_the_flame	206	197	163	175	44	44	255	255	255
wh2_main_brt_thegans_crusaders	94	133	182	206	197	163	255	255	255
wh2_main_bst_blooded_axe	175	44	44	198	158	101	255	255	255
wh2_main_bst_blooded_axe_brayherd	175	44	44	198	158	101	255	255	255
wh2_main_bst_manblight	206	197	163	207	90	90	255	255	255
wh2_main_bst_manblight_brayherd	206	197	163	207	90	90	255	255	255
wh2_main_bst_ripper_horn	112	99	124	190	172	163	255	255	255
wh2_main_bst_ripper_horn_brayherd	112	99	124	190	172	163	255	255	255
wh2_main_bst_shadowgor	26	27	27	113	113	113	255	255	255
wh2_main_bst_shadowgor_brayherd	26	27	27	113	113	113	255	255	255
wh2_main_bst_skrinderkin	225	135	1	211	211	119	255	255	255
wh2_main_bst_skrinderkin_brayherd	225	135	1	211	211	119	255	255	255
wh2_main_bst_stone_horn	98	112	161	229	222	197	255	255	255
wh2_main_bst_stone_horn_brayherd	98	112	161	229	222	197	255	255	255
wh2_main_chs_chaos_incursion_def	103	83	122	177	169	142	128	128	128
wh2_main_chs_chaos_incursion_hef	67	74	108	140	140	140	128	128	128
wh2_main_chs_chaos_incursion_lzd	96	126	119	104	97	86	128	128	128
wh2_main_chs_chaos_incursion_skv	114	99	70	75	75	75	128	128	128
wh2_main_def_bleak_holds	78	102	66	171	196	159	1	1	1
wh2_main_def_blood_hall_coven	50	50	50	98	22	22	1	1	1
wh2_main_def_clar_karond	90	22	22	160	75	75	1	1	1
wh2_main_def_cult_of_excess	129	64	131	73	20	75	1	1	1
wh2_main_def_cult_of_pleasure	113	78	114	65	50	70	1	1	1
wh2_main_def_cult_of_pleasure_separatists	65	122	103	67	98	136	1	1	1
wh2_main_def_dark_elves	81	62	80	134	29	29	1	1	1
wh2_main_def_dark_elves_intervention	1	1	1	1	1	1	1	1	1
wh2_main_def_dark_elves_qb1	218	204	218	38	38	38	1	1	1
wh2_main_def_dark_elves_qb2	218	204	218	38	38	38	1	1	1
wh2_main_def_dark_elves_qb3	218	204	218	38	38	38	1	1	1
wh2_main_def_dark_elves_qb4	218	204	218	38	38	38	1	1	1
wh2_main_def_dark_elves_rebels	100	100	100	89	54	100	1	1	1
wh2_main_def_deadwood_sentinels	100	100	100	60	118	137	1	1	1
wh2_main_def_drackla_coven	79	91	162	50	50	50	1	1	1
wh2_main_def_ghrond	47	62	98	50	50	50	1	1	1
wh2_main_def_hag_graef	62	40	91	151	128	175	1	1	1
wh2_main_def_har_ganeth	50	50	50	201	196	141	1	1	1
wh2_main_def_karond_kar	21	98	90	138	187	182	1	1	1
wh2_main_def_naggarond	81	52	87	134	29	29	1	1	1
wh2_main_def_naggarond_separatists	103	43	100	63	205	255	1	1	1
wh2_main_def_scourge_of_khaine	139	61	18	50	50	50	1	1	1
wh2_main_def_ssildra_tor	135	31	31	86	40	40	1	1	1
wh2_main_def_the_forgebound	26	91	128	81	59	103	1	1	1
wh2_main_dwf_greybeards_prospectors	155	174	177	100	100	100	255	255	255
wh2_main_dwf_karak_zorn	187	99	40	237	229	223	255	255	255
wh2_main_dwf_spine_of_sotek_dwarfs	76	96	157	196	189	151	255	255	255
wh2_main_emp_new_world_colonies	175	44	44	164	143	68	255	255	251
wh2_main_emp_pirates_of_sartosa	20	55	87	206	213	203	16	39	54
wh2_main_emp_sudenburg	175	44	44	206	197	163	21	51	71
wh2_main_grn_arachnos	187	185	26	103	95	75	128	128	128
wh2_main_grn_arachnos_waaagh	187	185	26	103	95	75	128	128	128
wh2_main_grn_blue_vipers	72	108	157	147	143	113	128	128	128
wh2_main_grn_blue_vipers_waaagh	72	108	157	147	143	113	128	128	128
wh2_main_hef_avelorn	127	173	28	193	72	48	0	1	1
wh2_main_hef_caledor	140	27	18	54	88	27	1	1	1
wh2_main_hef_chrace	159	36	36	203	197	147	1	1	1
wh2_main_hef_citadel_of_dusk	7	18	35	248	136	12	4	1	1
wh2_main_hef_cothique	81	145	129	195	193	57	2	1	1
wh2_main_hef_eataine	113	164	225	43	48	149	5	1	1
wh2_main_hef_ellyrion	183	61	184	50	50	131	6	1	1
wh2_main_hef_fortress_of_dawn	124	169	204	218	214	99	1	1	1
wh2_main_hef_high_elves	61	96	136	188	59	41	5	1	1
wh2_main_hef_high_elves_intervention	197	139	27	72	153	205	1	1	1
wh2_main_hef_high_elves_qb1	96	152	235	255	197	11	83	141	213
wh2_main_hef_high_elves_qb2	96	152	235	255	197	11	83	141	213
wh2_main_hef_high_elves_qb3	96	152	235	255	197	11	83	141	213
wh2_main_hef_high_elves_qb4	96	152	235	255	197	11	83	141	213
wh2_main_hef_high_elves_rebels	96	152	235	255	197	11	83	141	213
