character_skill_node_ancillary_locks_tables
0
ancillary_lock	character_skill_node
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_01
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_02
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_03
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_04
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_05
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_06
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_07
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_08
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_09
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_10
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_11
