cai_construction_system_templates_junctions_tables
0
cai_construction_system_category	cai_construction_system_category_group	cai_construction_system_template	value
	cai_military_group	cai_construction_system_template_basic_balanced	50
	cai_support_group	cai_construction_system_template_basic_balanced	50
	cai_military_group	cai_construction_system_template_basic_economic	25
	cai_support_group	cai_construction_system_template_basic_economic	75
	cai_military_group	cai_construction_system_template_basic_military	75
	cai_support_group	cai_construction_system_template_basic_military	25
	cai_military_group	cai_construction_system_template_economist_balanced	35
	cai_support_group	cai_construction_system_template_economist_balanced	65
	cai_military_group	cai_construction_system_template_economist_economic	20
	cai_support_group	cai_construction_system_template_economist_economic	80
	cai_military_group	cai_construction_system_template_economist_military	50
	cai_support_group	cai_construction_system_template_economist_military	50
	cai_military_group	cai_construction_system_template_militaristic_balanced	65
	cai_support_group	cai_construction_system_template_militaristic_balanced	35
	cai_military_group	cai_construction_system_template_militaristic_economic	50
	cai_support_group	cai_construction_system_template_militaristic_economic	50
	cai_military_group	cai_construction_system_template_militaristic_military	80
	cai_support_group	cai_construction_system_template_militaristic_military	20
