ai_usage_groups_tables
7
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14
flying_hybrid_highvalue	True	True	False	True	False	False	True	True	False	False	False	False	False	False
flying_melee	True	False	False	True	False	False	True	False	False	False	False	True	False	False
flying_melee_flanker	True	False	False	True	True	False	True	False	False	False	False	True	False	False
flying_melee_flanker_shock	True	False	False	True	True	False	True	False	False	False	True	True	False	False
flying_melee_flanker_shock_highvalue	True	False	False	True	True	False	True	True	False	False	True	True	False	False
flying_melee_highvalue	True	False	False	True	False	False	True	True	False	False	False	True	False	False
flying_melee_mage_highvalue	True	False	False	True	False	True	True	True	False	False	False	True	False	False
flying_melee_shock_highvalue	True	False	False	True	False	False	True	True	False	False	True	True	False	False
flying_melee_shock_mage_highvalue	True	False	False	True	False	True	True	True	False	False	True	True	False	False
flying_ranged_flanker	False	False	True	True	True	False	True	False	False	False	False	True	False	False
flying_ranged_harasser_flanker	False	False	True	True	True	False	True	False	False	False	False	True	True	False
flying_ranged_harasser_flanker_highvalue	False	False	True	True	True	False	True	True	False	False	False	True	True	False
gyrocopter	False	False	True	True	True	True	True	False	False	True	False	True	True	False
hybrid	True	True	True	False	False	False	False	False	False	False	False	True	False	False
hybrid_cav_highvalue	True	True	False	True	False	False	False	True	False	False	False	False	False	False
hybrid_flanker_shock_harasser	True	True	False	True	True	False	False	False	False	False	True	True	True	False
hybrid_highvalue	True	True	False	False	False	False	False	True	False	False	False	False	False	False
mage	False	False	False	False	False	True	False	True	False	False	False	True	False	False
mage_flanker_highvalue	False	False	False	False	True	True	False	True	False	False	False	True	False	False
mage_highvalue	False	False	False	False	False	True	False	True	False	False	False	True	False	False
mage_stalkers_highvalue	False	False	False	False	False	True	False	True	False	False	False	True	False	True
melee	True	False	False	False	False	False	False	False	False	False	False	True	False	False
melee_cav	True	False	False	True	False	False	False	False	False	False	False	True	False	False
melee_cav_shock	True	False	False	True	False	False	False	False	False	False	True	True	False	False
melee_cav_shock_highvalue	True	False	False	True	False	False	False	True	False	False	True	True	False	False
melee_flanker	True	False	False	True	True	False	False	False	False	False	False	True	False	False
melee_flanker_shock	True	False	False	True	True	False	False	False	False	False	True	True	False	False
melee_flanker_shock_highvalue	True	False	False	True	True	False	False	True	False	False	True	True	False	False
melee_gatecrusher	True	False	False	False	False	False	False	False	True	False	False	True	False	False
melee_gatecrusher_highvalue	True	False	False	False	False	False	False	True	True	False	False	True	False	False
melee_gatecrusher_shock	True	False	False	False	False	False	False	False	True	False	True	True	False	False
melee_gatecrusher_support	True	False	False	False	False	True	False	False	True	False	False	True	False	False
melee_highvalue	True	False	False	False	False	False	False	True	False	False	False	True	False	False
melee_mage	True	False	False	False	False	True	False	True	False	False	False	True	False	False
melee_mage_highvalue	True	False	False	False	False	True	False	True	False	False	False	True	False	False
melee_stalkers	True	False	False	False	False	False	False	False	False	False	False	True	False	True
melee_stalkers_flankers	True	False	False	False	True	False	False	False	False	False	False	True	False	True
ranged	False	True	False	False	False	False	False	False	False	False	False	True	False	False
ranged_cav	False	True	False	True	False	False	False	False	False	False	False	True	False	False
ranged_cav_harasser	False	True	False	True	False	False	False	False	False	False	False	True	True	False
ranged_cav_highvalue	False	True	False	True	False	False	False	True	False	False	False	True	False	False
ranged_direct	False	False	True	False	False	False	False	False	False	False	False	True	False	False
ranged_direct_cav	False	False	True	True	False	False	False	False	False	False	False	True	False	False
ranged_direct_flanker	False	False	True	True	True	False	False	False	False	False	False	True	False	False
ranged_direct_flanker_harasser	False	False	True	True	True	False	False	False	False	False	False	True	True	False
ranged_direct_highvalue	False	False	True	False	False	False	False	True	False	False	False	True	False	False
ranged_direct_no_skirmish	False	False	True	False	False	False	False	False	False	False	False	False	False	False
ranged_flanker	False	True	False	True	True	False	False	False	False	False	False	True	False	False
ranged_harasser	False	True	False	False	False	False	False	False	False	False	False	True	True	False
ranged_harasser_flanker	False	True	False	True	True	False	False	False	False	False	False	True	True	False
ranged_harasser_highvalue	False	True	False	False	False	False	False	True	False	False	False	True	True	False
ranged_highvalue	False	True	False	False	False	False	False	True	False	False	False	True	False	False
ranged_indirect_arty	False	True	True	False	False	False	False	False	False	False	False	True	False	False
ranged_no_skirmish	False	True	False	False	False	False	False	False	False	False	False	False	False	False
ranged_no_skirmish_gatecrusher	False	False	True	False	False	False	False	True	True	False	False	False	False	False
ranged_stalkers	False	True	False	False	False	False	False	False	False	False	False	True	False	True
ranged_stalkers_direct	False	False	True	False	False	False	False	False	False	False	False	True	False	True
ranged_stalkers_flanker	False	True	False	True	True	False	False	False	False	False	False	True	False	True
ranged_stalkers_flanker_harasser	False	True	False	True	True	False	False	False	False	False	False	True	True	True
ranged_stalkers_harasser	False	True	False	False	False	False	False	False	False	False	False	True	True	True
ranged_stalkers_harasser_flanker	False	True	False	True	True	False	False	False	False	False	False	True	True	True
ranged_stalkers_harasser_highvalue	False	True	False	False	False	False	False	True	False	False	False	True	True	True
ranged_stalkers_no_skirmish	False	True	False	False	False	False	False	False	False	False	False	False	False	True
