agent_subtypes_tables
14
key	auto_generate	is_caster	small_icon	main_unit	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp
brt_damsel	True	True	ui/campaign ui/agents/wh_main_lore_heavens.png	wh_main_brt_cha_damsel_0	wh_dlc03_vo_actor_Bretonnian_Damsel	True	-1	True	True
brt_damsel_beasts	True	True	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	wh_dlc07_brt_cha_damsel_beasts_0	wh_dlc03_vo_actor_Bretonnian_Damsel	True	-1	True	True
brt_damsel_life	True	True	ui/campaign ui/agents/wh_dlc05_lore_life.png	wh_dlc07_brt_cha_damsel_life_0	wh_dlc03_vo_actor_Bretonnian_Damsel	True	-1	True	True
brt_lord	True	False		wh_main_brt_cha_lord_0	wh_main_vo_actor_Bretonnian_Lord	True	-1	False	True
brt_louen_leoncouer	False	False		wh_main_brt_cha_king_louen_leoncoeur_0	wh_main_vo_actor_Bretonnian_King_Louen	True	-1	False	True
brt_paladin	True	False	ui/campaign ui/agents/wh_main_brt_champion.png	wh_main_brt_cha_paladin_0	wh_main_vo_actor_Bretonnian_Paladin	True	-1	False	True
chs_archaon	False	True		wh_main_chs_cha_archaon_the_everchosen_0	wh_dlc01_vo_actor_Chaos_ArchaonTheEverchosen	True	-1	False	True
chs_chaos_sorcerer_death	True	True	ui/campaign ui/agents/wh_main_lore_death.png	wh_main_chs_cha_chaos_sorcerer_death_0	wh_main_vo_actor_Chaos_Sorcerer	True	-1	False	True
chs_chaos_sorcerer_fire	True	True	ui/campaign ui/agents/wh_main_lore_fire.png	wh_main_chs_cha_chaos_sorcerer_fire_0	wh_main_vo_actor_Chaos_Sorcerer	True	-1	False	True
chs_chaos_sorcerer_metal	True	True	ui/campaign ui/agents/wh_main_lore_metal.png	wh_main_chs_cha_chaos_sorcerer_metal_0	wh_main_vo_actor_Chaos_Sorcerer	True	-1	False	True
chs_exalted_hero	True	False	ui/campaign ui/agents/wh_main_chs_champion.png	wh_main_chs_cha_exalted_hero_0	wh_main_vo_actor_Chaos_ExhaltedHero	True	-1	False	True
chs_kholek_suneater	False	False		wh_dlc01_chs_cha_kholek	wh_dlc01_vo_actor_Chaos_KholekSuneater	True	-1	False	True
chs_lord	True	False		wh_main_chs_cha_chaos_lord_0	wh_main_vo_actor_Chaos_Lord	True	-1	False	True
chs_lord_of_change	False	True		wh_main_chs_cha_lord_of_change_0	wh_main_vo_actor_Chaos_LordOfChange	True	-1	False	True
chs_prince_sigvald	False	False		wh_dlc01_chs_cha_prince_sigvald_the_magnificent	wh_dlc01_vo_actor_Chaos_SigvaldTheMagnificent	True	-1	False	True
chs_sorcerer_lord_death	True	True	ui/campaign ui/agents/wh_main_lore_death.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	wh_dlc01_vo_actor_Chaos_SorcererLord	True	-1	False	True
chs_sorcerer_lord_fire	True	True	ui/campaign ui/agents/wh_main_lore_fire.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	wh_dlc01_vo_actor_Chaos_SorcererLord	True	-1	False	True
chs_sorcerer_lord_metal	True	True	ui/campaign ui/agents/wh_main_lore_metal.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0	wh_dlc01_vo_actor_Chaos_SorcererLord	True	-1	False	True
default	True	False			wh_main_vo_actor_default	True	-1	False	True
dlc03_bst_beastlord	True	False		wh_dlc03_bst_cha_beastlord_0	wh_dlc03_vo_actor_Beastlord	True	-1	False	True
dlc03_bst_bray_shaman_beasts	True	True	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	wh_dlc03_bst_cha_bray_shaman_beasts_0	wh_dlc03_vo_actor_Beastmen_Bray_Shaman	True	-1	False	True
dlc03_bst_bray_shaman_death	True	True	ui/campaign ui/agents/wh_main_lore_death.png	wh_dlc03_bst_cha_bray_shaman_death_0	wh_dlc03_vo_actor_Beastmen_Bray_Shaman	True	-1	False	True
dlc03_bst_bray_shaman_shadows	True	True	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	wh_dlc03_bst_cha_bray_shaman_shadows_0	wh_dlc03_vo_actor_Beastmen_Bray_Shaman	True	-1	False	True
dlc03_bst_bray_shaman_wild	True	True	ui/campaign ui/agents/wh_dlc03_lore_wild.png	wh_dlc03_bst_cha_bray_shaman_wild_0	wh_dlc03_vo_actor_Beastmen_Bray_Shaman	True	-1	False	True
dlc03_bst_gorebull	True	False		wh_dlc03_bst_cha_gorebull_0	wh_dlc03_vo_actor_Beastmen_Gorebull	True	-1	False	True
dlc03_bst_graktar	False	False		wh_dlc03_bst_cha_graktar_0	wh_dlc03_vo_actor_Beastlord	True	-1	False	True
dlc03_bst_khazrak	False	False		wh_dlc03_bst_cha_khazrak_one_eye_0	wh_dlc03_vo_actor_Beastmen_Khazrak_One_Eye	True	-1	False	True
dlc03_bst_malagor	False	True		wh_dlc03_bst_cha_malagor_the_dark_omen_0	wh_dlc03_vo_actor_Beastmen_Malagor_the_Dark_Omen	True	-1	False	True
