campaign_statistics_categories_tables
0
category_order	key
71	stat_cat_agents_actions
69	stat_cat_agents_breaker
70	stat_cat_agents_general
63	stat_cat_battles_aftermath
59	stat_cat_battles_breaker
62	stat_cat_battles_defeats
60	stat_cat_battles_general
61	stat_cat_battles_victories
30	stat_cat_diplomacy
39	stat_cat_economy_breaker
41	stat_cat_economy_expenditure
40	stat_cat_economy_income
20	stat_cat_empire
19	stat_cat_empire_breaker
10	stat_cat_general
9	stat_cat_general_breaker
49	stat_cat_military_breaker
50	stat_cat_military_forces
51	stat_cat_military_units
