action_results_tables
1
actor_effect_bundle	key	target_effect_bundle	unknown3	unknown4
wh_main_bundle_agent_action_engineer_assist_army_cannot_fail_actor	wh2_main_agent_action_assist_army_cannot_fail_increase_mobility	wh2_main_bundle_agent_action_assist_army_cannot_fail_increase_mobility_target	1	0
wh_main_bundle_agent_action_dignitary_assist_army_cannot_fail_actor	wh2_main_agent_action_assist_army_cannot_fail_replenish_troops	wh2_main_bundle_agent_action_assist_army_cannot_fail_replenish_troops_target	1	0
wh_main_bundle_agent_action_spy_assist_army_cannot_fail_actor	wh2_main_agent_action_assist_army_cannot_fail_scavenge	wh2_main_bundle_agent_action_assist_army_cannot_fail_scavenge_target	1	0
wh_main_bundle_agent_action_wizard_assist_army_cannot_fail_actor	wh2_main_agent_action_assist_army_cannot_fail_scouting	wh2_main_bundle_agent_action_assist_army_cannot_fail_scouting_target	1	0
wh_main_bundle_agent_action_champion_assist_army_cannot_fail_actor	wh2_main_agent_action_assist_army_cannot_fail_training	wh2_main_bundle_agent_action_assist_army_cannot_fail_training_target	1	0
wh_main_bundle_agent_action_engineer_hinder_settlement_success_actor	wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual	wh_main_bundle_agent_action_engineer_hinder_settlement_success_target	1	1
wh_main_bundle_agent_action_wizard_hinder_army_success_actor	wh2_main_agent_action_hinder_army_success_assault_unit	wh_main_bundle_agent_action_wizard_hinder_army_success_target	1	1
wh_main_bundle_agent_action_champion_hinder_army_success_actor	wh2_main_agent_action_hinder_army_success_assault_units	wh_main_bundle_agent_action_champion_hinder_army_success_target	1	1
wh_main_bundle_agent_action_spy_hinder_army_success_actor	wh2_main_agent_action_hinder_army_success_block_army	wh_main_bundle_agent_action_spy_hinder_army_success_target	1	1
wh_main_bundle_agent_action_dignitary_hinder_army_success_actor	wh2_main_agent_action_hinder_army_success_hinder_replenishment	wh_main_bundle_agent_action_dignitary_hinder_army_success_target	1	4
wh_main_bundle_dummy_character	wh2_main_agent_action_hinder_settlement_cannot_fail_scout_settlement	wh_main_bundle_dummy	1	1
wh_main_bundle_agent_action_champion_hinder_settlement_success_actor	wh2_main_agent_action_hinder_settlement_success_assault_garrison	wh_main_bundle_agent_action_champion_hinder_settlement_success_target	1	1
wh_main_bundle_agent_action_dignitary_hinder_settlement_success_actor	wh2_main_agent_action_hinder_settlement_success_damage_building	wh_main_bundle_agent_action_dignitary_hinder_settlement_success_target	1	1
wh_main_bundle_agent_action_spy_hinder_settlement_success_actor	wh2_main_agent_action_hinder_settlement_success_damage_walls	wh_main_bundle_agent_action_spy_hinder_settlement_success_target	1	1
wh2_main_bundle_agent_action_hinder_settlement_success_gain_influence_actor	wh2_main_agent_action_hinder_settlement_success_gain_influence	wh_main_bundle_agent_action_spy_hinder_settlement_success_target	1	1
wh2_main_bundle_agent_action_hinder_settlement_success_steal_technology_actor	wh2_main_agent_action_hinder_settlement_success_steal_technology	wh2_main_bundle_agent_action_hinder_settlement_success_steal_technology_target	3	3
wh2_main_bundle_agent_action_passive_cannot_fail_boost_income_actor	wh2_main_agent_action_passive_cannot_fail_boost_income	wh_main_bundle_dummy_character	1	1
wh2_main_bundle_agent_action_passive_cannot_fail_increase_slave_income_actor	wh2_main_agent_action_passive_cannot_fail_increase_slave_income	wh_main_bundle_dummy_character	1	1
wh2_main_bundle_agent_action_passive_cannot_fail_increase_trade_actor	wh2_main_agent_action_passive_cannot_fail_increase_trade	wh_main_bundle_dummy_character	1	1
wh2_main_bundle_agent_action_passive_cannot_fail_spread_corruption	wh2_main_agent_action_passive_cannot_fail_spread_corruption	wh_main_bundle_dummy_character	1	1
wh2_main_bundle_agent_action_passive_cannot_fail_spread_public_order_actor	wh2_main_agent_action_passive_cannot_fail_spread_public_order	wh_main_bundle_dummy_character	1	1
wh2_main_bundle_agent_action_passive_cannot_fail_spread_public_order_actor	wh2_main_agent_action_passive_cannot_fail_spread_public_order_horde	wh_main_bundle_dummy_character	1	1
wh2_main_bundle_agent_action_passive_cannot_fail_stimulate_growth	wh2_main_agent_action_passive_cannot_fail_stimulate_growth	wh_main_bundle_dummy_character	1	1
wh_main_bundle_agent_action_wizard_hinder_settlement_success_actor	wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual	wh_main_bundle_agent_action_wizard_hinder_settlement_success_target	1	1
wh_main_bundle_agent_action_champion_hinder_character_success_actor	wh_main_agent_action_all_hinder_agent_critical_success	wh_main_bundle_agent_action_champion_hinder_character_success_target	2	1
wh_main_bundle_agent_action_champion_hinder_character_success_actor	wh_main_agent_action_all_hinder_agent_success	wh_main_bundle_agent_action_champion_hinder_character_success_target	2	1
wh_main_bundle_agent_action_all_failure_army_actor_compromised	wh_main_agent_action_all_hinder_army_critical_failure	wh_main_bundle_agent_action_all_failure_army_target	1	1
wh_main_bundle_agent_action_all_failure_army_actor_compromised	wh_main_agent_action_all_hinder_army_failure	wh_main_bundle_agent_action_all_failure_army_target	1	1
wh_main_bundle_agent_action_all_failure_character_actor_compromised	wh_main_agent_action_all_hinder_character_critical_failure	wh_main_bundle_agent_action_all_failure_character_target	1	1
wh_main_bundle_agent_action_all_failure_character_actor_compromised	wh_main_agent_action_all_hinder_character_failure	wh_main_bundle_agent_action_all_failure_character_target	1	1
wh_main_bundle_agent_action_all_failure_settlement_actor_compromised	wh_main_agent_action_all_hinder_settlement_critical_failure	wh_main_bundle_agent_action_all_failure_settlement_target	1	1
wh_main_bundle_agent_action_all_failure_settlement_actor_compromised	wh_main_agent_action_all_hinder_settlement_failure	wh_main_bundle_agent_action_all_failure_settlement_target	1	1
wh_main_bundle_dummy_character	wh_main_agent_action_dummy_cannot_fail	wh_main_bundle_dummy_character	1	1
wh_main_bundle_dummy_character	wh_main_agent_action_dummy_critical_failure	wh_main_bundle_dummy_character	1	1
wh_main_bundle_dummy_character	wh_main_agent_action_dummy_critical_success	wh_main_bundle_dummy_character	1	1
