_kv_fatigue_tables
0
key	value
charging	20
climbing_ladders	5000
climbing_walls	5000
combat	12
gradient_shallow_movement_multiplier	50
gradient_steep_movement_multiplier	100
gradient_very_steep_movement_multiplier	150
idle	-18
idle_in_building	-18
idle_rain	-9
idle_snow	-5
limbering	6
ready	-15
running	4
running_artillery_horse	4
running_cavalry	4
running_cavalry_light	4
shooting	16
threshold_active	4500
threshold_exhausted	28000
threshold_fresh	0
threshold_max	36000
threshold_tired	14000
threshold_very_tired	20000
threshold_winded	9000
walking	-3
walking_artillery	10
walking_horse_artillery	2
working	15
