unit_set_to_unit_junctions_tables
0
exclude	unit_caste	unit_category	unit_class	unit_record	unit_set
False				wh2_main_hef_inf_gate_guard	hef_all
False				wh2_main_hef_inf_gate_guard	hef_archer_seaguard_boltthrower_rank7
False				wh2_main_hef_inf_gate_guard	hef_archer_seaguard_rank7
False				wh2_main_hef_inf_gate_guard	hef_seaguard
False				wh2_main_lzd_cav_cold_ones_feral_0	lzd_all
False				wh2_main_lzd_cav_cold_ones_feral_0	lzd_beasts
False				wh2_main_lzd_cav_cold_ones_feral_0	lzd_coldones
False				wh2_main_lzd_cav_cold_ones_feral_0	lzd_saurus_coldones
False				wh2_main_lzd_cav_cold_ones_feral_0	lzd_terradon_coldones_rank7
False				wh2_main_lzd_cav_cold_ones_feral_0	wh2_def_lzd_cold_ones
