ministerial_positions_tables
2
minister_key	rank	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9
faction_leader	0	0	0	0	0	0	0	0	1
wh_dlc05_minister_wef_elf_elder_speaker	3	0	999	1	0	0	0	9999	1
wh_dlc05_minister_wef_elf_herald_of_the_hunt	1	0	999	1	0	0	0	9999	1
wh_dlc05_minister_wef_elf_protector_of_the_oak	3	0	999	1	0	0	0	9999	1
wh_dlc05_minister_wef_elf_starlight_craftsman	1	0	999	1	0	0	0	9999	1
wh_dlc05_minister_wef_elf_the_tricksters_masque	1	0	999	1	0	0	0	9999	1
wh_dlc05_minister_wef_elf_warden_of_the_wildwood	1	0	999	1	0	0	0	9999	1
wh_dlc05_minister_wef_tree_ancient_of_delliandra	1	0	999	1	0	0	0	9999	1
wh_dlc05_minister_wef_tree_ancient_of_druthandor	1	0	999	1	0	0	0	9999	1
wh_dlc05_minister_wef_tree_ancient_of_talrennic	1	0	999	1	0	0	0	9999	1
wh_dlc05_minister_wef_tree_ancient_of_threllock	1	0	999	1	0	0	0	9999	1
wh_main_minister_chs_1_aspirant	1	1	100	1	0	0	4	8	4
wh_main_minister_chs_2_marked_one	2	1	100	2	0	0	4	8	3
wh_main_minister_chs_3_champion	3	1	100	3	0	0	4	8	2
wh_main_minister_chs_4_chosen	4	1	100	4	0	0	4	8	1
wh_main_minister_chs_5_exalted	5	1	100	5	0	0	4	8	1
wh_main_minister_dwf_1_lode_warden	1	1	100	1	0	0	4	8	4
wh_main_minister_dwf_2_reckoner	2	1	100	2	0	0	4	8	3
wh_main_minister_dwf_3_ironmaster	3	1	100	3	0	0	4	8	2
wh_main_minister_dwf_4_brewmaster	4	1	100	4	0	0	4	8	1
wh_main_minister_dwf_5_clan_lord	5	1	100	5	0	0	4	8	1
wh_main_minister_emp_arch_lector	5	0	999	1	0	0	0	9999	1
wh_main_minister_emp_castellan-engineer	1	0	999	1	0	0	0	9999	1
wh_main_minister_emp_reiksmarshal	10	0	999	1	0	0	0	9999	1
wh_main_minister_emp_spymaster	5	0	999	1	0	0	0	9999	1
wh_main_minister_emp_supreme_patriarch	10	0	999	1	0	0	0	9999	1
wh_main_minister_emp_treasurer	1	0	999	1	0	0	0	9999	1
wh_main_minister_grn_1_lout	1	1	100	1	0	0	4	8	4
wh_main_minister_grn_2_bully	2	1	100	2	0	0	4	8	3
wh_main_minister_grn_3_thug	3	1	100	3	0	0	4	8	2
wh_main_minister_grn_4_brute	4	1	100	4	0	0	4	8	1
wh_main_minister_grn_5_chieftain_king	5	1	100	5	0	0	4	8	1
wh_main_minister_vmp_1_grave_warden	1	1	100	1	0	0	4	8	4
wh_main_minister_vmp_2_initiate	2	1	100	2	0	0	4	8	3
wh_main_minister_vmp_3_acolyte	3	1	100	3	0	0	4	8	2
wh_main_minister_vmp_4_awakened	4	1	100	4	0	0	4	8	1
wh_main_minister_vmp_5_red_ascendant	5	1	100	5	0	0	4	8	1
