ui_tooltips_tables
0
key	layout_name
test_effect_list_tooltip	tooltip_effect_list
test_quit_game_tooltip	tooltip_text_and_icon
test_title_list_and_footer_tooltip	tooltip_title_list_and_footer
tooltip_battle_advanced_controls	tooltip_title_and_text
tooltip_battle_advice_history_buttons	tooltip_text_only
tooltip_battle_advisor	tooltip_title_and_text
tooltip_battle_advisor_link	tooltip_text_only
tooltip_battle_ambush_battles	tooltip_title_and_text
tooltip_battle_armies	tooltip_title_and_text
tooltip_battle_army_abilities	tooltip_title_and_text
tooltip_battle_army_abilities_link	tooltip_text_only
tooltip_battle_army_panel	tooltip_text_only
tooltip_battle_artillery	tooltip_title_and_text
tooltip_battle_balance_of_power	tooltip_text_only
tooltip_battle_battle_game	tooltip_title_and_text
tooltip_battle_battle_interface	tooltip_title_and_text
tooltip_battle_battlefield	tooltip_title_and_text
tooltip_battle_camera_controls	tooltip_title_and_text
tooltip_battle_capture_points	tooltip_title_and_text
tooltip_battle_deployment	tooltip_title_and_text
tooltip_battle_drop_equipment_button	tooltip_text_only
tooltip_battle_fire_at_will	tooltip_title_and_text
tooltip_battle_fire_at_will_button	tooltip_text_only
tooltip_battle_fire_at_will_link	tooltip_text_only
tooltip_battle_flanking	tooltip_title_and_text
tooltip_battle_flying_units	tooltip_title_and_text
tooltip_battle_formations	tooltip_title_and_text
tooltip_battle_formations_button	tooltip_text_only
tooltip_battle_formations_link	tooltip_text_only
tooltip_battle_fortifications	tooltip_title_and_text
tooltip_battle_game_guide	tooltip_title_and_text
tooltip_battle_game_guide_link	tooltip_text_only
tooltip_battle_group_button	tooltip_text_only
tooltip_battle_grouping	tooltip_title_and_text
tooltip_battle_grouping_link	tooltip_text_only
tooltip_battle_guard_button	tooltip_text_only
tooltip_battle_infantry	tooltip_title_and_text
tooltip_battle_leadership	tooltip_title_and_text
tooltip_battle_lore_panel	tooltip_text_only
tooltip_battle_melee_mode_button	tooltip_text_only
tooltip_battle_missile_units	tooltip_title_and_text
tooltip_battle_monsters	tooltip_title_and_text
tooltip_battle_mounted_units	tooltip_title_and_text
tooltip_battle_murderous_prowess	tooltip_title_and_text
tooltip_battle_power_reserve_bar	tooltip_text_only
tooltip_battle_radar_map	tooltip_text_only
tooltip_battle_rallying	tooltip_title_and_text
tooltip_battle_rampaging	tooltip_title_and_text
tooltip_battle_reinforcements	tooltip_title_and_text
tooltip_battle_siege_battles	tooltip_title_and_text
tooltip_battle_siege_weapons	tooltip_title_and_text
tooltip_battle_skirmish_button	tooltip_text_only
tooltip_battle_skirmishing	tooltip_title_and_text
tooltip_battle_skirmishing_link	tooltip_text_only
tooltip_battle_spells	tooltip_title_and_text
tooltip_battle_spells_link	tooltip_text_only
tooltip_battle_tactical_map	tooltip_title_and_text
