character_experience_skill_tiers_tables
2
agent_key	experience_threshold	skill_points	skill_rank	unknown4	for_army	for_navy
champion	900	1	0	False	False	False
champion	14660	1	10	False	False	False
champion	16240	1	11	False	False	False
champion	17820	1	12	False	False	False
champion	19400	1	13	False	False	False
champion	20990	1	14	False	False	False
champion	22580	1	15	False	False	False
champion	24170	1	16	False	False	False
champion	25770	1	17	False	False	False
champion	27370	1	18	False	False	False
champion	28980	1	19	False	False	False
champion	1900	1	1	False	False	False
champion	30590	1	20	False	False	False
champion	32210	1	21	False	False	False
champion	33830	1	22	False	False	False
champion	35460	1	23	False	False	False
champion	37100	1	24	False	False	False
champion	38740	1	25	False	False	False
champion	40390	1	26	False	False	False
champion	42050	1	27	False	False	False
champion	43710	1	28	False	False	False
champion	45380	1	29	False	False	False
champion	3000	1	2	False	False	False
champion	47060	1	30	False	False	False
champion	48740	1	31	False	False	False
champion	50430	1	32	False	False	False
champion	52130	1	33	False	False	False
champion	53830	1	34	False	False	False
champion	55540	1	35	False	False	False
champion	57260	1	36	False	False	False
champion	58990	1	37	False	False	False
champion	60730	1	38	False	False	False
champion	4200	1	3	False	False	False
champion	5500	1	4	False	False	False
champion	6890	1	5	False	False	False
champion	8370	1	6	False	False	False
champion	9940	1	7	False	False	False
champion	11510	1	8	False	False	False
champion	13080	1	9	False	False	False
dignitary	900	1	0	False	False	False
dignitary	14660	1	10	False	False	False
dignitary	16240	1	11	False	False	False
dignitary	17820	1	12	False	False	False
dignitary	19400	1	13	False	False	False
dignitary	20990	1	14	False	False	False
dignitary	22580	1	15	False	False	False
dignitary	24170	1	16	False	False	False
dignitary	25770	1	17	False	False	False
dignitary	27370	1	18	False	False	False
dignitary	28980	1	19	False	False	False
dignitary	1900	1	1	False	False	False
dignitary	30590	1	20	False	False	False
dignitary	32210	1	21	False	False	False
dignitary	33830	1	22	False	False	False
dignitary	35460	1	23	False	False	False
dignitary	37100	1	24	False	False	False
dignitary	38740	1	25	False	False	False
dignitary	40390	1	26	False	False	False
dignitary	42050	1	27	False	False	False
dignitary	43710	1	28	False	False	False
dignitary	45380	1	29	False	False	False
dignitary	3000	1	2	False	False	False
dignitary	47060	1	30	False	False	False
dignitary	48740	1	31	False	False	False
dignitary	50430	1	32	False	False	False
dignitary	52130	1	33	False	False	False
dignitary	53830	1	34	False	False	False
dignitary	55540	1	35	False	False	False
dignitary	57260	1	36	False	False	False
dignitary	58990	1	37	False	False	False
dignitary	60730	1	38	False	False	False
dignitary	4200	1	3	False	False	False
dignitary	5500	1	4	False	False	False
dignitary	6890	1	5	False	False	False
dignitary	8370	1	6	False	False	False
dignitary	9940	1	7	False	False	False
dignitary	11510	1	8	False	False	False
dignitary	13080	1	9	False	False	False
engineer	900	1	0	False	False	False
