cursor_transitions_tables
0
initiating_cursor	mouse_event	resulting_cursor
agent_action	RBUTTON_DOWN	agent_action_down
agent_action_down	RBUTTON_UP	agent_action
attack	RBUTTON_DOWN	attack_down
attack_building	RBUTTON_DOWN	attack_building_down
attack_building_down	RBUTTON_UP	attack_building
attack_building_oor	RBUTTON_DOWN	attack_building_oor_down
attack_building_oor_down	RBUTTON_UP	attack_building_oor
attack_deployable	RBUTTON_DOWN	attack_deployable_down
attack_deployable_down	RBUTTON_UP	attack_deployable
attack_deployable_ranged	RBUTTON_DOWN	attack_deployable_ranged_down
attack_deployable_ranged_down	RBUTTON_UP	attack_deployable_ranged
attack_down	RBUTTON_UP	attack
attack_oor	RBUTTON_DOWN	attack_oor_click
attack_oor_click	RBUTTON_UP	attack_oor
attack_unbreachable_wall	RBUTTON_DOWN	attack_unbreachable_wall_down
attack_unbreachable_wall_down	RBUTTON_UP	attack_unbreachable_wall
backwater	RBUTTON_DOWN	backwater_down
backwater_down	RBUTTON_UP	backwater
board_ship	RBUTTON_DOWN	board_ship_down
board_ship_down	RBUTTON_UP	board_ship
burn_building	RBUTTON_DOWN	burn_building_down
burn_building_down	RBUTTON_UP	burn_building
can_capture	RBUTTON_DOWN	can_capture_down
can_capture_down	RBUTTON_UP	can_capture
click_down	LBUTTON_UP	normal
climb_wall	RBUTTON_DOWN	climb_wall_down
climb_wall_down	RBUTTON_UP	climb_wall
defend_building	RBUTTON_DOWN	defend_building_click
defend_building_click	RBUTTON_UP	defend_building
disembark_ship	RBUTTON_DOWN	disembark_ship_down
disembark_ship_down	RBUTTON_UP	disembark_ship
grab	LBUTTON_DOWN	grabbed
grabbed	LBUTTON_UP	grab
group_script_attack	RBUTTON_DOWN	group_script_attack_down
group_script_attack_down	RBUTTON_UP	group_script_attack
group_script_defend	RBUTTON_DOWN	group_script_defend_down
group_script_defend_down	RBUTTON_UP	group_script_defend
hyperlink	LBUTTON_DOWN	hyperlink_down
hyperlink_down	LBUTTON_UP	hyperlink
inspire	LBUTTON_DOWN	inspire_click
inspire_click	LBUTTON_UP	inspire
interact_deployable	RBUTTON_DOWN	interact_deployable_down
interact_deployable_down	RBUTTON_UP	interact_deployable
melee	RBUTTON_DOWN	melee_down
melee_down	RBUTTON_UP	melee
melee_siege	RBUTTON_DOWN	melee_siege_down
melee_siege_down	RBUTTON_UP	melee_siege
