dilemmas_tables
5
generate	key	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override
True	zar_sk_dilemma_trade_for_food	placeholder	Trade for Food	diplomacy	False	Event		
True	zar_sk_dilemma_ratcatchers	placeholder	Ratcatchers	messenger	False	Event		
True	zar_sk_dilemma_furry_thieves	placeholder	Furry Thieves	messenger	False	Event		
True	zar_sk_dilemma_false_prophet	placeholder	False Prophet	generic	False	Event		
True	zar_sk_dilemma_skaven_raid_1	placeholder	placeholder	generic	False	Event		
True	zar_sk_dilemma_skaven_raid_2	placeholder	placeholder	generic	False	Event		
True	zar_sk_dilemma_sewer_patrols	placeholder	placeholder	generic	False	Event		
True	zar_sk_dilemma_sewer_patrols_emp	placeholder	placeholder	generic	False	Event		
True	zar_sk_dilemma_skaven_raid_3	placeholder	placeholder	generic	False	Event		
True	zar_sk_dilemma_skaven_raid_1p	placeholder	placeholder	generic	False	Event		
True	zar_sk_dilemma_skaven_raid_2p	placeholder	placeholder	generic	False	Event		
True	zar_sk_dilemma_skaven_raid_3p	placeholder	placeholder	generic	False	Event		
True	zar_sk_dilemma_retake_skavenblight	placeholder	placeholder	zar_sk_skavenblight	False	Event		
