effect_bonus_value_religion_junction_tables
0
effect	bonus_value_id	religion
wh2_main_effect_commandment_lzd_order_2	conversion	wh_main_religion_untainted
wh2_main_effect_religion_conversion_skaven_all_regions	conversion	wh2_main_religion_skaven
wh2_main_effect_religion_conversion_skaven_events_bad	conversion_events	wh2_main_religion_skaven
wh2_main_effect_religion_conversion_undeath_building_bad	conversion	wh_main_religion_undeath
wh2_main_effect_religion_osmosis_skaven	osmotic_conversion	wh2_main_religion_skaven
wh2_main_effect_religion_skaven_public_order_skaventrait	public_order	wh2_main_religion_skaven
wh2_main_effect_religion_untainted_public_order_skaventrait	public_order	wh_main_religion_untainted
wh_dlc04_effect_religion_conversion_undeath_not_shown	conversion	wh_main_religion_undeath
wh_dlc05_faction_diplomacy_mod_building	diplomatic_mod	wh2_main_religion_skaven
wh_dlc05_faction_diplomacy_mod_building	diplomatic_mod	wh_main_religion_chaos
wh_dlc05_faction_diplomacy_mod_building	diplomatic_mod	wh_main_religion_undeath
wh_dlc05_faction_diplomacy_mod_building	diplomatic_mod	wh_main_religion_untainted
wh_main_effect_commandment_dwarfs_ancestor_worship_untainted_base	conversion	wh_main_religion_untainted
wh_main_effect_faction_imperium_diplomacy_penalty_major	diplomatic_mod_imperium	wh_main_religion_chaos
wh_main_effect_faction_imperium_diplomacy_penalty_major	diplomatic_mod_imperium	wh_main_religion_undeath
wh_main_effect_faction_imperium_diplomacy_penalty_major	diplomatic_mod_imperium	wh_main_religion_untainted
wh_main_effect_faction_imperium_diplomacy_penalty_minor	diplomatic_mod_imperium	wh_main_religion_chaos
wh_main_effect_faction_imperium_diplomacy_penalty_minor	diplomatic_mod_imperium	wh_main_religion_undeath
wh_main_effect_faction_imperium_diplomacy_penalty_minor	diplomatic_mod_imperium	wh_main_religion_untainted
wh_main_effect_faction_imperium_diplomacy_penalty_severe	diplomatic_mod_imperium	wh_main_religion_chaos
wh_main_effect_faction_imperium_diplomacy_penalty_severe	diplomatic_mod_imperium	wh_main_religion_undeath
wh_main_effect_faction_imperium_diplomacy_penalty_severe	diplomatic_mod_imperium	wh_main_religion_untainted
wh_main_effect_religion_conversion_chaos_bad	conversion	wh_main_religion_chaos
wh_main_effect_religion_conversion_chaos_events_bad	conversion_events	wh_main_religion_chaos
wh_main_effect_religion_conversion_chaos_events	conversion_events	wh_main_religion_chaos
wh_main_effect_religion_conversion_chaos	conversion	wh_main_religion_chaos
wh_main_effect_religion_conversion_skaven	conversion	wh2_main_religion_skaven
wh_main_effect_religion_conversion_undeath_events_bad	conversion_events	wh_main_religion_undeath
wh_main_effect_religion_conversion_undeath_events	conversion_events	wh_main_religion_undeath
wh_main_effect_religion_conversion_undeath	conversion	wh_main_religion_undeath
wh_main_effect_religion_conversion_untainted_all_regions	conversion	wh_main_religion_untainted
wh_main_effect_religion_conversion_untainted_events_bad	conversion_events	wh_main_religion_untainted
wh_main_effect_religion_conversion_untainted_events	conversion_events	wh_main_religion_untainted
wh_main_effect_religion_conversion_untainted	conversion	wh_main_religion_untainted
wh_main_effect_religion_osmosis_chaos	osmotic_conversion	wh_main_religion_chaos
wh_main_effect_religion_osmosis_undeath	osmotic_conversion	wh_main_religion_undeath
wh_main_effect_religion_osmosis_untainted	osmotic_conversion	wh_main_religion_untainted
wh_main_effect_religion_undeath_public_order	public_order	wh_main_religion_undeath
wh_main_faction_political_diplomacy_mod	diplomatic_mod_tech	wh2_main_religion_skaven
wh_main_faction_political_diplomacy_mod	diplomatic_mod_tech	wh_main_religion_chaos
wh_main_faction_political_diplomacy_mod	diplomatic_mod_tech	wh_main_religion_undeath
wh_main_faction_political_diplomacy_mod	diplomatic_mod_tech	wh_main_religion_untainted
