building_units_allowed_tables
4
building	unit	unknown2	unknown3	unknown4	faction	unknown6
wh2_main_rogue_outpostnorsca_major_coast_3	wh_dlc05_wef_cav_glade_riders_1	0	26457577	0		False
wh_main_brt_barracks_3	wh_dlc07_brt_inf_men_at_arms_1	0	60282	0		False
wh2_main_rogue_outpostnorsca_major_coast_2	wh_main_grn_cav_orc_boar_boyz	0	1501141992	0		False
wh2_main_special_fortress_gate_unicorn_hef_4	wh2_main_hef_inf_gate_guard	0	1022	0		False
wh2_main_rogue_settlement_minor_3	wh_main_grn_art_goblin_rock_lobber	0	1024213963	0		False
wh2_main_rogue_outpostnorsca_minor_coast_2	wh_dlc01_chs_mon_trolls_1	0	2028595319	0		False
wh2_main_rogue_outpostnorsca_minor_coast_3	wh_dlc01_chs_mon_trolls_1	0	1619189615	0		False
wh2_main_rogue_outpostnorsca_major_coast_3	wh_main_grn_mon_giant	0	12629922	0		False
wh2_main_skv_settlement_major_1_coast	wh2_main_skv_inf_skavenslaves_0	0	63395	0		False
wh_main_savage_military_2	wh_main_grn_inf_savage_orc_arrer_boyz	0	60734	0		False
wh2_main_rogue_settlement_major_coast_3	wh_dlc03_bst_inf_ungor_herd_1	0	16369919	0		False
wh2_main_special_settlement_itza_skv_1	wh2_main_skv_inf_skavenslaves_0	0	866701056	0		False
wh_main_horde_chaos_giants_1	wh_main_chs_mon_giant	0	61132	0		False
wh2_main_rogue_outpostnorsca_major_coast_3	wh_dlc03_bst_inf_razorgor_herd_0	0	619721360	0		False
wh_main_vmp_bindingcircle_2	wh_main_vmp_cav_black_knights_3	0	64451	0		False
wh2_main_rogue_settlement_major_1	wh2_main_lzd_mon_bastiladon_0	0	1930004227	0		False
wh2_main_rogue_outpostnorsca_major_1	wh_dlc01_chs_inf_forsaken_0	0	672595529	0		False
wh2_main_special_fortress_gate_unicorn_skaven_5	wh2_main_skv_inf_skavenslave_slingers_0	0	66936468	0		False
wh2_main_rogue_outpostnorsca_major_coast_2	wh_dlc05_bst_mon_harpies_0	0	1875582146	0		False
wh2_main_lzd_skinks_1	wh2_main_lzd_inf_skink_cohort_1	0	2130905423	0		False
wh2_main_rogue_settlement_minor_coast_1	wh_main_emp_cav_outriders_0	0	289294638	0		False
wh2_main_rogue_outpostnorsca_minor_coast_3	wh_main_chs_inf_chaos_warriors_1	0	530353780	0		False
wh2_main_rogue_outpostnorsca_major_coast_2	wh_main_emp_inf_halberdiers	0	2033480531	0		False
wh2_main_rogue_outpostnorsca_minor_coast_3	wh2_main_skv_inf_plague_monk_censer_bearer	0	1255567225	0		False
wh_main_teb_worship_1	wh_dlc04_emp_inf_flagellants_0	0	1738360209	0		False
wh2_main_rogue_outpostnorsca_major_1	wh_dlc04_emp_cav_knights_blazing_sun_0	0	2092413026	0		False
wh2_main_rogue_outpostnorsca_major_1	wh_dlc05_wef_inf_glade_guard_2	0	14382043	0		False
wh2_main_rogue_settlement_major_2	wh2_main_def_cav_cold_one_chariot	0	313347648	0		False
wh_dlc05_wef_outpost_recruitment_1	wh_dlc05_wef_inf_dryads_0	0	1015	0		False
wh2_main_rogue_outpostnorsca_major_2	wh2_main_def_inf_shades_2	0	480339914	0		False
