battlefield_deployable_siege_items_tables
5
key	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7
def_battering_ram	def_battering_ram	False	False	False	False	battering_rams	3
def_siege_tower	def_siege_tower_15m	False	False	False	False	15m_siege_towers	6
hef_battering_ram	hef_battering_ram	False	False	False	False	battering_rams	3
hef_siege_tower	hef_siege_tower_15m	False	False	False	False	15m_siege _towers	6
lzd_battering_ram	lzd_battering_ram	False	False	False	False	battering_rams	3
lzd_siege_tower	lzd_siege_tower_15m	False	False	False	False	15m_siege _towers	6
skv_battering_ram	skv_battering_ram	False	False	False	False	battering_rams	3
skv_siege_tower	skv_siege_tower_15m	False	False	False	False	15m_siege _towers	6
brt_batteringram	brt_battering_ram	False	False	False	False	battering_rams	3
brt_siege_tower	brt_siege_tower_15m	False	False	False	False	15m_siege _towers	6
bst_batteringram	bst_battering_ram	False	False	False	False	battering_rams	3
bst_siege_tower	bst_siege_tower_15m	False	False	False	False	15m_siege _towers	6
chs_batteringram	chs_battering_ram	False	False	False	False	battering_rams	3
chs_siege_tower	chs_siege_tower_15m	False	False	False	False	15m_siege _towers	6
dwf_batteringram	dwf_battering_ram	False	False	False	False	battering_rams	3
dwf_siege_tower	dwf_siege_tower_15m	False	False	False	False	15m_siege _towers	6
emp_batteringram	emp_battering_ram	False	False	False	False	battering_rams	3
emp_siege_tower	emp_siege_tower_15m	False	False	False	False	15m_siege _towers	6
grn_batteringram	grn_battering_ram	False	False	False	False	battering_rams	3
grn_siege_tower	grn_siege_tower_15m	False	False	False	False	15m_siege _towers	6
vmp_batteringram	vmp_battering_ram	False	False	False	False	battering_rams	3
vmp_siege_tower	vmp_siege_tower_15m	False	False	False	False	15m_siege _towers	6
wef_batteringram	wef_battering_ram	False	False	False	False	battering_rams	3
wef_siege_tower	wef_siege_tower_15m	False	False	False	False	15m_siege _towers	6
nor_batteringram	nor_battering_ram	False	False	False	False	battering_rams	3
nor_siege_tower	nor_siege_tower_15m	False	False	False	False	15m_siege _towers	6
