mp_force_gen_template_junctions_tables
7
budget_key	unknown1	unknown2	unknown3	unknown4
default	default	False	land_ambush	default
default	default	False	land_bridge	default
default	default	False	land_normal	default
default	default	False	settlement_standard	default
default	default	False	settlement_unfortified	default
default	default	False	underground_intercept	default
default	default	True	land_ambush	default
default	default	True	land_bridge	default
default	default	True	land_normal	default
default	default	True	settlement_standard	default
default	default	True	settlement_unfortified	default
default	default	True	underground_intercept	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	False	land_ambush	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	False	land_bridge	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	False	land_normal	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_siege_attack	False	settlement_standard	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	False	settlement_unfortified	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	False	underground_intercept	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	True	land_ambush	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	True	land_bridge	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	True	land_normal	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_siege_defence	True	settlement_standard	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	True	settlement_unfortified	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	True	underground_intercept	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	False	land_ambush	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	False	land_bridge	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	False	land_normal	default
wh_mp_force_gen_border_princes	WH_mp_TEB_siege_attack	False	settlement_standard	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	False	settlement_unfortified	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	False	underground_intercept	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	True	land_ambush	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	True	land_bridge	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	True	land_normal	default
wh_mp_force_gen_border_princes	WH_mp_TEB_siege_defence	True	settlement_standard	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	True	settlement_unfortified	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	True	underground_intercept	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	False	land_ambush	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	False	land_bridge	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	False	land_normal	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_siege_attack	False	settlement_standard	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	False	settlement_unfortified	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	False	underground_intercept	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	True	land_ambush	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	True	land_bridge	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	True	land_normal	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_siege_defence	True	settlement_standard	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	True	settlement_unfortified	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	True	underground_intercept	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	False	land_ambush	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	False	land_bridge	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	False	land_normal	default
wh_mp_force_gen_chaos	WH_mp_Chaos_siege_attack	False	settlement_standard	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	False	settlement_unfortified	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	False	underground_intercept	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	True	land_ambush	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	True	land_bridge	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	True	land_normal	default
wh_mp_force_gen_chaos	WH_mp_Chaos_siege_defence	True	settlement_standard	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	True	settlement_unfortified	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	True	underground_intercept	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	False	land_ambush	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	False	land_bridge	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	False	land_normal	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_siege_attack	False	settlement_standard	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	False	settlement_unfortified	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	False	underground_intercept	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	True	land_ambush	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	True	land_bridge	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	True	land_normal	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_siege_defence	True	settlement_standard	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	True	settlement_unfortified	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	True	underground_intercept	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	False	land_ambush	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	False	land_bridge	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	False	land_normal	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_siege_attack	False	settlement_standard	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	False	settlement_unfortified	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	False	underground_intercept	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	True	land_ambush	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	True	land_bridge	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	True	land_normal	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_siege_defence	True	settlement_standard	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	True	settlement_unfortified	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	True	underground_intercept	default
wh_mp_force_gen_empire	WH_mp_Empire_land	False	land_ambush	default
wh_mp_force_gen_empire	WH_mp_Empire_land	False	land_bridge	default
wh_mp_force_gen_empire	WH_mp_Empire_land	False	land_normal	default
wh_mp_force_gen_empire	WH_mp_Empire_siege_attack	False	settlement_standard	default
wh_mp_force_gen_empire	WH_mp_Empire_land	False	settlement_unfortified	default
wh_mp_force_gen_empire	WH_mp_Empire_land	False	underground_intercept	default
wh_mp_force_gen_empire	WH_mp_Empire_land	True	land_ambush	default
wh_mp_force_gen_empire	WH_mp_Empire_land	True	land_bridge	default
wh_mp_force_gen_empire	WH_mp_Empire_land	True	land_normal	default
wh_mp_force_gen_empire	WH_mp_Empire_siege_defence	True	settlement_standard	default
wh_mp_force_gen_empire	WH_mp_Empire_land	True	settlement_unfortified	default
wh_mp_force_gen_empire	WH_mp_Empire_land	True	underground_intercept	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	False	land_ambush	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	False	land_bridge	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	False	land_normal	default
wh_mp_force_gen_estalia	WH_mp_TEB_siege_attack	False	settlement_standard	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	False	settlement_unfortified	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	False	underground_intercept	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	True	land_ambush	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	True	land_bridge	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	True	land_normal	default
wh_mp_force_gen_estalia	WH_mp_TEB_siege_defence	True	settlement_standard	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	True	settlement_unfortified	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	True	underground_intercept	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	False	land_ambush	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	False	land_bridge	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	False	land_normal	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_siege_attack	False	settlement_standard	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	False	settlement_unfortified	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	False	underground_intercept	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	True	land_ambush	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	True	land_bridge	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	True	land_normal	default
