campaign_bonus_value_battle_context_culture_junctions_tables
0
battle_context_key	culture_key
fighting_battle_type_siege_subterranean	wh_main_dwf_dwarfs
fighting_battle_type_siege_subterranean	wh_main_grn_greenskins
fighting_culture_any_elves	wh2_main_def_dark_elves
fighting_culture_any_elves	wh2_main_hef_high_elves
fighting_culture_any_elves	wh_dlc05_wef_wood_elves
fighting_culture_beastmen	wh_dlc03_bst_beastmen
fighting_culture_chaos	wh_main_chs_chaos
fighting_culture_darkelf	wh2_main_def_dark_elves
fighting_culture_dwarfs_greenskins	wh_main_dwf_dwarfs
fighting_culture_dwarfs_greenskins	wh_main_grn_greenskins
fighting_culture_dwarfs	wh_main_dwf_dwarfs
fighting_culture_empire_and_bretonnia	wh_main_brt_bretonnia
fighting_culture_empire_and_bretonnia	wh_main_emp_empire
fighting_culture_forces_of_destruction	wh2_main_def_dark_elves
fighting_culture_forces_of_destruction	wh2_main_skv_skaven
fighting_culture_forces_of_destruction	wh_dlc03_bst_beastmen
fighting_culture_forces_of_destruction	wh_main_chs_chaos
fighting_culture_forces_of_destruction	wh_main_grn_greenskins
fighting_culture_forces_of_order	wh2_main_hef_high_elves
fighting_culture_forces_of_order	wh2_main_lzd_lizardmen
fighting_culture_forces_of_order	wh_main_brt_bretonnia
fighting_culture_forces_of_order	wh_main_dwf_dwarfs
fighting_culture_forces_of_order	wh_main_emp_empire
fighting_culture_forces_of_order	wh_main_grn_greenskins
fighting_culture_greenskins	wh_main_grn_greenskins
fighting_culture_highelf	wh2_main_hef_high_elves
fighting_culture_lizardmen	wh2_main_lzd_lizardmen
fighting_culture_rogue_armies	wh2_main_rogue
fighting_culture_skaven	wh2_main_skv_skaven
fighting_culture_vampire_counts	wh_main_vmp_vampire_counts
fighting_culture_wood_elves	wh_dlc05_wef_wood_elves
