character_skill_level_details_tables
0
unknown	unknown2	image_path	level	skill_key	unknown6	unlocked_at_rank
		x	1	green_knight_1		0
		x	1	green_knight_2		0
		x	1	green_knight_3		0
		x	1	green_knight_4		0
		x	1	green_knight_5		0
		x	1	green_knight_6		0
		x	1	green_knight_7		0
		x	1	green_knight_8		0
		x	1	green_knight_9		0
		x	1	green_knight_10		0
		x	1	green_knight_11		0
		x	1	green_knight_12		0
		x	1	green_knight_13		0
		x	1	green_knight_14		0
		x	1	green_knight_15		0
		x	1	green_knight_16		0
		x	1	green_knight_17		0
		x	1	green_knight_18		0
		x	1	green_knight_19		0
		x	1	green_knight_20		0
