character_skill_node_sets_tables
2
agent_key	campaign_key	faction_key	key	subculture	for_army	for_navy	agent_subtype_key
champion			wh2_main_skill_node_set_chs_exalted_hero		False	False	chs_exalted_hero
general			wh2_main_skill_node_set_def_black_ark		False	False	wh2_main_def_black_ark
dignitary			wh2_main_skill_node_set_def_death_hag		False	False	wh2_main_def_death_hag
general			wh2_main_skill_node_set_def_dreadlord		False	False	wh2_main_def_dreadlord
general			wh2_main_skill_node_set_def_dreadlord_fem		False	False	wh2_main_def_dreadlord_fem
spy			wh2_main_skill_node_set_def_khainite_assassin		False	False	wh2_main_def_khainite_assassin
general			wh2_main_skill_node_set_def_malekith		False	False	wh2_main_def_malekith
general			wh2_main_skill_node_set_def_morathi		False	False	wh2_main_def_morathi
wizard			wh2_main_skill_node_set_def_sorceress_dark		False	False	wh2_main_def_sorceress_dark
wizard			wh2_main_skill_node_set_def_sorceress_fire		False	False	wh2_main_def_sorceress_fire
wizard			wh2_main_skill_node_set_def_sorceress_shadow		False	False	wh2_main_def_sorceress_shadow
champion			wh2_main_skill_node_set_dwf_thane		False	False	dwf_thane
champion			wh2_main_skill_node_set_emp_captain		False	False	emp_captain
dignitary			wh2_main_skill_node_set_emp_warrior_priest		False	False	emp_warrior_priest
spy			wh2_main_skill_node_set_emp_witch_hunter		False	False	emp_witch_hunter
spy			wh2_main_skill_node_set_grn_goblin_big_boss		False	False	grn_goblin_big_boss
runesmith			wh2_main_skill_node_set_hef_loremaster_of_hoeth		False	False	wh2_main_hef_loremaster_of_hoeth
wizard			wh2_main_skill_node_set_hef_mage_high		False	False	wh2_main_hef_mage_high
wizard			wh2_main_skill_node_set_hef_mage_life		False	False	wh2_main_hef_mage_life
wizard			wh2_main_skill_node_set_hef_mage_light		False	False	wh2_main_hef_mage_light
champion			wh2_main_skill_node_set_hef_noble		False	False	wh2_main_hef_noble
general			wh2_main_skill_node_set_hef_prince		False	False	wh2_main_hef_prince
general			wh2_main_skill_node_set_hef_prince_alastar		False	False	wh2_main_hef_prince_alastar
general			wh2_main_skill_node_set_hef_princess		False	False	wh2_main_hef_princess
general			wh2_main_skill_node_set_hef_teclis		False	False	wh2_main_hef_teclis
general			wh2_main_skill_node_set_hef_tyrion		False	False	wh2_main_hef_tyrion
champion			wh2_main_skill_node_set_ksl_captain		False	False	ksl_captain
general			wh2_main_skill_node_set_lzd_kroq_gar		False	False	wh2_main_lzd_kroq_gar
general			wh2_main_skill_node_set_lzd_lord_mazdamundi		False	False	wh2_main_lzd_lord_mazdamundi
general			wh2_main_skill_node_set_lzd_saurus_old_blood		False	False	wh2_main_lzd_saurus_old_blood
champion			wh2_main_skill_node_set_lzd_saurus_scar_veteran		False	False	wh2_main_lzd_saurus_scar_veteran
spy			wh2_main_skill_node_set_lzd_skink_chief		False	False	wh2_main_lzd_skink_chief
wizard			wh2_main_skill_node_set_lzd_skink_priest_beasts		False	False	wh2_main_lzd_skink_priest_beasts
wizard			wh2_main_skill_node_set_lzd_skink_priest_heavens		False	False	wh2_main_lzd_skink_priest_heavens
general			wh2_main_skill_node_set_lzd_slann_mage_priest		False	False	wh2_main_lzd_slann_mage_priest
spy			wh2_main_skill_node_set_skv_assassin		False	False	wh2_main_skv_assassin
general			wh2_main_skill_node_set_skv_grey_seer_plague		False	False	wh2_main_skv_grey_seer_plague
general			wh2_main_skill_node_set_skv_grey_seer_ruin		False	False	wh2_main_skv_grey_seer_ruin
general			wh2_main_skill_node_set_skv_lord_skrolk		False	False	wh2_main_skv_lord_skrolk
wizard			wh2_main_skill_node_set_skv_plague_priest		False	False	wh2_main_skv_plague_priest
wizard			wh2_main_skill_node_set_skv_plague_priest_ritual		False	False	wh2_main_skv_plague_priest_ritual
general			wh2_main_skill_node_set_skv_queek_headtaker		False	False	wh2_main_skv_queek_headtaker
engineer			wh2_main_skill_node_set_skv_warlock_engineer		False	False	wh2_main_skv_warlock_engineer
engineer			wh2_main_skill_node_set_skv_warlock_engineer_ritual		False	False	wh2_main_skv_warlock_engineer_ritual
general			wh2_main_skill_node_set_skv_warlord		False	False	wh2_main_skv_warlord
champion			wh2_main_skill_node_set_teb_captain		False	False	teb_captain
spy			wh2_main_skill_node_set_vmp_banshee		False	False	vmp_banshee
champion			wh2_main_skill_node_set_vmp_wight_king		False	False	vmp_wight_king
general			wh_dlc03_skill_node_set_bst_beastlord		False	False	dlc03_bst_beastlord
wizard			wh_dlc03_skill_node_set_bst_bray_shaman_beast		False	False	dlc03_bst_bray_shaman_beasts
wizard			wh_dlc03_skill_node_set_bst_bray_shaman_death		False	False	dlc03_bst_bray_shaman_death
wizard			wh_dlc03_skill_node_set_bst_bray_shaman_shadows		False	False	dlc03_bst_bray_shaman_shadows
wizard			wh_dlc03_skill_node_set_bst_bray_shaman_wild		False	False	dlc03_bst_bray_shaman_wild
champion			wh_dlc03_skill_node_set_bst_gorebull		False	False	dlc03_bst_gorebull
general			wh_dlc03_skill_node_set_bst_khazrak		False	False	dlc03_bst_khazrak
general			wh_dlc03_skill_node_set_bst_malagor		False	False	dlc03_bst_malagor
general			wh_dlc03_skill_node_set_bst_morghur		False	False	dlc05_bst_morghur
wizard			wh_dlc03_skill_node_set_emp_amber_wizard		False	False	dlc03_emp_amber_wizard
general			wh_dlc03_skill_node_set_emp_boris_todbringer		False	False	dlc03_emp_boris_todbringer
general			wh_dlc04_skill_node_set_emp_arch_lector		False	False	dlc04_emp_arch_lector
general			wh_dlc04_skill_node_set_emp_volkmar		False	False	dlc04_emp_volkmar
general			wh_dlc04_skill_node_set_vmp_helman_ghorst		False	False	dlc04_vmp_helman_ghorst
general			wh_dlc04_skill_node_set_vmp_strigoi_ghoul_king		False	False	dlc04_vmp_strigoi_ghoul_king
general			wh_dlc04_skill_node_set_vmp_vlad_von_carstein		False	False	dlc04_vmp_vlad_con_carstein
wizard			wh_dlc05_skill_node_set_grey_wizard		False	False	dlc05_emp_grey_wizard
wizard			wh_dlc05_skill_node_set_jade_wizard		False	False	dlc05_emp_jade_wizard
general			wh_dlc05_skill_node_set_vmp_red_duke		False	False	wh_dlc05_vmp_red_duke
dignitary			wh_dlc05_skill_node_set_vmp_vampire_shadow		False	False	wh_dlc05_vmp_vampire_shadow
general			wh_dlc05_skill_node_set_wef_ancient_treeman		False	False	dlc05_wef_ancient_treeman
champion			wh_dlc05_skill_node_set_wef_branchwraith		False	False	wh_dlc05_wef_branchwraith
general			wh_dlc05_skill_node_set_wef_durthu		False	False	dlc05_wef_durthu
general			wh_dlc05_skill_node_set_wef_glade_lord		False	False	dlc05_wef_glade_lord
general			wh_dlc05_skill_node_set_wef_glade_lord_fem		False	False	dlc05_wef_glade_lord_fem
general			wh_dlc05_skill_node_set_wef_orion		False	False	dlc05_wef_orion
wizard			wh_dlc05_skill_node_set_wef_spellsinger_beasts		False	False	dlc05_wef_spellsinger_beasts
