campaign_map_settlements_tables
4
settlement_id	region	unknown2
settlement:wh2_main_aghol_wastelands_fortress_of_the_damned	climate_chaotic	0
settlement:wh2_main_aghol_wastelands_palace_of_princes	climate_chaotic	0
settlement:wh2_main_aghol_wastelands_the_palace_of_ruin	climate_chaotic	0
settlement:wh2_main_ash_river_numas	climate_desert	0
settlement:wh2_main_ash_river_quatar	climate_desert	0
settlement:wh2_main_ash_river_springs_of_eternal_life	climate_desert	0
settlement:wh2_main_atalan_mountains_eye_of_the_panther	climate_mountain	0
settlement:wh2_main_atalan_mountains_martek	climate_mountain	0
settlement:wh2_main_atalan_mountains_vulture_mountain	climate_mountain	0
settlement:wh2_main_avelorn_evershale	climate_island	0
settlement:wh2_main_avelorn_gaean_vale	climate_magicforest	0
settlement:wh2_main_avelorn_tor_saroir	climate_island	0
settlement:wh2_main_blackspine_mountains_plain_of_dogs	climate_wasteland	0
settlement:wh2_main_blackspine_mountains_plain_of_spiders	climate_wasteland	0
settlement:wh2_main_blackspine_mountains_red_desert	climate_desert	0
settlement:wh2_main_caledor_tor_sethai	climate_island	0
settlement:wh2_main_caledor_vauls_anvil	climate_island	0
settlement:wh2_main_charnel_valley_granite_massif	climate_mountain	0
settlement:wh2_main_charnel_valley_karag_orrud	climate_mountain	0
settlement:wh2_main_chrace_elisia	climate_island	0
settlement:wh2_main_chrace_tor_achare	climate_island	0
settlement:wh2_main_coast_of_araby_al_haikk	climate_desert	0
settlement:wh2_main_coast_of_araby_copher	climate_desert	0
settlement:wh2_main_coast_of_araby_fyrus	climate_desert	0
settlement:wh2_main_cothique_mistnar	climate_island	0
settlement:wh2_main_cothique_tor_koruali	climate_island	0
settlement:wh2_main_crater_of_the_walking_dead_doom_glade	climate_desert	0
settlement:wh2_main_crater_of_the_walking_dead_rasetra	climate_desert	0
settlement:wh2_main_deadwood_dargoth	climate_frozen	0
settlement:wh2_main_deadwood_nagrar	climate_frozen	0
settlement:wh2_main_deadwood_shagrath	climate_frozen	0
settlement:wh2_main_deadwood_the_frozen_city	climate_frozen	0
settlement:wh2_main_devils_backbone_lahmia	climate_desert	0
settlement:wh2_main_devils_backbone_lybaras	climate_desert	0
settlement:wh2_main_devils_backbone_mahrak	climate_desert	0
settlement:wh2_main_doom_glades_hag_hall	climate_frozen	0
settlement:wh2_main_doom_glades_ice_rock_gorge	climate_frozen	0
settlement:wh2_main_doom_glades_temple_of_addaioth	climate_frozen	0
settlement:wh2_main_doom_glades_vauls_anvil	climate_frozen	0
settlement:wh2_main_eagle_gate	climate_island	0
settlement:wh2_main_eataine_angerrial	climate_island	0
settlement:wh2_main_eataine_lothern	climate_island	0
settlement:wh2_main_eataine_shrine_of_asuryan	climate_island	0
settlement:wh2_main_eataine_tower_of_lysean	climate_island	0
settlement:wh2_main_ellyrion_tor_elyr	climate_island	0
settlement:wh2_main_ellyrion_whitefire_tor	climate_island	0
settlement:wh2_main_great_desert_of_araby_bel_aliad	climate_desert	0
settlement:wh2_main_great_desert_of_araby_black_tower_of_arkhan	climate_desert	0
settlement:wh2_main_great_desert_of_araby_el-kalabad	climate_desert	0
settlement:wh2_main_great_desert_of_araby_pools_of_despair	climate_desert	0
settlement:wh2_main_griffon_gate	climate_island	0
settlement:wh2_main_headhunters_jungle_mangrove_coast	climate_jungle	0
settlement:wh2_main_headhunters_jungle_marks_of_the_old_ones	climate_jungle	0
settlement:wh2_main_headhunters_jungle_oyxl	climate_jungle	0
settlement:wh2_main_hell_pit_hell_pit	climate_wasteland	0
settlement:wh2_main_huahuan_desert_chamber_of_visions	climate_desert	0
settlement:wh2_main_huahuan_desert_sentinels_of_xeti	climate_desert	0
settlement:wh2_main_huahuan_desert_the_golden_colossus	climate_desert	0
