diplomacy_negotiation_string_options_tables
4
key	culture	unknown2	unknown3
accept	CHAOS_Arc_Dip_Acceptance_Neutral_01	0	diplomacy_Faction_Archaon
accept	CHAOS_Arc_Dip_Acceptance_Negative_01	0	diplomacy_Faction_Archaon_&_Negative
accept	CHAOS_Arc_Dip_Acceptance_Neutral_01	0	diplomacy_Faction_Archaon_&_OtherFactionBretonnia
accept	CHAOS_Arc_Dip_Acceptance_Negative_01	0	diplomacy_Faction_Archaon_&_OtherFactionBretonnia_&_Negative
accept	CHAOS_Arc_Dip_Acceptance_Positive_01	0	diplomacy_Faction_Archaon_&_OtherFactionBretonnia_&_Positive
accept	CHAOS_Arc_Dip_Acceptance_Neutral_01	0	diplomacy_Faction_Archaon_&_OtherFactionChaos
accept	CHAOS_Arc_Dip_Acceptance_Negative_01	0	diplomacy_Faction_Archaon_&_OtherFactionChaos_&_Negative
accept	CHAOS_Arc_Dip_Acceptance_Positive_01	0	diplomacy_Faction_Archaon_&_OtherFactionChaos_&_Positive
accept	CHAOS_Arc_Dip_Acceptance_Neutral_01	0	diplomacy_Faction_Archaon_&_OtherFactionDwarf
accept	CHAOS_Arc_Dip_Acceptance_Negative_01	0	diplomacy_Faction_Archaon_&_OtherFactionDwarf_&_Negative
accept	CHAOS_Arc_Dip_Acceptance_Positive_01	0	diplomacy_Faction_Archaon_&_OtherFactionDwarf_&_Positive
accept	CHAOS_Arc_Dip_Acceptance_Neutral_01	0	diplomacy_Faction_Archaon_&_OtherFactionEmpire
accept	CHAOS_Arc_Dip_Acceptance_Negative_01	0	diplomacy_Faction_Archaon_&_OtherFactionEmpire_&_Negative
accept	CHAOS_Arc_Dip_Acceptance_Positive_01	0	diplomacy_Faction_Archaon_&_OtherFactionEmpire_&_Positive
accept	CHAOS_Arc_Dip_Acceptance_Neutral_01	0	diplomacy_Faction_Archaon_&_OtherFactionGreenskin
accept	CHAOS_Arc_Dip_Acceptance_Negative_01	0	diplomacy_Faction_Archaon_&_OtherFactionGreenskin_&_Negative
accept	CHAOS_Arc_Dip_Acceptance_Positive_01	0	diplomacy_Faction_Archaon_&_OtherFactionGreenskin_&_Positive
accept	CHAOS_Arc_Dip_Acceptance_Neutral_01	0	diplomacy_Faction_Archaon_&_OtherFactionVamp
accept	CHAOS_Arc_Dip_Acceptance_Negative_01	0	diplomacy_Faction_Archaon_&_OtherFactionVamp_&_Negative
accept	CHAOS_Arc_Dip_Acceptance_Positive_01	0	diplomacy_Faction_Archaon_&_OtherFactionVamp_&_Positive
accept	CHAOS_Arc_Dip_Acceptance_Positive_01	0	diplomacy_Faction_Archaon_&_Positive
accept	ORC_Grim_Dip_Acceptance_Neutral_01	0	diplomacy_Faction_Grimgor
accept	ORC_Grim_Dip_Acceptance_Negative_01	0	diplomacy_Faction_Grimgor_&_Negative
accept	ORC_Grim_Dip_Acceptance_Neutral_01	0	diplomacy_Faction_Grimgor_&_OtherFactionBretonnia
accept	ORC_Grim_Dip_Acceptance_Negative_01	0	diplomacy_Faction_Grimgor_&_OtherFactionBretonnia_&_Negative
