warscape_animated_lod_tables
1
key	filename	unknown	unknown4	unknown5	animated
-1059578823	RigidModels\campaign\trade_models\camel_trader01_anim.rigid_model_v2		False	False	campaign_trader_villager
-1631058337	RigidModels\Naval\Variant\oar_R_raise_anim.rigid_model_v2		False	False	oar_R_anim_raise
-1683851084	RigidModels\Naval\Variant\oar_R_lower_anim.rigid_model_v2		False	False	oar_R_anim_lower
-1855534954	RigidModels\Naval\Variant\oar_L_lower_anim.rigid_model_v2		False	False	oar_L_anim_lower
-1910630381	RigidModels\CampaignTradeRoutes\trade_camel_lead.rigid_model_animation		False	False	trade_camel_lead
103113809	warmachines\chariot\hef_tiranoc_chariot\hef_tiranoc_chariot01_destruct.rigid_model_v2		False	False	hef_tiranoc_chariot_destruct
1173720424	warmachines\chariot\lzd_slann_platform\lzd_mazdamundi_01_destruct.wsmodel		False	False	lzd_mazdamundi_palanquin_destruct
1192635548	RigidModels/3DIndicators/target_marker.rigid_model_animation		False	False	target_marker
1208454631	RigidModels/CampaignPieces/campaign_ship_model_2.animatable_rigid_model		False	False	campaign_ship2
1214560264	RigidModels\campaign\trade_models\sea_trade_anim.rigid_model_v2		False	False	campaign_trader_trade_ship
1219078168	RigidModels\campaign\trade_models\camel_trader01_anim.rigid_model_v2		False	False	campaign_trader_trade_cart
1229678891	RigidModels\Naval\Variant\oar_L_loop_anim.rigid_model_v2		False	False	oar_L_anim_loop
1230050569	RigidModels\Naval\Variant\oar_L_raise_anim.rigid_model_v2		False	False	oar_L_anim_raise
1251984794	RigidModels\CampaignTradeRoutes\trade_camel.rigid_model_animation		False	False	trade_camel
1451105936	RigidModels\Naval\Variant\oar_R_loop_anim.rigid_model_v2		False	False	oar_R_anim_loop
1529656816	warmachines/engines/hef_eagleclaw_bolt_thrower/hef_eagleclaw_bolt_thrower_01_destruct.rigid_model_v2		False	False	hef_eagle_claw_bolt_thrower_destruct
2146654967	RigidModels\CampaignBuildings\Building_Siegeicon\icon_under_siege_anim.rigid_model_v2		False	False	campaign_building_siege
2146654983	RigidModels/CampaignBuildings//campaign_building_placeholder1_anim.rigid_model_v2		False	False	campaign_building_placeholder1_anim
2146655425	RigidModels/artillery_and_siege/ballista30d_50p/ballista30d_50p.rigid_model_v2		False	False	rome_ballista_medium
2146655435	RigidModels/artillery_and_siege/onager/onager.rigid_model_v2		False	False	rome_onager
2146655477	RigidModels/artillery_and_siege/ballista30d_100p/ballista30d_100p.rigid_model_v2		False	False	rome_ballista_giant
2146655484	RigidModels/artillery_and_siege/polybolos/polybolos.rigid_model_v2		False	False	rome_polybolos
2146655488	RigidModels/artillery_and_siege/scorpio/scorpio.rigid_model_v2		False	False	rome_scorpio
2146655492	RigidModels/artillery_and_siege/fire_raiser/fire_raiser.rigid_model_v2		False	False	rome_fireraiser
2146655493	RigidModels/artillery_and_siege/battering_ram_heavy/battering_ram_heavy.rigid_model_v2		False	False	rome_battering_ram_heavy
2146655500	RigidModels/artillery_and_siege/battering_ram_light/battering_ram_light.rigid_model_v2		False	False	rome_battering_ram_light
2146655503	RigidModels/artillery_and_siege/battering_ram_medium/battering_ram_medium.rigid_model_v2		False	False	rome_battering_ram_medium
2146655507	RigidModels/artillery_and_siege/ballista30d_50p/ballista30d_50p_destruction_anim.rigid_model_v2		False	False	rome_ballista_medium_destruction_anim
2146655512	RigidModels/artillery_and_siege/ballista30d_50p_ship/ballista30d_50p_ship.rigid_model_v2		False	False	rome_ballista_medium_ship
2146655516	RigidModels/artillery_and_siege/ballista30d_50p_ship/ballista30d_50p_ship_destruction_anim.rigid_model_v2		False	False	rome_ballista_medium_ship_destruction_anim
2146655519	RigidModels/artillery_and_siege/onager/onager_destruction_anim.rigid_model_v2		False	False	rome_onager_destruction_anim
2146655528	RigidModels/artillery_and_siege/onager_ship/onager_ship.rigid_model_v2		False	False	rome_onager_ship
2146655537	RigidModels/artillery_and_siege/onager_ship/onager_ship_destruction_anim.rigid_model_v2		False	False	rome_onager_ship_destruction_anim
2146655546	RigidModels/artillery_and_siege/scorpio/scorpio_destruction_anim.rigid_model_v2		False	False	rome_scorpio_destruction_anim
2146655550	RigidModels/artillery_and_siege/polybolos/polybolos_destruction_anim.rigid_model_v2		False	False	rome_polybolos_destruction_anim
2146655554	RigidModels/artillery_and_siege/cherioballistra/cherioballistra.rigid_model_v2		False	False	rome_cheiroballistra
2146655555	RigidModels/artillery_and_siege/cherioballistra/cherioballistra_destruction_anim.rigid_model_v2		False	False	rome_cheiroballistra_destruction_anim
