campaign_map_regions_tables
0
campaign_map	region
warhammer_map_1_1_wood_elves	wh2_main_aghol_wastelands_fortress_of_the_damned
warhammer_map_1_1_wood_elves	wh2_main_aghol_wastelands_palace_of_princes
warhammer_map_1_1_wood_elves	wh2_main_aghol_wastelands_the_palace_of_ruin
warhammer_map_1_1_wood_elves	wh2_main_ash_river_numas
warhammer_map_1_1_wood_elves	wh2_main_ash_river_quatar
warhammer_map_1_1_wood_elves	wh2_main_ash_river_springs_of_eternal_life
warhammer_map_1_1_wood_elves	wh2_main_atalan_mountains_eye_of_the_panther
warhammer_map_1_1_wood_elves	wh2_main_atalan_mountains_martek
warhammer_map_1_1_wood_elves	wh2_main_atalan_mountains_vulture_mountain
warhammer_map_1_1_wood_elves	wh2_main_avelorn_evershale
warhammer_map_1_1_wood_elves	wh2_main_avelorn_gaean_vale
warhammer_map_1_1_wood_elves	wh2_main_avelorn_tor_saroir
warhammer_map_1_1_wood_elves	wh2_main_blackspine_mountains_plain_of_dogs
warhammer_map_1_1_wood_elves	wh2_main_blackspine_mountains_plain_of_spiders
warhammer_map_1_1_wood_elves	wh2_main_blackspine_mountains_red_desert
warhammer_map_1_1_wood_elves	wh2_main_caledor_tor_sethai
warhammer_map_1_1_wood_elves	wh2_main_caledor_vauls_anvil
warhammer_map_1_1_wood_elves	wh2_main_charnel_valley_granite_massif
warhammer_map_1_1_wood_elves	wh2_main_charnel_valley_karag_orrud
warhammer_map_1_1_wood_elves	wh2_main_chrace_elisia
warhammer_map_1_1_wood_elves	wh2_main_chrace_tor_achare
warhammer_map_1_1_wood_elves	wh2_main_coast_of_araby_al_haikk
warhammer_map_1_1_wood_elves	wh2_main_coast_of_araby_copher
warhammer_map_1_1_wood_elves	wh2_main_coast_of_araby_fyrus
warhammer_map_1_1_wood_elves	wh2_main_cothique_mistnar
warhammer_map_1_1_wood_elves	wh2_main_cothique_tor_koruali
warhammer_map_1_1_wood_elves	wh2_main_crater_of_the_walking_dead_doom_glade
warhammer_map_1_1_wood_elves	wh2_main_crater_of_the_walking_dead_rasetra
warhammer_map_1_1_wood_elves	wh2_main_deadwood_dargoth
warhammer_map_1_1_wood_elves	wh2_main_deadwood_nagrar
warhammer_map_1_1_wood_elves	wh2_main_deadwood_shagrath
warhammer_map_1_1_wood_elves	wh2_main_deadwood_the_frozen_city
warhammer_map_1_1_wood_elves	wh2_main_devils_backbone_lahmia
warhammer_map_1_1_wood_elves	wh2_main_devils_backbone_lybaras
warhammer_map_1_1_wood_elves	wh2_main_devils_backbone_mahrak
