battle_catchment_override_areas_tables
0
unknown0	unknown1	unknown2	unknown3
Gatekeeper	0	0	0
altar_of_ultimate_darkness	255	143	21
arnheim	216	67	164
caverns_of_the_great_bat	64	124	103
fallen_gates	143	182	131
gouger_gully	43	85	191
isle_of_the_crimson_skull	73	67	194
mortuary_of_tzulaqua	94	216	167
mosquito_swamps	131	249	103
tower_of_hoeth	255	152	94
vauls_anvil	243	213	103
warp_shard_caverns	97	134	21
wh2_def_bleak_forest	82	128	61
wh2_def_bleak_main	109	185	194
wh2_def_coast	94	209	252
wh2_def_dense_forest	0	94	36
wh2_def_desert	127	197	228
wh2_def_forest	70	76	67
wh2_def_grassland	0	134	115
wh2_def_hills	137	160	47
wh2_def_mountains	20	20	20
wh2_def_petrified_coast	73	103	149
wh2_def_petrified_forest	73	109	100
wh2_def_petrified_main	58	67	118
wh2_def_plains	100	100	150
wh2_def_red_desert_coast	94	85	255
wh2_def_red_desert_main	49	46	197
wh2_def_tutorial_battle	255	255	0
wh2_hef_tutorial_battle	255	0	255
wh2_lustria_and_southlands_jungle	0	155	73
wh2_lustria_and_southlands_mountains	100	131	150
wh2_lustria_and_southlands_plains	100	191	206
wh2_lustria_and_southlands_swamps	100	94	39
wh2_lustria_coast	115	234	252
wh2_lustria_desert	127	179	228
wh2_lzd_tutorial_battle	0	255	255
wh2_main_chokepoint_badlands_chasm	243	198	29
wh2_main_chokepoint_badlands_mountain_pass	127	14	40
wh2_main_chokepoint_badlands_river	221	15	35
wh2_main_chokepoint_blood_river_valley_river	171	24	177
wh2_main_chokepoint_def_chasm	255	67	213
wh2_main_chokepoint_def_chasm_b	183	98	144
wh2_main_chokepoint_def_grassland_river	178	227	80
wh2_main_chokepoint_generic_mountain_pass	44	86	49
wh2_main_chokepoint_generic_mountain_pass_climate_hef	44	86	99
wh2_main_chokepoint_grassland_river	70	37	13
wh2_main_chokepoint_lzd_lustria_mountain_pass	34	231	228
wh2_main_chokepoint_lzd_lustria_mountain_pass_climate_stl	34	231	248
wh2_main_chokepoint_lzd_river	42	255	0
wh2_main_chokepoint_norsca_chasm	232	124	158
wh2_main_chokepoint_norsca_river	169	76	10
wh2_main_chokepoint_northern_mountain_pass	149	240	137
wh2_main_chokepoint_northern_river	29	58	105
wh2_main_chokepoint_southland_chasm	52	32	231
wh2_main_chokepoint_southland_mountain_pass	222	27	227
wh2_main_chokepoint_southland_mountain_pass_climate_lzd	222	27	247
wh2_main_chokepoint_southland_river	84	255	249
wh2_main_chokepoint_sylvania_river	52	179	220
wh2_main_chokepoint_ult_river	83	140	153
wh2_norsca_coast	222	219	203
wh2_norsca_forest	240	127	100
wh2_norsca_grassland	244	225	182
wh2_norsca_hills	210	175	84
wh2_norsca_mountains	134	20	20
wh2_norsca_tundra	234	237	222
wh2_skv_tutorial_battle	0	100	0
wh2_southlands_coast	173	219	225
wh2_southlands_desert	127	161	228
wh2_southlands_grassland	0	79	73
wh2_ulthuan_coast_inner	182	219	240
wh2_ulthuan_coast_outer	213	194	194
wh2_ulthuan_forest_inner	105	150	75
wh2_ulthuan_forest_outer	105	130	75
wh2_ulthuan_grassland_inner	240	212	165
wh2_ulthuan_grassland_outer	170	206	152
wh2_ulthuan_mountains	220	90	90
wh2_ulthuan_plains	91	128	128
wh_dlc05_main_wef_forest_areas	0	152	0
wh_dlc05_main_wef_oak_of_ages_area	0	255	0
wh_dlc05_main_wef_river_areas	255	152	0
wh_main_badlands_areas	91	124	203
wh_main_mountain_pass_areas	255	206	158
wh_main_norsca_areas	197	255	0
wh_main_vampire_areas	197	121	161
