campaign_bonus_value_battle_context_force_status_junctions_tables
0
battle_context_key	force_status_key	is_yours
fighting_force_status_theirs_besieging	beseiging	False
fighting_force_status_theirs_blockading	blockading	False
fighting_force_status_theirs_raiding_army	land	False
fighting_force_status_theirs_raiding_army	raiding	False
fighting_force_status_theirs_raiding_fleet	raiding	False
fighting_force_status_theirs_raiding_fleet	sea	False
fighting_force_status_theirs_rebels	rebels	False
fighting_force_status_yours_ambushing_ground_type_desert	ambushing	True
fighting_force_status_yours_ambushing_ground_type_forest	ambushing	True
fighting_force_status_yours_ambushing	ambushing	True
fighting_force_status_yours_attacking_at_sea	attacking	True
fighting_force_status_yours_attacking_at_sea	sea	True
fighting_force_status_yours_attacking_battle_type_break_out	attacking	True
fighting_force_status_yours_attacking_battle_type_sally_out	attacking	True
fighting_force_status_yours_attacking	attacking	True
fighting_force_status_yours_besieging	beseiging	True
fighting_force_status_yours_defending_at_sea	defending	True
fighting_force_status_yours_defending_at_sea	sea	True
fighting_force_status_yours_defending	defending	True
fighting_force_status_yours_escorting	escorting	True
fighting_territory_enemy_or_neutral_army	land	True
fighting_territory_enemy_or_neutral_navy	sea	True
fighting_territory_own_or_allied_army	land	True
fighting_territory_own_or_allied_navy	sea	True
