cursus_honorum_level_requirements_tables
1
age	level	rank	subculture_key	faction_key
0	0	2	wh_main_sc_chs_chaos	wh_main_chs_chaos
0	1	3	wh_main_sc_chs_chaos	wh_main_chs_chaos
0	2	4	wh_main_sc_chs_chaos	wh_main_chs_chaos
0	3	5	wh_main_sc_chs_chaos	wh_main_chs_chaos
0	4	6	wh_main_sc_chs_chaos	wh_main_chs_chaos
0	0	2	wh_main_sc_emp_empire	wh_main_emp_empire
0	1	3	wh_main_sc_emp_empire	wh_main_emp_empire
0	2	4	wh_main_sc_emp_empire	wh_main_emp_empire
0	3	5	wh_main_sc_emp_empire	wh_main_emp_empire
0	4	6	wh_main_sc_emp_empire	wh_main_emp_empire
0	0	2	wh_main_sc_vmp_vampire_counts	wh_main_vmp_vampire_counts
0	1	3	wh_main_sc_vmp_vampire_counts	wh_main_vmp_vampire_counts
0	2	4	wh_main_sc_vmp_vampire_counts	wh_main_vmp_vampire_counts
0	3	5	wh_main_sc_vmp_vampire_counts	wh_main_vmp_vampire_counts
0	4	6	wh_main_sc_vmp_vampire_counts	wh_main_vmp_vampire_counts
