special_ability_phase_stat_effects_tables
3
phase	value	stat	how
wh_main_unit_passive_bloodknight_regeneration	-20	stat_weakness_flame	add
wh_main_unit_passive_stormrage	1.15	stat_charge_bonus	mult
wh_main_unit_passive_stormrage	1.1	stat_melee_damage_base	mult
wh_main_unit_passive_stormrage	20	stat_resistance_all	add
wh_main_unit_passive_trollflesh	20	stat_resistance_physical	add
wh_main_unit_passive_trollflesh	-30	stat_weakness_flame	add
wh_main_unit_passive_bloodknight_regeneration	15	stat_resistance_physical	add
vmp_black_grail_regeneration	25	stat_resistance_physical	add
vmp_unit_terrorgheist_shreik	0.25	scalar_speed	mult
vmp_unit_terrorgheist_shreik	-10	stat_melee_defence	add
vmp_unit_terrorgheist_shreik	-8	stat_morale	add
we_spell_shadow_dancers_withering	-35	stat_armour	add
we_spell_shadow_dancers_withering	-10	stat_morale	add
bst_tzaangor_magic_aura	-4	stat_morale	add
bst_tzaangor_magic_aura	-15	stat_resistance_magic	add
unit_ability_leadership_boost_aura	4	stat_melee_defence	add
unit_ability_leadership_boost_aura	4	stat_morale	add
unit_ability_dwf_engineers_aura	1.15	stat_accuracy	mult
unit_ability_dwf_engineers_aura	15	stat_reloading	add
unit_ability_dwf_shieldbearer_aura	10	stat_resistance_missile	add
unit_ability_dwf_shieldbearer_aura	10	stat_resistance_physical	add
unit_ability_grn_black_orc_bellow_aura	6	stat_melee_defence	add
wh_main_lord_passive_kemmler	0.86	scalar_speed	mult
wh_main_lord_passive_kemmler	-5	stat_melee_defence	add
wh_main_unit_contact_searing_fire	-25	stat_armour	add
wh_main_unit_contact_poison_lethal	0.82	scalar_speed	mult
wh_main_unit_contact_poison_lethal	0.88	stat_melee_damage_base	mult
wh_main_lord_passive_kemmler	-5	stat_melee_attack	add
wh_main_unit_contact_poison_lethal	0.92	stat_melee_damage_ap	mult
wh_main_impetuous	2	scalar_bracing	add
wh_main_impetuous	1.2	scalar_charge_speed	mult
wh_main_impetuous	1.15	stat_charge_bonus	mult
wh_emp_last_stand	15	stat_resistance_missile	add
wh_emp_last_stand	15	stat_resistance_physical	add
wh_emp_sigmarite_aura_faith	10	stat_resistance_physical	add
wh_emp_prayer_of_binding	0.5	scalar_speed	mult
wh_emp_prayer_of_binding	-10	stat_resistance_all	add
chs_passive_regeneration	10	stat_resistance_flame	add
chs_passive_regeneration	10	stat_resistance_magic	add
chs_passive_regeneration	10	stat_resistance_physical	add
chs_zealot_dark_healing	10	stat_resistance_magic	add
chs_soul_drain	0.85	scalar_speed	mult
chs_soul_drain	-12	stat_resistance_magic	add
wh_lzd_solar	3	stat_melee_attack	add
wh_hef_dragon_prince	10	stat_morale	add
wh_hef_dragon_prince	10	stat_resistance_all	add
wh_lzd_slann	0.65	scalar_miscast_chance	mult
wh_def_dread_glory	1.2	stat_charge_bonus	mult
wh_def_dread_glory	5	stat_melee_defence	add
chs_main1	1.1	stat_melee_damage_base	mult
chs_main2	1.2	stat_melee_damage_base	mult
bst_main2	1.12	scalar_speed	mult
bst_main2	1.2	stat_charge_bonus	mult
bst_main2	8	stat_melee_attack	add
bst_main2	1.1	stat_melee_damage_base	mult
chs_main1	1.1	stat_melee_damage_ap	mult
chs_main2	1.2	stat_melee_damage_ap	mult
dwf_main1	4	stat_melee_defence	add
dwf_main2	6	stat_melee_defence	add
dwf_main1	4	stat_resistance_physical	add
dwf_main2	6	stat_resistance_physical	add
grn_main1	0.95	stat_melee_defence	mult
grn_main2	5	stat_melee_attack	add
grn_main1	1.1	stat_melee_attack	mult
dwf_main1	4	stat_resistance_missile	add
dwf_main2	6	stat_resistance_missile	add
vmp_main1	10	stat_morale	add
vmp_main1	5	stat_melee_attack	add
brt_main1	1.15	stat_melee_attack	mult
brt_main1	5	stat_resistance_physical	add
brt_main2	1.15	stat_melee_attack	mult
brt_main2	1.25	stat_charge_bonus	mult
wef_main2	10	stat_resistance_physical	add
wef_main1	1.15	scalar_speed	mult
emp_main1	1.15	stat_melee_damage_ap	mult
emp_main1	1.15	stat_charge_bonus	mult
emp_main1	15	stat_reloading	add
wef_main1	10	stat_reloading	add
wef_main1	1.1	stat_melee_damage_base	mult
wef_main2	10	stat_armour	add
wh_main_unit_passive_stormrage	1.1	stat_melee_damage_ap	mult
hef_phoenix_guard	-4	stat_melee_attack	add
hef_phoenix_guard	-4	stat_melee_defence	add
brt_main2	1.25	scalar_charge_speed	mult
grn_main1_1	0.9	stat_melee_defence	mult
grn_main1_1	1.2	stat_melee_attack	mult
grn_main1_2	0.85	stat_melee_defence	mult
grn_main1_2	1.3	stat_melee_attack	mult
unit_ability_grn_black_orc_bellow_aura	6	stat_resistance_physical	add
skv_overcharge	30	stat_reloading	add
skv_overcharge	1.3	scalar_missile_damage_ap	mult
skv_overcharge	1.3	scalar_missile_damage_base	mult
wh_main_unit_passive_stormrage	1.1	stat_melee_attack	mult
we_spell_shadow_dancers_withering	0.9	stat_melee_damage_base	mult
