missions_tables
6
generate	key	localised_description	localised_title	mission_type	ui_icon	ui_image	prioritised	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16
False	war_prelude_attack_enemy_dwarfs_1	Beheld by the enraged gaze of Grimnir, the Bloody Spearz have trespassed with impunity all over the sacred mountains. Their forces gather to the east, and must be defeated in battle before their strength is regained.	The Trespassing Greenskin Grudge	ENGAGE_FORCE	rom_event_mission.png	dwf/generic	False	Grudges		0	0	False	0		False	True
False	war_prelude_attack_enemy_empire_1	Our enemies gather to strike against us once more. Attack first, and deny them the opportunity to reach full strength.	Engage the Enemy	ENGAGE_FORCE	rom_event_mission.png	emp/generic	False	Military		0	0	False	0		False	False
False	war_prelude_attack_enemy_greenskins_1	We must defeat the Red Fang in battle before they are able to regain their strength. See that it is done.	Engage the Enemy	ENGAGE_FORCE	rom_event_mission.png	grn/generic	False	Military		0	0	False	0		False	False
False	war_prelude_attack_enemy_vampire_counts_1	The Templehof brood must be crushed in battle before they are able to regain their strength. Another victory against Van Kruger's armies will leave his lands ripe for the taking.	Engage the Enemy	ENGAGE_FORCE	rom_event_mission.png	vmp/generic	False	Military		0	0	False	0		False	False
False	war_prelude_capture_carroburg_empire_1	Boris Todbringer, the Elector Count of Middenheim, has openly declared against you. Punish him for his mistake. Claim Carroburg as your own.	Capture Grunburg	CAPTURE_REGIONS	rom_event_mission.png	emp/generic	False	Military		0	0	False	0		False	False
False	war_prelude_capture_castle_templehof_vampire_counts_1	Your sovereignty over these lands will be secured only by the destruction of Van Kruger and his kin. Castle Templehof is well-defended, but it must fall nonetheless.	Capture Castle Templehof	CAPTURE_REGIONS	rom_event_mission.png	vmp/generic	False	Military		0	0	False	0		False	False
False	war_prelude_capture_eschen_vampire_counts_1	Van Kruger has left Eschen wide open to attack. Strike now, and punish his error.	Capture Eschen	CAPTURE_REGIONS	rom_event_mission.png	vmp/generic	False	Military		0	0	False	0		False	False
False	war_prelude_capture_grunburg_empire_1	The breakaway city of Grunburg lies relatively undefended. Reclaim it to send a powerful message to all those who doubt your authority.	Capture Grunburg	CAPTURE_REGIONS	rom_event_mission.png	emp/generic	False	Military		0	0	False	0		False	False
False	war_prelude_capture_iron_rock_greenskins_1	Gorfang refuses to come out from his keep at Iron Rock. Take the fight to him and drive him from his fortress.	Capture Iron Rock	CAPTURE_REGIONS	rom_event_mission.png	grn/generic	False	Military		0	0	False	0		False	False
False	war_prelude_capture_pillars_of_grungni_dwarfs_1	Observed with disdain by Grungni and all his kin, the Bloody Spearz maintain an encampment at the Pillars from which they raid the surrounding valleys. These vermin have long outstayed their welcome in these sacred mountains. March against them, and drive them from these lands that are rightfully Dwarfen.	The Pillars of Grungni Grudge	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	False	Grudges		0	0	False	0		False	True
False	war_prelude_construct_technology_building_empire_1	Your realm abounds with patriotic men of learning. Provide the facilities, and their studies may be turned to matters of war.	Construct a Technology Building	CONSTRUCT_N_BUILDINGS_INCLUDING	rom_event_mission.png	emp/generic	False	Military		0	0	False	0		False	False
False	war_prelude_construct_technology_building_greenskins_1	Construct a Tinkerer Bench, so that the crafty Goblins that serve your cause may come up with new inventions to aid your war effort.	Construct a Technology Building	CONSTRUCT_N_BUILDINGS_INCLUDING	rom_event_mission.png	grn/generic	False	Military		0	0	False	0		False	False
False	war_prelude_research_technology_empire_1	The finest minds in Altdorf stand ready to improve your methods of war. Task them with a direction of development and reap the benefits of their research.	Research a Technology	RESEARCH_TECHNOLOGY	rom_event_mission.png	emp/generic	False	Military		0	0	False	0		False	False
False	war_prelude_research_technology_greenskins_1	Your Goblins can be put to work improving your weapons and practises. Set them on a path of development that will advance your methods of war.	Research a Technology	RESEARCH_TECHNOLOGY	rom_event_mission.png	grn/generic	False	Military		0	0	False	0		False	False
False	war_prelude_solve_public_order_dwarfs_1	Witnessed by a heartbroken Valaya, it seems that some Dawi agitate against the rightful rule of the King, despite his recent victories. Let the great book record that a lasting peace in the mountain must be achieved to ease Valaya's grief.	The Grobi Pacification Grudge	RECRUIT_UNIT	rom_event_mission.png	dwf/generic	False	Grudges		0	0	False	0		False	True
False	war_prelude_solve_public_order_empire_1	Your rule in Altdorf is not yet secure despite your successful defence of its walls. Quell the civic unrest, before it devours the city from within.	Pacify Altdorf	RECRUIT_UNIT	rom_event_mission.png	emp/generic	False	Military		0	0	False	0		False	False
False	war_prelude_solve_public_order_greenskins_1	The inhabitants of Black Crag stir against your rule. They must be pacified if you are to secure the fortress in the long term.	Pacify Black Crag	RECRUIT_UNIT	rom_event_mission.png	grn/generic	False	Military		0	0	False	0		False	False
False	war_prelude_solve_public_order_vampire_counts_1	There remain some within Drakenhof that would agitate against your retaking of the citadel. They must be subdued if your conquests are to be unimpeded.	Pacify Castle Drakenhof	RECRUIT_UNIT	rom_event_mission.png	vmp/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_circlet_of_iron_stage_1	The Great Vortex falters. It is vulnerable and the Witch King seeks to take advantage - to enter and channel its energies - to wrest the power of Chaos from the Gods themselves! Before Malekith can do this, he must imbue the Circlet of Iron - an ancient band older than the Elves - with an unholy crux.\n\nWhile Malekith knows that a crux is needed before he can enter the Vortex, frustratingly, he lacks knowledge of this arcane boon's location. He must consult an oracle, kept by the Sorceresses, and their services do not come cheap, even if you are the Witch King.	Circlet of Iron	CAPTURE_X_BATTLE_CAPTIVES	rom_event_mission.png	bst/generic	True	Quest		0	0	True	0	2140784854	False	False
False	wh2_main_def_malekith_circlet_of_iron_stage_2	“North” answer the Hags, trying the Witch King’s patience, for the northern borders of Naggaroth are vast. He demands a more specific location with a threat that Ghrond will burn if a satisfactory answer is not given. The Death Hags look unmoved - they know that Ghrond is Morathi’s city, and that her son would not risk her wrath. Perhaps they do not know the Witch King?	Circlet of Iron	OCCUPY_LOOT_RAZE_OR_SACK_X_SETTLEMENTS	rom_event_mission.png	bst/generic	True	Quest		0	0	True	0	2140784854	False	False
False	wh2_main_def_malekith_circlet_of_iron_stage_3	Following a display of Malekith’s temper, the Death Hags are suddenly more forthcoming. Malekith must indeed travel northwards, to the Altar of Ultimate Darkness - a shrine of pure Chaos. The power residing within the altar must be absorbed by the Circlet of Iron, before it can, ironically, be used against the Chaos Gods should Malekith step into the Vortex and take dominion.	Circlet of Iron	FIGHT_SET_PIECE_BATTLE	rom_event_mission.png	bst/generic	True	Quest	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness	13	500	True	10	2140784854	True	False
False	wh2_main_def_malekith_destroyer_stage_1	Destroyer was forged by the Witch King himself, as a symbol of his determination to rid the world of High Elven kin. The touch of the Destroyer is especially potent against mages. It is a momentous piece of weapon-smithing and yet it has never been blessed by the Elven Maker-God, Vaul.\n\nMalekith considers it a great insult that the god has not deigned to heap praise upon him for his great work. The Witch King, while brooding about this, decides to salve his mood with an outing…	Destroyer	EARN_X_AMOUNT_FROM_RAIDING	rom_event_mission.png	bst/generic	True	Quest		0	0	True	0	2140784854	False	False
False	wh2_main_def_malekith_destroyer_stage_2	The raids prove a vague distraction, as do the screams of the slaves, but with the Vortex swirling out of control, Malekith cannot afford such time ruminating. He decides to tackle Vaul’s snub head on; If the god will not come to him, then he shall force matters. To start with, Destroyer will need to be slaked in much blood.	Destroyer	KILL_X_ENTITIES	rom_event_mission.png	bst/generic	True	Quest		0	0	True	0	2140784854	False	False
False	wh2_main_def_malekith_destroyer_stage_3	Vaul’s Anvil is a volcano within which lies the shrine of the Elven smith god. It is the most sacred of sites, and now the Witch King has it in his sights. With Destroyer in hand, he marches relentlessly upon Ulthuan’s shores, to the tip of the Dragon Spine Peninsula and into the volcano itself. As expected, the High Elf guardians are waiting within.	Destroyer	FIGHT_SET_PIECE_BATTLE	rom_event_mission.png	bst/generic	True	Quest	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil	112	212	True	10	2140784854	True	False
False	wh2_main_def_malekith_early_game_capture_province	"A wise move, Sire. Do not let the vermin get any tail-hold on sovereign Druchii lands. Continue the purge and secure the whole region."\n\nLearn more about provinces [[url:script_link_campaign_provinces]][[tooltip:{{tt:tooltip_campaign_provinces}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Continue the Purge	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_early_game_capture_ritual_settlement	"As a daughter of Ghrond, I know what trouble it has caused you in the past, my King. And now with Morathi absent, they stray further from your yoke. My contacts in the city tell me they have their own plans for the scrolls we seek. Direct action is required."\n\nLearn more about ritual resource sites [[url:script_link_campaign_ritual_resource_sites]][[tooltip:{{tt:tooltip_campaign_ritual_resource_sites}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	The Trouble with Ghrond	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_early_game_capture_settlement	"You are right, sire. Act quickly, and flush the infestation from the ruins. Do not let the ratmen take what they seek. Capture their filthy nests!"\n\nSkaven inhabit their Underworld, making their settlements indistinguishable from ruins until approached.\n\nLearn more about the Skaven Underworld [[url:script_link_campaign_skaven_underworld]][[tooltip:{{tt:tooltip_campaign_skaven_underworld}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Infestation	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_early_game_construct_ritual_building	"I will pay a heavy price for betraying the sisters of Ghrond... No matter, a concern for another day. Now, sire, erect a shrine to Mistress Hekarti so that she may bless us with scrolls of lore."\n\nLearn more about buildings [[url:script_link_campaign_buildings]][[tooltip:{{tt:tooltip_campaign_buildings}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Hekarti’s Tribute	CONSTRUCT_N_BUILDINGS_INCLUDING	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_early_game_earn_ritual_currency	"My preparations are almost complete but it’s now clear that others races intend to usurp the Vortex. We must be first! Get me more scrolls so I can enact the ritual."\n\nLearn more about ritual currency [[url:script_link_campaign_ritual_currency]][[tooltip:{{tt:tooltip_campaign_ritual_currency}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Race for the Vortex	CONSTRUCT_N_BUILDINGS_INCLUDING	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_early_game_eliminate_faction	"Come now, sire, surely your patience for these vermin is at an end? Wipe them out."\n\nLearn more about factions [[url:script_link_campaign_factions]][[tooltip:{{tt:tooltip_campaign_factions}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Pest-Killer	ACHIEVE_CHARACTER_RANK	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_early_game_enact_commandment	"The entire province is subjugated, sire. Your words are absolute - issue a Commandment, your subjects will be desperate to obey."\n\nLearn more about commandments [[url:script_link_campaign_commandments]][[tooltip:{{tt:tooltip_campaign_commandments}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	By Your Command	ACHIEVE_CHARACTER_RANK	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_early_game_enact_ritual	"It is time, King Malekith. Enact the Ritual of the Tortured Oracle!"	Enact the Ritual	CONSTRUCT_N_BUILDINGS_INCLUDING	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_early_game_hero_action_mission	"Your thrall awaits their first mission. Make it challenging..."\n\nLearn more about heroic actions [[url:script_link_campaign_hero_actions]][[tooltip:{{tt:tooltip_campaign_hero_actions}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Test Them	ACHIEVE_CHARACTER_RANK	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_early_game_hero_building_mission	"There are agents and factors that wish to petition your favour. Ensure they have a place to assemble so we can weed out potential vassals... and traitors."\n\nLearn more about [[img:icon_hero]][[/img]]Heroes [[url:script_link_campaign_heroes]][[tooltip:{{tt:tooltip_campaign_heroes}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Your Favour	CONSTRUCT_N_BUILDINGS_INCLUDING	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_early_game_hero_recruitment_mission	"We have the location for the vassals to congregate. Now it is time to summon these ‘heroes’ to serve."\n\nLearn more about [[img:icon_hero]][[/img]]Heroes [[url:script_link_campaign_heroes]][[tooltip:{{tt:tooltip_campaign_heroes}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	You Will Serve	RECRUIT_AGENT	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
False	wh2_main_def_malekith_early_game_non_aggression_pact	"I shall not tutor you, sire, on how to run your kingdom - you have been ruling for longer than I have existed. Yet... I will venture that Hag Graef could be a stronger ally than outright enemy at this stage. Perhaps offer their lords a chair closer to yours at the obsidian table? A non-aggression pact is a good start..."\n\nLearn more about non-aggression pacts [[url:script_link_campaign_non_aggression_pacts]][[tooltip:{{tt:tooltip_campaign_non_aggression_pacts}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	A Chair at the Table	MAKE_PEACE	rom_event_mission.png	dwf/generic	False	Military		0	0	False	0		False	False
