campaign_vfx_descriptions_tables
1
key	vfx	unknown2	y_offset	unknown4	unknown5
2xtime_army	wh_main_campaign_placeholder	0	0	0	False
2xtime_navy	wh_main_campaign_placeholder	0	0	0	False
advice_character_highlight	wh_main_ui_advice_character_select	0	0	0	False
advice_settlement_highlight	wh_main_ui_advice_settle_select	0	0	0	False
agent_deployed	wh_main_campaign_shaman_draining	0	0	0	False
agent_deployed_foreign_region	wh_main_campaign_shaman_draining	0	0	0	False
agent_deployed_foreign_region_generic	wh_main_campaign_deploy_enemy_region	0	0	0	False
agent_deployed_generic	wh_main_campaign_deploy_own_region	0	0	0	False
ambush	wh_main_campaign_placeholder	0	0	0	False
army_low_morale	wh_main_campaign_low_waaagh_morale	0	0	0	False
army_vampire_recruitement	wh_main_campaign_raise_dead_buff	0	0	0	False
army_waaagh_army	wh_main_campaign_ui_waaagh_selection	0	0	0	False
army_war_coordination_target	wh_main_campaign_ui_waaagh_target	0	0	0	False
army_war_coordination_target_generic	wh_main_campaign_ui_generic_target	0	0	0	False
attacking	wh_main_campaign_placeholder	0	0	0	False
attrition_army	wh_main_campaign_character_attrition	0	0	0	False
attrition_navy	wh_main_campaign_character_attrition	0	0	0	False
blessing_of_the_lady	wh_dlc07_campaign_blessing_of_lady	0	0	0	False
buff_army	wh_main_campaign_placeholder	0	0	0	False
buff_navy	wh_main_campaign_placeholder	0	0	0	False
debuff_army	wh_main_campaign_placeholder	0	0	0	False
debuff_navy	wh_main_campaign_placeholder	0	0	0	False
defence_army	wh_main_campaign_placeholder	0	0	0	False
desertion	wh_main_campaign_placeholder	0	0	0	False
destruction_fire	wh_main_campaign_placeholder	0	0	0	False
destruction_fire_res	wh_main_campaign_placeholder	0	0	0	False
destruction_smoke_res	wh_main_campaign_placeholder	0	0	0	False
disease	wh2_main_campaign_settlement_plague	0	0	0	False
edict_army	wh_main_campaign_placeholder	0	0	0	False
edict_money	wh_main_campaign_placeholder	0	0	0	False
edict_population	wh_main_campaign_placeholder	0	0	0	False
level_up	wh_main_campaign_ui_level_up	0	0	0	True
look_at_tutorial	tutorial_look_at_campaign	0	0	0	False
looted	wh_main_campaign_placeholder	0	0	0	False
move_to_tutorial	tutorial_move_to_campaign	0	0	0	False
movement_extents	wh_main_campaign_placeholder	0	0	0	False
navy_war_coordination_target	wh_main_generic_fire_smoke_loop	0	0	0	False
patrol_navy	wh_main_campaign_placeholder	0	0	0	False
placeholder_selection	wh_main_campaign_placeholder	0	5	0	False
post_battle_looser	wh_main_campaign_autoresolve_actor_lose	0	0	0	True
post_battle_winner	wh_main_campaign_autoresolve_actor_win	0	0	0	True
raid_army	wh_main_campaign_placeholder	0	0	0	False
raid_navy	wh_main_campaign_placeholder	0	0	0	False
raze	wh_main_campaign_placeholder	0	0	0	False
sabotage	wh_main_campaign_placeholder	0	0	0	False
select_agent	wh_main_campaign_ui_agent_selection	0	0	0	False
select_army	wh_main_campaign_ui_agent_selection	0	0	0	False
select_navy	wh_main_campaign_ui_agent_selection	0	0	0	False
select_tutorial	tutorial_select_campaign	0	0	0	False
settle_construct	wh_main_campaign_placeholder	0	0	0	False
settle_devpoint	wh_main_campaign_placeholder	0	0	0	False
settle_select	wh_main_campaign_ui_settle_selection	0	0	0	False
settlement_produces_ritual_currency	wh2_main_campaign_ritual_currency_generic	0	0	0	False
settlement_produces_ritual_currency_def	wh2_main_campaign_ritual_currency_def	0	0	0	False
settlement_produces_ritual_currency_hef	wh2_main_campaign_ritual_currency_hef	0	0	0	False
settlement_produces_ritual_currency_lzd	wh2_main_campaign_ritual_currency_lzd	0	0	0	False
settlement_ruins_searchable	wh2_main_campaign_treasure_hunting	0	0	0	False
settlement_war_coordination_target	wh_main_campaign_ui_waaagh_target	0	0	0	False
skv_faction	wh2_main_settlement_skv_faction	0	0	0	False
under_attack	wh_main_campaign_placeholder	0	0	0	False
zone_of_control	wh_main_campaign_zone_of_control	0	0	0	False
