building_levels_tables
16
level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	commodity_vol	only_in_capital	military_prestige	naval_prestige	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	unknown22	unknown23	unknown24	unknown25	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution
wh2_main_brt_defence_norsca_1	wh2_main_brt_defence_norsca	0	2	1500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_BRETONNIA_garrison	False	False	False	False	False	0	True	2		True	0	0
wh2_main_brt_resource_animals_1	wh2_main_brt_resource_animals	0	2	750	0		0	False	0	0	False	False	False	False	False	False	False		True	wh2_main_emp_resource_animals	True	False	False	False	False	0	True	1	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_animals_2	wh2_main_brt_resource_animals	1	3	1500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh2_main_emp_resource_animals	True	False	False	False	False	0	True	2	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_animals_3	wh2_main_brt_resource_animals	2	4	2500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh2_main_emp_resource_animals	True	False	False	False	False	0	True	3	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_dyes_1	wh2_main_brt_resource_dyes	0	2	750	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_dyes	True	False	False	False	False	0	True	1	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_dyes_2	wh2_main_brt_resource_dyes	1	3	1500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_dyes	True	False	False	False	False	0	True	2	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_dyes_3	wh2_main_brt_resource_dyes	2	4	2500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_dyes	True	False	False	False	False	0	True	3	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_furs_1	wh2_main_brt_resource_furs	0	1	500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_furs	True	False	False	False	False	0	True	1	wh_cam_resource_farming	True	0	0
wh2_main_brt_resource_furs_2	wh2_main_brt_resource_furs	1	2	1000	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_furs	True	False	False	False	False	0	True	2	wh_cam_resource_farming	True	0	0
wh2_main_brt_resource_furs_3	wh2_main_brt_resource_furs	2	3	2000	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_furs	True	False	False	False	False	0	True	3	wh_cam_resource_farming	True	0	0
wh2_main_brt_resource_gemstones_1	wh2_main_brt_resource_gemstones	0	3	1000	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_gemstones	False	False	False	False	False	0	True	1	wh_cam_resource_mining	True	0	0
wh2_main_brt_resource_gemstones_2	wh2_main_brt_resource_gemstones	1	4	2000	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_gemstones	False	False	False	False	False	0	True	2	wh_cam_resource_mining	True	0	0
wh2_main_brt_resource_gemstones_3	wh2_main_brt_resource_gemstones	2	5	4000	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_gemstones	False	False	False	False	False	0	True	3	wh_cam_resource_mining	True	0	0
wh2_main_brt_resource_gold_1	wh2_main_brt_resource_gold	0	3	1000	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_gold	True	False	False	False	False	0	True	1	wh_cam_resource_mining	True	0	0
wh2_main_brt_resource_gold_2	wh2_main_brt_resource_gold	1	4	2000	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_gold	True	False	False	False	False	0	True	2	wh_cam_resource_mining	True	0	0
wh2_main_brt_resource_gold_3	wh2_main_brt_resource_gold	2	5	4000	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_gold	True	False	False	False	False	0	True	3	wh_cam_resource_mining	True	0	0
wh2_main_brt_resource_iron_1	wh2_main_brt_resource_iron	0	2	750	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_iron	True	False	False	False	False	0	True	1	wh_cam_resource_mining	True	0	0
wh2_main_brt_resource_iron_2	wh2_main_brt_resource_iron	1	3	1500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_iron	True	False	False	False	False	0	True	2	wh_cam_resource_mining	True	0	0
wh2_main_brt_resource_iron_3	wh2_main_brt_resource_iron	2	4	2500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_iron	True	False	False	False	False	0	True	3	wh_cam_resource_mining	True	0	0
wh2_main_brt_resource_marble_1	wh2_main_brt_resource_marble	0	2	750	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_marble	True	False	False	False	False	0	True	1	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_marble_2	wh2_main_brt_resource_marble	1	3	1500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_marble	True	False	False	False	False	0	True	2	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_marble_3	wh2_main_brt_resource_marble	2	4	2500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh_main_HUMAN_resource_marble	True	False	False	False	False	0	True	3	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_medicine_1	wh2_main_brt_resource_medicine	0	2	750	0		0	False	0	0	False	False	False	False	False	False	False		True	wh2_main_emp_resource_medicine	True	False	False	False	False	0	True	1	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_medicine_2	wh2_main_brt_resource_medicine	1	3	1500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh2_main_emp_resource_medicine	True	False	False	False	False	0	True	2	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_medicine_3	wh2_main_brt_resource_medicine	2	4	2500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh2_main_emp_resource_medicine	True	False	False	False	False	0	True	3	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_obsidian_1	wh2_main_brt_resource_obsidian	0	2	750	0		0	False	0	0	False	False	False	False	False	False	False		True	wh2_main_emp_resource_obsidian	True	False	False	False	False	0	True	1	wh_cam_resource_worshop	True	0	0
wh2_main_brt_resource_obsidian_2	wh2_main_brt_resource_obsidian	1	3	1500	0		0	False	0	0	False	False	False	False	False	False	False		True	wh2_main_emp_resource_obsidian	True	False	False	False	False	0	True	2	wh_cam_resource_worshop	True	0	0
