technology_node_sets_tables
2
campaign_key	faction_key	culture	subculture	key	technology_category	unknown6	unknown7	unknown8
		wh_main_brt_bretonnia		brt_mil	rom_roman_mil_top	255	182	47
		wh_dlc03_bst_beastmen		bst_mil	rom_roman_mil_top	255	182	47
		wh_main_chs_chaos		chs_mil	rom_roman_mil_top	255	182	47
		wh2_main_def_dark_elves		def_mil	rom_roman_mil_top	210	0	255
		wh_main_dwf_dwarfs		dwf_civ	rom_roman_civ_top	255	182	47
		wh_main_dwf_dwarfs		dwf_mil	rom_roman_mil_top	255	182	47
		wh_main_emp_empire		emp_civ	rom_roman_mil_top	255	182	47
				grn_mil	rom_roman_mil_top	255	182	47
		wh_main_grn_greenskins		grn_test	rom_roman_mil_top	255	182	47
		wh2_main_hef_high_elves		hef_mil	rom_roman_mil_top	75	190	255
		wh2_main_lzd_lizardmen		lzd_mil	rom_roman_mil_top	255	140	0
		wh2_main_rogue		rogue_mil	rom_roman_mil_top	255	255	255
		wh2_main_skv_skaven		skv_mil	rom_roman_mil_top	130	212	0
		wh_main_vmp_vampire_counts		vmp_mil	rom_roman_mil_top	255	182	47
		wh_dlc05_wef_wood_elves		wef_civ	rom_roman_mil_top	255	182	47
