cai_construction_system_building_values_tables
0
unknown	unknown2	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	unknown8	culture	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21	unknown22	unknown23	unknown24	unknown25	unknown26	score_end_inclusive	score_or_score_start_inclusive	unknown29
		wh2_main_brt_resource_animals_1	wh2_main_brt_resource_animals_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_dyes_1	wh2_main_brt_resource_dyes_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_furs_1	wh2_main_brt_resource_furs_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_gemstones_1	wh2_main_brt_resource_gemstones_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	240	
		wh2_main_brt_resource_gold_1	wh2_main_brt_resource_gold_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	240	
		wh2_main_brt_resource_iron_1	wh2_main_brt_resource_iron_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_marble_1	wh2_main_brt_resource_marble_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_medicine_1	wh2_main_brt_resource_medicine_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_obsidian_1	wh2_main_brt_resource_obsidian_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_pastures_1	wh2_main_brt_resource_pastures_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_pottery_1	wh2_main_brt_resource_pottery_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_salt_1	wh2_main_brt_resource_salt_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_spices_1	wh2_main_brt_resource_spices_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_timber_1	wh2_main_brt_resource_timber_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_brt_resource_wine_1	wh2_main_brt_resource_wine_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_def_barracks_1	wh2_main_def_barracks_3			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	190	190	190	190	0	0	180	90	
		wh2_main_def_beasts_1	wh2_main_def_beasts_3			cai_military_group				0	0	60	60	60	60	0	0	0	0	190	190	190	190	0	0	180	120	
		wh2_main_def_coldones_1	wh2_main_def_coldones_2			cai_military_group				0	0	60	60	60	60	0	0	0	0	460	460	460	460	0	0	450	240	
		wh2_main_def_defence_major_1	wh2_main_def_defence_major_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	0	0	50	0	50	0	0	200	100	
		wh2_main_def_defence_minor_1	wh2_main_def_defence_minor_2			cai_support_group				-1	-1	0	0	0	0	0	0	-1	0	0	50	0	50	0	0	180	100	
		wh2_main_def_exiles_1	wh2_main_def_exiles_2			cai_military_group				-1	-1	0	0	0	0	0	0	0	0	250	250	250	250	0	0	240	120	
		wh2_main_def_farm_1	wh2_main_def_farm_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	180	60	
		wh2_main_def_industry_1	wh2_main_def_industry_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	240	150	
		wh2_main_def_murder_1	wh2_main_def_murder_2			cai_military_group				0	0	60	60	60	60	0	0	-1	-1	0	0	0	0	0	0	400	200	
		wh2_main_def_order_1	wh2_main_def_order_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	240	120	
		wh2_main_def_outpostnorsca_major_1_coast	wh2_main_def_outpostnorsca_major_5_coast			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_def_outpostnorsca_major_1_coast	wh2_main_def_outpostnorsca_major_5_coast			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_def_outpostnorsca_major_1	wh2_main_def_outpostnorsca_major_5			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_def_outpostnorsca_major_1	wh2_main_def_outpostnorsca_major_5			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_def_outpostnorsca_minor_1_coast	wh2_main_def_outpostnorsca_minor_3_coast			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_def_outpostnorsca_minor_1_coast	wh2_main_def_outpostnorsca_minor_3_coast			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_def_outpostnorsca_minor_1	wh2_main_def_outpostnorsca_minor_3			cai_military_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_def_outpostnorsca_minor_1	wh2_main_def_outpostnorsca_minor_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	120	25	
		wh2_main_def_pleasure_cult_1	wh2_main_def_pleasure_cult_5			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	300	150	
		wh2_main_def_port_1	wh2_main_def_port_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	60	
		wh2_main_def_resource_animals_1	wh2_main_def_resource_animals_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_def_resource_dyes_1	wh2_main_def_resource_dyes_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	90	
		wh2_main_def_resource_furs_1	wh2_main_def_resource_furs_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	270	120	
		wh2_main_def_resource_gems_1	wh2_main_def_resource_gems_3			cai_support_group				-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	360	240	
