agent_culture_details_tables
8
agent	culture	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12
minister	wh2_main_rogue		114291892									ui/campaign ui/agents/wh_main_emp_champion.png
wizard	wh2_main_rogue	wh_main_emp_cha_wizard_fire_0	1299086447							m	UI/units/icons/wh_main_emp_wizard_fire.png	ui/campaign ui/agents/wh_main_wizard.png
champion	wh2_main_rogue	wh_main_emp_cha_captain_0	1505540076							m	UI/units/icons/wh_main_emp_captain.png	ui/campaign ui/agents/wh_main_emp_champion.png
general	wh2_main_rogue	wh_main_emp_cha_general_0	1863471942									ui/campaign ui/agents/wh_main_emp_champion.png
colonel	wh2_main_rogue		2039089441									ui/campaign ui/agents/wh_main_emp_champion.png
colonel	wh_main_emp_empire		225									ui/campaign ui/agents/wh_main_emp_champion.png
colonel	wh_main_dwf_dwarfs		270									ui/campaign ui/agents/wh_main_emp_champion.png
minister	wh_main_emp_empire		287									ui/campaign ui/agents/wh_main_emp_champion.png
colonel	wh_main_brt_bretonnia		336									ui/campaign ui/agents/wh_main_emp_champion.png
colonel	wh_main_chs_chaos		341									ui/campaign ui/agents/wh_main_emp_champion.png
champion	wh_main_emp_empire	wh_main_emp_cha_captain_0	376							m	UI/units/icons/wh_main_emp_captain.png	ui/campaign ui/agents/wh_main_emp_champion.png
spy	wh_main_emp_empire	wh_main_emp_cha_witch_hunter	377							m	UI/units/icons/wh_main_emp_witch_hunter.png	ui/campaign ui/agents/wh_main_emp_spy.png
dignitary	wh_main_emp_empire	wh_main_emp_cha_warrior_priest_0	382							m	UI/units/icons/wh_main_emp_warrior_priest.png	ui/campaign ui/agents/wh_main_emp_dignitary.png
spy	wh_main_grn_greenskins	wh_main_grn_cha_goblin_big_boss_0	391							m	UI/units/icons/wh_main_grn_goblin_boss.png	ui/campaign ui/agents/wh_main_grn_spy.png
champion	wh_main_vmp_vampire_counts	wh_main_vmp_cha_wight_king_0	393							m	UI/units/icons/wh_main_vmp_wight_king.png	ui/campaign ui/agents/wh_main_vmp_champion.png
spy	wh_main_vmp_vampire_counts	wh_main_vmp_cha_banshee	399							f	UI/units/icons/wh_main_vmp_banshee.png	ui/campaign ui/agents/wh_main_vmp_spy.png
dignitary	wh_main_vmp_vampire_counts	wh_main_vmp_cha_vampire_0	406							f	UI/units/icons/wh_main_vmp_vampire.png	ui/campaign ui/agents/wh_main_lore_death.png
general	wh_main_emp_empire	wh_main_emp_cha_general_0	407									ui/campaign ui/agents/wh_main_emp_champion.png
general	wh_main_brt_bretonnia	wh_main_brt_cha_lord_0	412								UI/units/icons/wh_main_brt_lord.png	ui/campaign ui/agents/wh_main_emp_champion.png
general	wh_main_dwf_dwarfs	wh_main_dwf_cha_lord_0	418								UI/units/icons/wh_main_dwf_lord.png	ui/campaign ui/agents/wh_main_emp_champion.png
general	wh_main_grn_greenskins	wh_main_grn_cha_orc_warboss_0	428								UI/units/icons/wh_main_grn_orc_war_boss.png	ui/campaign ui/agents/wh_main_emp_champion.png
general	wh_main_chs_chaos	wh_main_chs_cha_chaos_lord_0	435								UI/units/icons/wh_main_chs_lord.png	ui/campaign ui/agents/wh_main_emp_champion.png
general	wh_main_vmp_vampire_counts	wh_main_vmp_cha_vampire_lord_0	444								UI/units/icons/wh_main_vmp_vampire_lord.png	ui/campaign ui/agents/wh_main_emp_champion.png
colonel	wh_main_grn_greenskins		468									ui/campaign ui/agents/wh_main_emp_champion.png
colonel	wh_main_vmp_vampire_counts		476									ui/campaign ui/agents/wh_main_emp_champion.png
champion	wh_main_dwf_dwarfs	wh_main_dwf_cha_thane	484							m	UI/units/icons/wh_main_dwf_thane.png	ui/campaign ui/agents/wh_main_dwf_champion.png
champion	wh_main_brt_bretonnia	wh_main_brt_cha_paladin_0	489							m	UI/units/icons/wh_main_brt_paladin.png	ui/campaign ui/agents/wh_main_brt_champion.png
champion	wh_main_chs_chaos	wh_main_chs_cha_exalted_hero_0	494							m	UI/units/icons/wh_main_chs_exalted_hero.png	ui/campaign ui/agents/wh_main_chs_champion.png
runesmith	wh_main_dwf_dwarfs	wh_main_dwf_cha_rune_smith_0	497							m	UI/units/icons/wh_main_dwf_rune_smith.png	ui/campaign ui/agents/wh_main_dwf_runesmith.png
engineer	wh_main_dwf_dwarfs	wh_main_dwf_cha_master_engineer_0	506							m	UI/units/icons/wh_main_dwf_master_engineer.png	ui/campaign ui/agents/wh_main_dwf_engineer.png
wizard	wh_main_emp_empire	wh_main_emp_cha_wizard_fire_0	514							m	UI/units/icons/wh_main_emp_wizard_fire.png	ui/campaign ui/agents/wh_main_wizard.png
wizard	wh_main_brt_bretonnia	wh_main_brt_cha_damsel_0	521							f	UI/units/icons/wh_main_brt_damsel.png	ui/campaign ui/agents/wh_main_wizard.png
wizard	wh_main_chs_chaos	wh_main_chs_cha_chaos_sorcerer_death_0	533							m	UI/units/icons/wh_main_chs_sorcerer.png	ui/campaign ui/agents/wh_main_wizard.png
wizard	wh_main_grn_greenskins	wh_main_grn_cha_orc_shaman_0	539							m	UI/units/icons/wh_main_grn_orc_shaman.png	ui/campaign ui/agents/wh_main_wizard.png
wizard	wh_main_vmp_vampire_counts	wh_main_vmp_cha_necromancer_0	545							m	UI/units/icons/wh_main_vmp_necromancer.png	ui/campaign ui/agents/wh_main_wizard.png
wizard	wh_dlc03_bst_beastmen	wh_dlc03_bst_cha_bray_shaman_beasts_0	552							m	UI/units/icons/wh_dlc03_bst_bray_shaman_beasts.png	ui/campaign ui/agents/wh_main_wizard.png
champion	wh_dlc03_bst_beastmen	wh_dlc03_bst_cha_gorebull_0	568							m	UI/units/icons/wh_dlc03_bst_gorebull.png	ui/campaign ui/agents/wh_dlc03_bst_champion.png
colonel	wh_dlc03_bst_beastmen		574									ui/campaign ui/agents/wh_main_emp_champion.png
general	wh_dlc05_wef_wood_elves	wh_dlc05_wef_cha_glade_lord_0	575							m		ui/campaign ui/agents/paladin.png
colonel	wh_dlc05_wef_wood_elves		583							m		ui/campaign ui/agents/paladin.png
minister	wh_dlc05_wef_wood_elves		591							m		ui/campaign ui/agents/paladin.png
wizard	wh_dlc05_wef_wood_elves	wh_dlc05_wef_cha_spellsinger_beasts_0	594							f		ui/campaign ui/agents/wh_main_wizard.png
spy	wh_dlc05_wef_wood_elves	wh_dlc05_wef_cha_waystalker_0	595							m		ui/campaign ui/agents/wh_dlc05_wef_spy.png
general	wh_dlc03_bst_beastmen	wh_dlc03_bst_cha_beastlord_0	605							m		ui/campaign ui/agents/paladin.png
dignitary	wh2_main_def_dark_elves	wh2_main_def_cha_death_hag_0	610							f		ui/campaign ui/agents/wh2_main_def_dignitary.png
spy	wh2_main_def_dark_elves	wh2_main_def_cha_khainite_assassin_0	619							m		ui/campaign ui/agents/wh2_main_def_spy.png
general	wh2_main_def_dark_elves	wh2_main_def_cha_dreadlord_0	637									ui/campaign ui/agents/paladin.png
